Marker Chr Pos p
S5_32283 5 32283 0.975849427692382
S5_32344 5 32344 1.11302473315067e-11
S5_35029 5 35029 6.78796094071707e-11
S5_35123 5 35123 2.16794468403352e-10
S5_35349 5 35349 0.683805524240716
S5_38168 5 38168 0.00132850808155903
S5_39050 5 39050 0.239947833137134
S5_39061 5 39061 0.327173916669826
S5_40667 5 40667 0.279364518447045
S5_49792 5 49792 0.00728065744335561
S5_49831 5 49831 0.321394270674416
S5_49840 5 49840 0.202922475529777
S5_49979 5 49979 0.11300155653847
S5_56216 5 56216 0.310415210707301
S5_56255 5 56255 0.0499705077492045
S5_56517 5 56517 0.016513076099917
S5_66836 5 66836 0.0364126568254026
S5_66929 5 66929 0.851017831112549
S5_67149 5 67149 1.22921658489549e-09
S5_69219 5 69219 4.8033975414368e-09
S5_69223 5 69223 0.349667154082645
S5_69235 5 69235 0.399761043836848
S5_74025 5 74025 0.0191124719651162
S5_77108 5 77108 0.606985473997592
S5_77115 5 77115 0.612099351772628
S5_77277 5 77277 0.907894506101548
S5_77377 5 77377 0.000705813603631289
S5_77611 5 77611 0.219058983529766
S5_78757 5 78757 0.848700262828878
S5_80921 5 80921 0.959441328578062
S5_81068 5 81068 0.865332103037091
S5_81095 5 81095 0.210693633494277
S5_86199 5 86199 0.535350250907779
S5_86219 5 86219 0.015832410633837
S5_86221 5 86221 0.0158053047534285
S5_86222 5 86222 0.015832410633837
S5_86372 5 86372 0.976981220324666
S5_86814 5 86814 0.0328382906490084
S5_86852 5 86852 0.0301574854204362
S5_86901 5 86901 0.0222918924710989
S5_86902 5 86902 0.676214957553553
S5_86903 5 86903 0.0483527552940016
S5_89999 5 89999 0.435463353004394
S5_90033 5 90033 0.000159339316804778
S5_93200 5 93200 0.64430856228368
S5_93423 5 93423 0.907637636703411
S5_93430 5 93430 0.907637636703411
S5_96787 5 96787 0.742468717926053
S5_97525 5 97525 0.000167392549234987
S5_99872 5 99872 0.00363635123942176
S5_99881 5 99881 0.87417003591171
S5_101790 5 101790 0.797338913293999
S5_106587 5 106587 0.145396022994238
S5_106588 5 106588 0.0323882434892235
S5_106589 5 106589 0.135899305550358
S5_106590 5 106590 0.135899305550358
S5_107358 5 107358 0.0063163692103281
S5_107361 5 107361 0.883702712149317
S5_107397 5 107397 0.233642232427086
S5_107407 5 107407 0.470950878540294
S5_107424 5 107424 0.0928877101763652
S5_107458 5 107458 0.163784972024989
S5_111754 5 111754 0.0683292229940609
S5_115024 5 115024 0.609657472429353
S5_121308 5 121308 0.32621398584431
S5_121311 5 121311 0.11037478724618
S5_121346 5 121346 0.639499125666047
S5_123720 5 123720 0.319514491476965
S5_123762 5 123762 9.07979379931648e-05
S5_123792 5 123792 0.71855289246061
S5_123796 5 123796 0.0866803488613178
S5_123798 5 123798 0.216453606685143
S5_123849 5 123849 0.64690868341505
S5_133949 5 133949 0.0204992252727111
S5_134145 5 134145 0.719159523221421
S5_134156 5 134156 0.0506387458657622
S5_134191 5 134191 2.3805471394464e-06
S5_134314 5 134314 7.53270154172071e-05
S5_134369 5 134369 0.062965356731481
S5_134821 5 134821 0.340835036068576
S5_134822 5 134822 0.820522551785853
S5_134845 5 134845 3.26710226106613e-05
S5_134942 5 134942 0.428613573059254
S5_136020 5 136020 0.817155968613797
S5_139237 5 139237 0.351038294080915
S5_140431 5 140431 0.979958963873787
S5_140434 5 140434 0.482376838494655
S5_140464 5 140464 0.928280884754247
S5_143351 5 143351 0.811170073180751
S5_153699 5 153699 0.0208781862745188
S5_153779 5 153779 0.433701729031687
S5_153806 5 153806 0.000261584665277329
S5_153807 5 153807 0.000261584665277329
S5_153810 5 153810 0.000261584665277329
S5_153948 5 153948 0.0308802852366716
S5_153986 5 153986 0.111737117318429
S5_162285 5 162285 0.0774837173181249
S5_162412 5 162412 0.0826210857854986
S5_170951 5 170951 0.773751971059575
S5_171218 5 171218 1.74041553282935e-07
