rs chr ps p_wald
S3_58523 3 58523 0.02136242
S3_64841 3 64841 0.009239477
S3_64898 3 64898 0.6391852
S3_65813 3 65813 0.602132
S3_116315 3 116315 0.03871321
S3_116685 3 116685 0.9826903
S3_122571 3 122571 0.9153761
S3_133167 3 133167 0.4432152
S3_164708 3 164708 0.753028
S3_166049 3 166049 0.02960176
S3_166173 3 166173 0.5204608
S3_171005 3 171005 0.5513675
S3_196898 3 196898 0.9773022
S3_197318 3 197318 0.8186746
S3_197846 3 197846 0.6238983
S3_204490 3 204490 0.2485139
S3_204497 3 204497 0.2485139
S3_216072 3 216072 0.2622058
S3_218998 3 218998 0.587185
S3_219950 3 219950 0.08217922
S3_220238 3 220238 0.2469724
S3_220838 3 220838 0.1493039
S3_220841 3 220841 0.01493651
S3_238087 3 238087 0.6689224
S3_249982 3 249982 0.9095025
S3_260416 3 260416 0.3324337
S3_269200 3 269200 0.0374254
S3_294782 3 294782 0.4957646
S3_316531 3 316531 0.6230309
S3_337358 3 337358 0.05506169
S3_357855 3 357855 0.1801154
S3_365587 3 365587 0.1487353
S3_365694 3 365694 0.7879656
S3_365849 3 365849 0.1990452
S3_371920 3 371920 0.5149382
S3_402655 3 402655 0.5693968
S3_404118 3 404118 0.1391387
S3_418387 3 418387 0.4668181
S3_421232 3 421232 0.8458767
S3_439558 3 439558 0.1193432
S3_439581 3 439581 0.9383975
S3_443835 3 443835 0.8236745
S3_448211 3 448211 0.347658
S3_459166 3 459166 0.03043598
S3_461187 3 461187 0.5833759
S3_464325 3 464325 0.8413151
S3_482055 3 482055 0.1735126
S3_482065 3 482065 0.1376774
S3_485617 3 485617 0.2119932
S3_492959 3 492959 0.7123453
S3_504045 3 504045 0.001112719
S3_504058 3 504058 0.6939514
S3_505661 3 505661 0.09427005
S3_517004 3 517004 0.2674162
S3_517167 3 517167 0.07882132
S3_521419 3 521419 0.3857316
S3_526230 3 526230 0.2728499
S3_526380 3 526380 0.004286626
S3_526419 3 526419 0.985818
S3_530930 3 530930 0.8162093
S3_542541 3 542541 0.7389958
S3_542555 3 542555 0.2321031
S3_555829 3 555829 0.4531809
S3_558815 3 558815 0.04073958
S3_558861 3 558861 0.04097076
S3_612455 3 612455 0.2481833
S3_612499 3 612499 0.1509716
S3_612507 3 612507 0.1599283
S3_612712 3 612712 0.09079669
S3_612726 3 612726 0.09079669
S3_612728 3 612728 0.09076618
S3_612773 3 612773 0.2163729
S3_632832 3 632832 0.9138634
S3_641745 3 641745 0.5102828
S3_641746 3 641746 0.5102828
S3_641750 3 641750 0.5102828
S3_641752 3 641752 0.5102828
S3_641757 3 641757 0.5102828
S3_642649 3 642649 0.5320925
S3_678146 3 678146 1.35103e-07
S3_689632 3 689632 1.485861e-06
S3_689638 3 689638 1.485861e-06
S3_695831 3 695831 0.8087043
S3_696035 3 696035 0.3189796
S3_696802 3 696802 0.005426959
S3_699074 3 699074 0.2962801
S3_699387 3 699387 0.1638971
S3_700148 3 700148 0.8736239
S3_700329 3 700329 0.2599612
S3_700352 3 700352 0.2902998
S3_700436 3 700436 2.822787e-06
S3_702351 3 702351 0.006639792
S3_702427 3 702427 1.488674e-06
S3_702429 3 702429 2.758163e-05
S3_702519 3 702519 0.3084397
S3_702549 3 702549 1.443326e-05
S3_702550 3 702550 1.443326e-05
S3_702551 3 702551 1.443326e-05
S3_705688 3 705688 2.821057e-06
S3_732979 3 732979 0.6000586
S3_765883 3 765883 0.3719342
S3_766315 3 766315 0.1552611
S3_766444 3 766444 0.001821759
S3_766756 3 766756 0.492032
S3_766757 3 766757 0.492032
S3_779967 3 779967 0.06784998
S3_784615 3 784615 0.03721009
S3_788281 3 788281 0.002665562
S3_797263 3 797263 0.3064597
S3_806945 3 806945 0.5812612
S3_831969 3 831969 0.002765205
S3_849496 3 849496 0.600364
S3_863589 3 863589 0.8131012
S3_865687 3 865687 0.4294925
S3_865702 3 865702 0.4205542
S3_882300 3 882300 0.3586544
S3_887771 3 887771 0.06835517
S3_891064 3 891064 0.04808795
S3_891080 3 891080 0.650562
S3_898235 3 898235 0.4229442
S3_903646 3 903646 0.2102491
S3_907029 3 907029 0.006473634
S3_907040 3 907040 0.5580608
S3_907041 3 907041 0.5624012
S3_913646 3 913646 0.03612653
S3_915857 3 915857 0.02295517
S3_916383 3 916383 0.5085647
S3_916509 3 916509 0.5172046
S3_916537 3 916537 0.7004141
S3_918543 3 918543 0.7786891
S3_919052 3 919052 0.429273
S3_939905 3 939905 0.01131357
S3_939965 3 939965 0.4420233
S3_940019 3 940019 0.4384645
S3_941525 3 941525 0.5249952
S3_941775 3 941775 0.7676838
S3_941793 3 941793 0.7521876
S3_941815 3 941815 0.5784084
S3_942597 3 942597 0.5421502
S3_942641 3 942641 0.4460232
S3_942657 3 942657 0.4738086
S3_957068 3 957068 0.0006584786
S3_967119 3 967119 0.8584827
S3_967192 3 967192 0.6399022
S3_969147 3 969147 0.6525621
S3_975270 3 975270 0.1054725
S3_977180 3 977180 0.6252721
S3_977201 3 977201 0.3829775
S3_977811 3 977811 0.01736229
S3_977813 3 977813 0.0178328
S3_977816 3 977816 0.0178328
S3_984928 3 984928 0.50523
S3_990099 3 990099 0.1705456
S3_991451 3 991451 0.0474851
S3_996094 3 996094 0.0005846074
S3_996150 3 996150 0.02100454
S3_996578 3 996578 0.05296445
S3_996825 3 996825 0.04499733
S3_996842 3 996842 0.6331475
S3_996846 3 996846 0.5915696
S3_1000602 3 1000602 0.9558246
S3_1012910 3 1012910 0.3075
S3_1029959 3 1029959 0.4212981
S3_1032615 3 1032615 0.1260591
S3_1051444 3 1051444 0.06805091
S3_1062828 3 1062828 0.07351426
S3_1063082 3 1063082 0.03977736
S3_1063104 3 1063104 0.03009686
S3_1063125 3 1063125 0.03101478
S3_1063805 3 1063805 0.05263328
S3_1068696 3 1068696 0.4278464
S3_1096557 3 1096557 0.5676523
S3_1098876 3 1098876 0.4078711
S3_1104249 3 1104249 0.2954261
S3_1124858 3 1124858 0.2242286
S3_1124860 3 1124860 0.2194224
S3_1124864 3 1124864 0.2194224
S3_1126809 3 1126809 0.2892237
S3_1127961 3 1127961 0.4991823
S3_1128331 3 1128331 0.4078912
S3_1128354 3 1128354 0.9126116
S3_1129557 3 1129557 0.677997
S3_1133120 3 1133120 0.05236667
S3_1133142 3 1133142 0.3755291
S3_1134980 3 1134980 0.9896205
S3_1136149 3 1136149 0.02511219
S3_1138179 3 1138179 0.1319186
S3_1138180 3 1138180 0.0738056
S3_1149589 3 1149589 0.1059189
S3_1158556 3 1158556 0.7753282
S3_1159692 3 1159692 0.1921721
S3_1163756 3 1163756 0.8851146
S3_1163778 3 1163778 0.3970418
S3_1166330 3 1166330 0.05918927
S3_1169154 3 1169154 0.1100626
S3_1174138 3 1174138 0.7749863
S3_1174176 3 1174176 0.01675862
S3_1174177 3 1174177 0.4577933
S3_1181307 3 1181307 0.000374316
S3_1184238 3 1184238 0.2004613
S3_1189892 3 1189892 0.75887
S3_1189932 3 1189932 0.691704
S3_1194162 3 1194162 0.001190153
S3_1210592 3 1210592 0.3148292
S3_1218301 3 1218301 0.01069665
S3_1218302 3 1218302 0.01014878
S3_1223361 3 1223361 0.725063
S3_1246237 3 1246237 0.001576713
S3_1318131 3 1318131 0.4119527
S3_1320392 3 1320392 0.1549474
S3_1331873 3 1331873 0.9259914
S3_1338737 3 1338737 0.6806544
S3_1340460 3 1340460 0.4019563
S3_1342950 3 1342950 0.3774937
S3_1342974 3 1342974 0.3461692
S3_1342977 3 1342977 0.5517318
S3_1343923 3 1343923 0.1179105
S3_1348718 3 1348718 0.9750019
S3_1375842 3 1375842 0.8307201
S3_1379565 3 1379565 0.7520063
S3_1400433 3 1400433 0.580915
S3_1400437 3 1400437 0.3901342
S3_1400448 3 1400448 0.3901342
S3_1406545 3 1406545 0.2816149
S3_1406697 3 1406697 0.7770351
S3_1419902 3 1419902 0.9369093
S3_1419906 3 1419906 0.9369093
S3_1419907 3 1419907 0.859085
S3_1420303 3 1420303 0.0163924
S3_1420345 3 1420345 0.02767812
S3_1420691 3 1420691 0.1312047
S3_1424370 3 1424370 0.004997096
S3_1424407 3 1424407 0.004775331
S3_1435475 3 1435475 0.01515756
S3_1435476 3 1435476 0.02061913
S3_1435523 3 1435523 0.04422904
S3_1436338 3 1436338 1.443829e-07
S3_1436360 3 1436360 3.983165e-07
S3_1442649 3 1442649 0.9903264
S3_1443246 3 1443246 0.003913599
S3_1452845 3 1452845 0.6188349
S3_1453828 3 1453828 0.1265324
S3_1453836 3 1453836 0.1265324
S3_1454906 3 1454906 0.8473527
S3_1464102 3 1464102 2.027029e-07
S3_1464299 3 1464299 6.504143e-08
S3_1464335 3 1464335 6.504143e-08
S3_1464345 3 1464345 6.504143e-08
S3_1465982 3 1465982 8.014907e-07
S3_1465989 3 1465989 7.155213e-07
S3_1466008 3 1466008 1.340574e-06
S3_1472167 3 1472167 0.4279354
S3_1472197 3 1472197 0.2038679
S3_1472653 3 1472653 0.2255795
S3_1474372 3 1474372 0.3209537
S3_1474472 3 1474472 0.3657139
S3_1481541 3 1481541 0.07116572
S3_1490543 3 1490543 0.2404881
S3_1496640 3 1496640 0.02473994
S3_1496889 3 1496889 0.04413872
S3_1536550 3 1536550 0.07659137
S3_1536877 3 1536877 0.131303
S3_1558327 3 1558327 0.4901287
S3_1559310 3 1559310 0.3841163
S3_1563213 3 1563213 0.7443624
S3_1617735 3 1617735 0.6224267
S3_1617820 3 1617820 0.1020418
S3_1617900 3 1617900 0.2072617
S3_1628103 3 1628103 0.6440494
S3_1628133 3 1628133 0.6714566
S3_1629082 3 1629082 0.8987552
S3_1629169 3 1629169 0.1259412
S3_1629182 3 1629182 0.0008479956
S3_1630009 3 1630009 0.2193888
S3_1630410 3 1630410 0.04802025
S3_1630847 3 1630847 0.9714779
S3_1632977 3 1632977 0.3702913
S3_1694525 3 1694525 0.4774282
S3_1694535 3 1694535 0.3724769
S3_1696713 3 1696713 0.2095959
S3_1702021 3 1702021 0.9548962
S3_1707974 3 1707974 0.7683292
S3_1708551 3 1708551 0.7174707
S3_1725372 3 1725372 0.3728763
S3_1726425 3 1726425 0.1975712
S3_1747213 3 1747213 0.1442606
S3_1764458 3 1764458 0.1550918
S3_1771626 3 1771626 0.6080728
S3_1772487 3 1772487 0.3746663
S3_1778510 3 1778510 0.6512365
S3_1779270 3 1779270 0.3060021
S3_1779271 3 1779271 0.416644
S3_1779272 3 1779272 0.4918238
S3_1779314 3 1779314 0.4921442
S3_1799071 3 1799071 0.6635216
S3_1805584 3 1805584 0.576229
S3_1813262 3 1813262 0.4148337
S3_1813346 3 1813346 0.1609563
S3_1813353 3 1813353 0.5011864
S3_1816363 3 1816363 0.6219671
S3_1833550 3 1833550 0.6148128
S3_1834509 3 1834509 0.2460924
S3_1839310 3 1839310 0.4725645
S3_1839312 3 1839312 0.6520064
S3_1839889 3 1839889 0.9523193
S3_1850178 3 1850178 0.6782187
S3_1850197 3 1850197 0.6296714
S3_1857398 3 1857398 0.8202751
S3_1868013 3 1868013 0.4341006
S3_1875086 3 1875086 0.7679618
S3_1875130 3 1875130 0.5013816
S3_1883249 3 1883249 0.04044028
S3_1896769 3 1896769 0.08336617
S3_1902019 3 1902019 0.716997
S3_1902042 3 1902042 0.5191761
S3_1903479 3 1903479 0.3670785
S3_1903525 3 1903525 0.9796258
S3_1903526 3 1903526 0.2097006
S3_1903527 3 1903527 0.2085203
S3_1903531 3 1903531 0.183016
S3_1903581 3 1903581 0.6419116
S3_1903615 3 1903615 0.5190269
S3_1903638 3 1903638 0.4706447
S3_1903649 3 1903649 0.5475606
S3_1903688 3 1903688 0.1444672
S3_1903732 3 1903732 0.02002199
S3_1903735 3 1903735 0.01959536
S3_1907589 3 1907589 0.6075225
S3_1907592 3 1907592 0.7452794
S3_1907594 3 1907594 0.7452794
S3_1907611 3 1907611 0.06715576
S3_1913029 3 1913029 0.6362165
S3_1950925 3 1950925 0.3488618
S3_1950944 3 1950944 0.5739409
S3_1955068 3 1955068 0.3723379
S3_1968193 3 1968193 0.1384252
S3_1968229 3 1968229 0.0009742789
S3_1968366 3 1968366 0.7228682
S3_1968371 3 1968371 0.001715001
S3_1969464 3 1969464 0.5605989
S3_1974454 3 1974454 0.05127174
S3_1977712 3 1977712 1.522464e-07
S3_1977882 3 1977882 0.01520315
S3_1977930 3 1977930 0.7711784
S3_1980591 3 1980591 0.2879006
S3_1991450 3 1991450 0.9515873
S3_1996069 3 1996069 0.4864144
S3_1996112 3 1996112 0.7968507
S3_1996425 3 1996425 4.635437e-07
S3_2015180 3 2015180 3.160545e-07
S3_2028420 3 2028420 0.2923186
S3_2041746 3 2041746 0.2903272
S3_2043152 3 2043152 0.3441463
S3_2047445 3 2047445 0.1396953
S3_2054497 3 2054497 0.01918333
S3_2054542 3 2054542 0.1839496
S3_2054647 3 2054647 0.008162256
S3_2054853 3 2054853 0.6425352
S3_2054871 3 2054871 0.6965579
S3_2054874 3 2054874 0.5426011
S3_2055772 3 2055772 0.4386078
S3_2056180 3 2056180 0.6930301
S3_2056205 3 2056205 0.6932498
S3_2056238 3 2056238 0.9629245
S3_2056302 3 2056302 0.1128356
S3_2058947 3 2058947 0.120243
S3_2084294 3 2084294 0.2028592
S3_2085366 3 2085366 0.009576093
S3_2085497 3 2085497 0.007376736
S3_2085923 3 2085923 0.6329483
S3_2085925 3 2085925 0.001793649
S3_2087160 3 2087160 0.384202
S3_2087161 3 2087161 0.384202
S3_2087194 3 2087194 7.888685e-06
S3_2087212 3 2087212 2.828812e-06
S3_2089000 3 2089000 0.5841084
S3_2105389 3 2105389 0.08370161
S3_2115284 3 2115284 0.9945791
S3_2115333 3 2115333 0.0195716
S3_2123751 3 2123751 0.4321052
S3_2129212 3 2129212 0.4721936
S3_2129695 3 2129695 0.5993007
S3_2129696 3 2129696 0.5993007
S3_2140952 3 2140952 0.5176011
S3_2140978 3 2140978 0.3125184
S3_2144302 3 2144302 2.812384e-05
S3_2146030 3 2146030 0.2683439
S3_2146068 3 2146068 0.6714216
S3_2154694 3 2154694 0.374323
S3_2154702 3 2154702 0.374323
S3_2154734 3 2154734 0.3219079
S3_2158416 3 2158416 0.9561138
S3_2159279 3 2159279 0.3982413
S3_2159370 3 2159370 0.6130724
S3_2165158 3 2165158 0.08205294
S3_2165171 3 2165171 0.09945993
S3_2165172 3 2165172 0.9114696
S3_2165207 3 2165207 0.09757918
S3_2172032 3 2172032 0.08523688
S3_2172034 3 2172034 0.7470005
S3_2176408 3 2176408 0.6860557
S3_2195049 3 2195049 2.298212e-05
S3_2208143 3 2208143 0.652465
S3_2214546 3 2214546 0.6203992
S3_2222916 3 2222916 0.5781856
S3_2223258 3 2223258 0.4231532
S3_2234603 3 2234603 0.7115255
S3_2243385 3 2243385 0.6219974
S3_2251784 3 2251784 0.2134219
S3_2264666 3 2264666 0.3478989
S3_2264702 3 2264702 0.6057234
S3_2289599 3 2289599 0.1810444
S3_2289771 3 2289771 0.1530098
S3_2289840 3 2289840 0.8669034
S3_2377716 3 2377716 0.135746
S3_2390044 3 2390044 0.8180688
S3_2409881 3 2409881 0.9199468
S3_2413727 3 2413727 0.4195107
S3_2415338 3 2415338 0.7566174
S3_2416138 3 2416138 0.3741498
S3_2444845 3 2444845 0.602381
S3_2450706 3 2450706 0.9426906
S3_2465580 3 2465580 0.8403422
S3_2466880 3 2466880 0.8131517
S3_2471630 3 2471630 0.003486385
S3_2472883 3 2472883 0.0002135119
S3_2472908 3 2472908 0.1770797
S3_2472954 3 2472954 0.2510667
S3_2487728 3 2487728 0.5473092
S3_2487774 3 2487774 0.5880046
S3_2504935 3 2504935 0.02324289
S3_2504936 3 2504936 0.02324289
S3_2504937 3 2504937 0.02324289
S3_2510780 3 2510780 0.9317263
S3_2513362 3 2513362 0.7310006
S3_2517308 3 2517308 0.4155683
S3_2518819 3 2518819 0.2911378
S3_2521985 3 2521985 0.7575601
S3_2535844 3 2535844 0.5266087
S3_2535933 3 2535933 0.3556788
S3_2535969 3 2535969 0.4030213
