Marker Chr Pos p
S3_22450 3 26450 2.15835293092915e-05
S3_64898 3 68898 0.000930005810161304
S3_164712 3 168712 8.80551429960549e-05
S3_297726 3 301726 5.68565145760946e-05
S3_309269 3 313269 1.41783185989622e-11
S3_409379 3 413379 3.93521950110681e-05
S3_504045 3 508045 2.13278361466535e-05
S3_517100 3 521100 0.000492654822132572
S3_629421 3 633421 0.000391529899025664
S3_678146 3 682146 5.83692938460067e-05
S3_678952 3 682952 4.96886201378392e-08
S3_689416 3 693416 2.3917996434718e-07
S3_689463 3 693463 1.10268750178792e-05
S3_689473 3 693473 1.10268750178792e-05
S3_689510 3 693510 1.10268750178792e-05
S3_689632 3 693632 6.99929223980749e-06
S3_689638 3 693638 6.99929223980749e-06
S3_700436 3 704436 3.72070859883928e-06
S3_702427 3 706427 0.00012376532308992
S3_702429 3 706429 0.000935940955226057
S3_702549 3 706549 5.09560434282013e-06
S3_702550 3 706550 5.09560434282013e-06
S3_702551 3 706551 5.09560434282013e-06
S3_705688 3 709688 2.0142546710821e-05
S3_752916 3 756916 5.49071244522339e-06
S3_766444 3 770444 0.000243855831340042
S3_788281 3 792281 0.000998553900987201
S3_918543 3 922543 0.000688822224379055
S3_937245 3 941245 0.000859039549395808
S3_937249 3 941249 0.000859039549396029
S3_1221220 3 1225220 0.000128858179863591
S3_1223685 3 1227685 0.000102606595929708
S3_1223715 3 1227715 0.000102606595929695
S3_1223721 3 1227721 0.000102606595929695
S3_1246237 3 1250237 0.000491620242788011
S3_1424370 3 1428370 2.31730029550724e-06
S3_1424407 3 1428407 1.96532460827122e-06
S3_1465727 3 1469727 0.000280413646742809
S3_1465737 3 1469737 0.000280413646742828
S3_1617621 3 1621621 0.000659430414209281
S3_1754293 3 1758293 4.67890912268001e-05
S3_1759689 3 1763689 0.000161996164502319
S3_1833862 3 1837862 5.27192809686283e-05
S3_1834082 3 1838082 0.000179619014244519
S3_1902436 3 1906436 0.000874276872216465
S3_1903732 3 1907732 0.000340051045715332
S3_1974720 3 1978720 0.000458682446951213
S3_1977930 3 1981930 0.000502791604806572
S3_1991446 3 1995446 0.000582648508853709
S3_1996112 3 2000112 0.00012129965943585
S3_2005315 3 2009315 0.000559736788907682
S3_2069676 3 2073676 0.000533552703593607
S3_2079251 3 2083251 5.17734419422185e-07
S3_2087194 3 2091194 1.76105672286672e-05
S3_2087212 3 2091212 8.19751913779353e-06
S3_2114800 3 2118800 0.000917530730286506
S3_2129899 3 2133899 0.000751514112688982
S3_2130018 3 2134018 6.16795046273574e-09
S3_2130212 3 2134212 0.000124186192387101
S3_2140542 3 2144542 0.000937172185117299
S3_2144302 3 2148302 8.72060330090803e-05
S3_2148641 3 2152641 1.26927342705981e-05
S3_2149044 3 2153044 0.000198321514085393
S3_2170847 3 2174847 1.71378465078796e-05
S3_2170849 3 2174849 2.18092993947071e-05
S3_2195049 3 2199049 0.000395325280556355
S3_2449473 3 2453473 7.1275795363148e-05
S3_2477940 3 2481940 0.000432646629823612
S3_2559359 3 2563359 9.6211322745236e-05
S3_2632269 3 2636269 0.000892723063662309
S3_2673442 3 2677442 0.00099798674633313
S3_2735389 3 2739389 0.000854083732671966
S3_2766716 3 2770716 0.000480451599755868
S3_2784147 3 2788147 0.000681944332864626
S3_2949702 3 2953702 5.91153929504404e-05
S3_2949989 3 2953989 0.000473927639913989
S3_2960426 3 2964426 0.000322064318605151
S3_2978949 3 2982949 0.000251531358355391
S3_3023916 3 3027916 0.00011802974821122
S3_3034129 3 3038129 0.000463367886639294
S3_3035831 3 3039831 5.13236460256968e-05
S3_3088794 3 3092794 0.000729502927699859
S3_3134074 3 3138074 0.000574049563324581
S3_3151802 3 3155802 4.22676700113765e-05
S3_3182781 3 3186781 0.000248798455651772
S3_3190079 3 3194079 0.000372408302917066
S3_3190084 3 3194084 0.000372408302917066
S3_3190085 3 3194085 0.000372408302917066
S3_3206860 3 3210860 0.000361501877770556
S3_3206885 3 3210885 0.000361501877770556
S3_3207173 3 3211173 5.87373333087514e-05
S3_3207181 3 3211181 5.87373333087514e-05
S3_3220118 3 3224118 1.58270833159396e-06
S3_3220120 3 3224120 8.27128476937802e-07
S3_3220122 3 3224122 4.3130816907378e-06
S3_3235098 3 3239098 0.000985779018065664
S3_3436668 3 3440668 0.000911387318274018
S3_3443614 3 3447614 0.000688932385678778
S3_3579582 3 3583582 0.00013975422102794
S3_3602473 3 3606473 0.000630717951914359
S3_3632469 3 3636469 0.000690992292630631
S3_3779165 3 3783165 0.000728492859260869
S3_3817801 3 3821801 0.000914411771560642
S3_4020727 3 4024727 0.000883308209888752
S3_4079377 3 4083377 3.3765637414463e-05
S3_4253090 3 4257090 0.000273130023971669
S3_4282698 3 4286698 0.000106109336465173
S3_4347508 3 4351508 0.000294287404764042
S3_4391077 3 4395077 0.000692035725679387
S3_4417274 3 4421274 0.000407593478660049
S3_4453535 3 4457535 0.000659523266269881
S3_4523045 3 4527045 0.000720212550148776
S3_4549927 3 4553927 0.000274415678936978
S3_4597501 3 4601501 0.0006265886350565
S3_4763275 3 4767275 0.000148336398276087
S3_4774547 3 4778547 3.65476030653754e-06
S3_4774548 3 4778548 6.64892639157421e-07
S3_4774559 3 4778559 3.65476030653754e-06
S3_4774574 3 4778574 3.65476030653754e-06
S3_4954707 3 4958707 0.000341779585470502
S3_5240066 3 5244066 0.000598447618939373
S3_5562350 3 5566350 0.000360363794499086
S3_5866449 3 5870449 0.000516108666658398
S3_6012960 3 6016960 0.000364109210779989
S3_6018579 3 6022579 0.000734118100877433
S3_6162072 3 6166072 0.000705033600178598
S3_6189621 3 6193621 1.06935462838675e-07
S3_6202723 3 6206723 6.48815375683733e-06
S3_6355887 3 6359887 0.000309413286099181
S3_6374170 3 6378170 0.000893351601688786
S3_6389835 3 6393835 0.000287609541780301
S3_6389837 3 6393837 0.000287609541780301
S3_6389882 3 6393882 4.38598601933707e-05
S3_6649062 3 6653062 0.000718041298522368
S3_6655018 3 6659018 0.000726600895341434
S3_6680531 3 6684531 0.000221996778921414
S3_6705731 3 6709731 8.17577441283376e-10
S3_6716895 3 6720895 6.56313293024464e-05
S3_6721525 3 6725525 1.70239578218417e-08
S3_6723223 3 6727223 1.74405914641926e-06
S3_6748265 3 6752265 1.0938752966684e-06
S3_6760366 3 6764366 2.70702318748094e-06
S3_6768423 3 6772423 3.7726887582196e-07
S3_6829071 3 6833071 0.000133919646643402
S3_6829237 3 6833237 1.2814001196153e-05
S3_6833114 3 6837114 2.51024444403589e-07
S3_6836777 3 6840777 1.58304703114919e-08
S3_6993892 3 6997892 0.000106807880157391
