"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"SORBI_3002G354600",4.843761e-17,1,"No","4.843761e-17"
"SORBI_3001G105700",1.751138e-16,1,"No","1.751138e-16"
"SORBI_3001G250150",4.44089209850063e-16,2,"Yes","0.1514869,2.217915e-17"
"SORBI_3002G355100",4.44089209850063e-16,2,"Yes","6.699143e-17,0.9313989"
"SORBI_3001G105600",1.33226762955019e-15,3,"Yes","0.5523097,0.4615719,1.817624e-16"
"SORBI_3004G089700",1.892819e-15,1,"No","1.892819e-15"
"SORBI_3007G034700",2.175409e-15,1,"No","2.175409e-15"
"SORBI_3003G007700",6.480315e-15,1,"No","6.480315e-15"
"SORBI_3001G447000",7.99360577730113e-15,3,"Yes","0.03194951,1.440845e-15,0.6770133"
"SORBI_3004G038500",9.32587340685131e-15,3,"Yes","1.618265e-15,0.470765,0.0002442056"
"SORBI_3006G213300",1.64313007644523e-14,2,"Yes","8.300441e-15,1.837185e-05"
"SORBI_3004G107800",2.94209101525666e-14,7,"Yes","0.3238401,2.130842e-15,0.01227413,0.3224436,0.1721821,0.1147367,0.007669111"
"SORBI_3009G131300",5.06261699229071e-14,3,"Yes","9.621086e-05,8.544829e-15,0.7714413"
"SORBI_3004G070200",3.40172334745148e-13,2,"Yes","0.9987165,1.701224e-13"
"SORBI_3004G157000",3.46389583683049e-13,3,"Yes","5.782803e-14,0.04096833,0.1907015"
"SORBI_3001G294900",1.93411953119949e-12,5,"Yes","3.417304e-10,4.728795e-11,0.2431368,1.918809e-11,3.581518e-05"
"SORBI_3003G007900",3.02202707302968e-12,2,"Yes","1.517034e-12,1.517034e-12"
"SORBI_3006G208800",4.31346e-12,1,"No","4.31346e-12"
"SORBI_3004G078500",6.79756251287245e-12,8,"Yes","1.074284e-06,2.748827e-06,0.003943828,0.3879076,0.1423903,0.1423903,2.511899e-11,2.511899e-11"
"SORBI_3001G251200",9.08939590260616e-12,16,"Yes","9.196722e-09,8.94225e-09,1.274213e-08,1.274213e-08,0.1296548,1.097893e-08,0.000142027,0.001768518,1.599699e-13,1.569958e-12,0.7167059,3.157201e-14,1.578301e-14,1.578301e-14,8.29354e-18,5.022269e-10"
"SORBI_3003G015800",1.04722897020793e-11,5,"Yes","9.957756e-08,9.957756e-08,2.264162e-07,1.784093e-11,2.927001e-11"
"SORBI_3003G015900",1.04722897020793e-11,5,"Yes","9.957756e-08,9.957756e-08,2.264162e-07,1.784093e-11,2.927001e-11"
"SORBI_3003G008000",1.53564938543127e-11,17,"Yes","1.517034e-12,1.517034e-12,5.249863e-05,2.754398e-07,0.0003725639,0.431241,0.2453862,0.02125509,0.06824811,0.07254477,0.0364757,7.754886e-14,0.0364757,0.02980694,0.1089052,2.21554e-11,1.170929e-11"
"SORBI_3003G084300",1.83524306862637e-11,8,"Yes","8.899903e-13,0.8879593,0.8879593,0.8879593,0.0002705668,0.8688347,0.8688347,0.0001103767"
"SORBI_3001G189750",2.51333398537668e-11,6,"Yes","0.00214284,0.02126369,1.703281e-07,2.633015e-07,7.98972e-08,0.2346537"
"SORBI_3001G444100",4.58053595053798e-11,4,"Yes","3.901191e-09,2.533096e-10,2.533096e-10,0.8087372"
"SORBI_3001G125900",5.049875e-11,1,"No","5.049875e-11"
"SORBI_3001G253300",7.12668812852257e-11,8,"Yes","4.105759e-12,0.2026652,0.1509579,0.7521374,0.02983239,0.04245287,0.04245287,0.6484875"
"SORBI_3010G079000",9.87125936546818e-11,2,"Yes","4.936443e-11,0.4401743"
"SORBI_3003G016300",1.28766886042797e-10,3,"Yes","1.968633e-10,1.434966e-09,2.934712e-10"
"SORBI_3006G264000",1.3656265007711e-10,4,"Yes","0.0003344292,0.0004395722,8.62938e-11,3.928757e-10"
"SORBI_3003G084400",1.54598001067541e-10,7,"Yes","0.08704952,0.0132552,0.9778497,0.003523483,0.09073383,0.1145991,9.763219e-12"
"SORBI_3001G094900",3.657197877871e-10,2,"Yes","1.888304e-10,2.048851e-10"
"SORBI_3010G199700",3.68337582656864e-10,2,"Yes","1.910458e-10,1.447478e-09"
"SORBI_3002G274500",4.22218926487972e-10,2,"Yes","2.111096e-10,0.1067851"
"SORBI_3001G115500",4.34518865333189e-10,13,"Yes","0.8098251,0.03085757,0.7937638,0.2149108,0.9362936,1.222236e-08,1.825753e-07,7.919026e-07,1.51275e-11,0.4945139,0.9704191,0.07433415,0.6820162"
"SORBI_3001G138800",5.23195042845259e-10,2,"Yes","2.615977e-10,0.6689245"
"SORBI_3004G111600",5.66423685732786e-10,3,"Yes","0.8296898,0.3264175,9.44925e-11"
"SORBI_3001G376200",8.23299095564778e-10,2,"Yes","4.127023e-10,0.0003645107"
"SORBI_3010G055000",9.46303368998258e-10,5,"Yes","2.478663e-06,3.155965e-06,0.0002754415,3.662855e-06,1.258894e-05"
"SORBI_3010G074200",1.05474995404364e-09,6,"Yes","0.0006787258,0.0006911603,7.955111e-11,0.0006911603,0.02462979,0.02462979"
"SORBI_3006G196200",1.2153585915442e-09,2,"Yes","6.076782e-10,0.502051"
"SORBI_3009G132100",1.383903e-09,1,"No","1.383903e-09"
"SORBI_3001G257800",1.50824508438063e-09,9,"Yes","0.1077609,0.0003858822,0.4164636,8.446073e-07,0.4583655,0.01463999,0.06835241,1.747493e-09,3.37252e-10"
"SORBI_3004G071000",1.64677e-09,1,"No","1.64677e-09"
"SORBI_3001G124100",1.69186276099964e-09,5,"Yes","0.001300767,0.001130181,0.06906235,0.005776921,1.545075e-10"
"SORBI_3003G023400",1.831897e-09,1,"No","1.831897e-09"
"SORBI_3001G137600",2.08155315206682e-09,3,"Yes","0.7938302,0.4906293,3.473145e-10"
"SORBI_3004G038100",2.52275700329818e-09,4,"Yes","3.561399e-10,0.01049357,0.7565972,0.01744628"
"SORBI_3010G053300",2.65423494294481e-09,4,"Yes","5.33924e-07,1.041346e-07,6.90272e-08,3.570989e-10"
"SORBI_3004G155200",2.74245892661895e-09,6,"Yes","0.05328477,0.3383034,2.282649e-10,0.04638823,0.01839289,0.01839289"
"SORBI_3007G007400",3.58234875097452e-09,2,"Yes","1.911585e-09,6.521793e-09"
"SORBI_3002G303000",3.79394771155006e-09,2,"Yes","2.017496e-09,4.296092e-09"
"SORBI_3004G001500",4.155793e-09,1,"No","4.155793e-09"
