"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"SORBI_3006G187800",1.28979271707408e-10,3,"Yes","6.270801e-10,7.785589e-10,0.002735068"
"SORBI_3004G030700",1.466959e-10,1,"No","1.466959e-10"
"SORBI_3003G329800",2.67607269677228e-10,4,"Yes","0.6618964,3.587499e-11,0.8041159,0.4183455"
"SORBI_3003G321400",6.172057e-10,1,"No","6.172057e-10"
"SORBI_3003G334700",1.76604453283602e-09,3,"Yes","2.944108e-10,0.9381806,0.09023877"
"SORBI_3002G306500",2.06662709167915e-09,9,"Yes","5.678765e-08,5.678765e-08,5.678765e-08,0.06543355,1.755489e-08,1.491548e-06,1.418957e-07,0.6978789,5.071235e-05"
"SORBI_3002G307700",2.267361e-09,1,"No","2.267361e-09"
"SORBI_3002G340350",2.54370691177286e-09,14,"Yes","1.810745e-07,0.3901187,1.095456e-10,0.5849659,0.3506079,0.00048084,3.688168e-05,0.02905145,5.830829e-07,0.0001957909,0.0004068391,0.000294557,0.2860227,0.9023946"
"SORBI_3003G280800",2.76194189741119e-09,8,"Yes","0.6808587,0.9184345,3.349239e-08,8.591337e-08,3.768094e-08,2.633732e-09,1.840865e-08,6.554092e-09"
"SORBI_3006G277550",3.286528e-09,1,"No","3.286528e-09"
"SORBI_3003G333200",3.448318e-09,1,"No","3.448318e-09"
"SORBI_3003G335000",4.61456151068518e-09,5,"Yes","1.761603e-07,4.950134e-05,6.643883e-07,0.8908993,1.020471e-07"
"SORBI_3006G276000",5.98284866093479e-09,3,"Yes","0.004629977,0.005335278,1.116221e-09"
"SORBI_3003G091300",1.16233069835658e-08,2,"Yes","4.806672e-05,5.811647e-09"
"SORBI_3001G449700",1.166903e-08,1,"No","1.166903e-08"
"SORBI_3006G187600",1.19115626251443e-08,2,"Yes","6.859374e-09,7.317616e-09"
"SORBI_3003G334900",1.48100318675404e-08,4,"Yes","2.582e-08,2.146081e-09,0.2957317,0.2944232"
"SORBI_3006G245000",3.333098e-08,1,"No","3.333098e-08"
"SORBI_3003G280700",3.466976e-08,1,"No","3.466976e-08"
"SORBI_3002G306300",3.711469e-08,1,"No","3.711469e-08"
"SORBI_3006G280200",4.75134995792104e-08,4,"Yes","1.341766e-05,1.084379e-08,1.403666e-07,9.352855e-08"
"SORBI_3002G288800",6.48418618798274e-08,2,"Yes","3.242324e-08,0.8183399"
"SORBI_3006G217300",8.42940409695458e-08,3,"Yes","4.989302e-05,2.785868e-07,2.136313e-05"
"SORBI_3006G274800",8.9201822817131e-08,2,"Yes","4.530569e-08,0.758187"
"SORBI_3004G031700",8.96333862687726e-08,5,"Yes","0.17863,0.05507733,8.809649e-09,0.02430719,0.5532382"
"SORBI_3003G042100",9.711149e-08,1,"No","9.711149e-08"
"SORBI_3002G307800",9.85289e-08,1,"No","9.85289e-08"
"SORBI_3006G141900",1.02600558937738e-07,2,"Yes","0.06931965,5.130123e-08"
"SORBI_3006G275600",1.046876e-07,1,"No","1.046876e-07"
"SORBI_3003G281500",1.07907049740064e-07,4,"Yes","0.05779325,1.673034e-08,0.05280338,0.5534872"
"SORBI_3003G332401",1.51797531211528e-07,3,"Yes","3.315636e-07,3.27896e-07,0.4033551"
"SORBI_3002G303900",1.52346076309762e-07,6,"Yes","0.4277772,6.761933e-07,3.695316e-07,0.9077343,5.942933e-08,0.1058107"
"SORBI_3002G303950",1.52346076309762e-07,6,"Yes","0.4277772,6.761933e-07,3.695316e-07,0.9077343,5.942933e-08,0.1058107"
"SORBI_3002G304500",1.6641185596189e-07,3,"Yes","0.9098288,0.9171238,3.145407e-08"
"SORBI_3007G014500",1.69236668678963e-07,5,"Yes","0.919824,8.94984e-08,1.989573e-07,5.973207e-06,0.3814608"
"SORBI_3001G071000",2.06313661488267e-07,4,"Yes","0.7900548,0.4940031,0.4729464,2.773152e-08"
"SORBI_3010G255700",2.0692802449318e-07,2,"Yes","1.034658e-07,0.5991532"
"SORBI_3001G360700",2.56255133779248e-07,4,"Yes","0.5885453,0.8259942,3.315155e-07,3.315155e-07"
"SORBI_3005G089500",2.79703e-07,1,"No","2.79703e-07"
"SORBI_3004G005100",3.04731986755513e-07,3,"Yes","6.437466e-08,0.1399234,0.1845424"
"SORBI_3004G041100",3.185617e-07,1,"No","3.185617e-07"
"SORBI_3001G131900",3.20144617482754e-07,4,"Yes","6.279907e-08,0.1667017,0.1803521,7.449579e-06"
"SORBI_3003G041100",3.4219955169501e-07,4,"Yes","1.346372e-07,2.43301e-07,3.439758e-07,2.43301e-07"
"SORBI_3003G292500",3.73954147758759e-07,6,"Yes","3.287927e-06,4.2784e-06,1.206963e-07,0.5299513,0.8924854,0.001026776"
"SORBI_3010G188000",4.018189e-07,1,"No","4.018189e-07"
"SORBI_3003G292300",4.154045e-07,1,"No","4.154045e-07"
"SORBI_3001G070900",4.6152924482179e-07,7,"Yes","0.8928894,0.6659095,0.2785003,0.7900548,0.4940031,0.4729464,2.773152e-08"
"SORBI_3002G337800",4.91882065523086e-07,3,"Yes","0.4095365,1.122555e-06,1.503343e-06"
"SORBI_3003G335100",5.1922176602659e-07,3,"Yes","4.56453e-05,7.27347e-06,3.085136e-06"
"SORBI_3001G251200",5.2143066509025e-07,15,"Yes","6.072433e-06,7.331548e-06,7.671888e-06,7.216626e-06,0.0008126028,0.1543895,4.55144e-06,0.9418496,0.6347029,0.1952195,0.7238472,0.7683547,0.7683547,0.7742683,0.7411376"
"SORBI_3009G143500",6.93116921079984e-07,4,"Yes","9.236722e-07,9.236722e-07,0.1461038,0.8566266"
"SORBI_3003G405700",7.29856921344307e-07,3,"Yes","4.654362e-05,2.163638e-05,0.0001974911"
"SORBI_3002G312400",9.38084972257336e-07,2,"Yes","0.0003119401,4.691401e-07"
"SORBI_3006G183500",1.01072016234216e-06,4,"Yes","0.2658111,7.843027e-05,6.098093e-05,0.7054334"
"SORBI_3009G104800",1.05576695907939e-06,7,"Yes","0.8495232,0.9370957,7.83709e-06,0.3262736,5.484903e-06,0.1620917,0.4443234"
"SORBI_3007G024400",1.08872e-06,1,"No","1.08872e-06"
"SORBI_3006G272800",1.112129e-06,1,"No","1.112129e-06"
"SORBI_3001G100200",1.15785501952903e-06,11,"Yes","0.003688582,6.098018e-08,0.04488014,0.1727347,0.6372118,0.2497998,0.1839499,0.6227005,0.3581188,0.3612402,0.8574338"
"SORBI_3010G084000",1.232326e-06,1,"No","1.232326e-06"
"SORBI_3010G232700",1.30984248103427e-06,2,"Yes","6.894295e-07,0.05369685"
"SORBI_3003G321200",1.31514157108992e-06,2,"Yes","6.576067e-07,1.905031e-05"
"SORBI_3003G335200",1.48393853260931e-06,2,"Yes","0.9494637,8.016691e-07"
"SORBI_3003G023800",1.48547090450535e-06,2,"Yes","7.652742e-07,0.4765413"
"SORBI_3003G099100",1.49390485471024e-06,3,"Yes","0.948883,2.51202e-07,0.9608461"
"SORBI_3001G294800",1.51591077235391e-06,3,"Yes","0.01208253,3.99086e-07,0.03335243"
"SORBI_3001G129150",1.51866469388917e-06,9,"Yes","0.06164635,0.1108569,0.0323078,5.664393e-07,1.383461e-06,0.3191064,0.1503854,0.6160981,0.06409031"
"SORBI_3006G277300",1.58042006426218e-06,5,"Yes","0.01400401,0.01178729,1.613322e-07,0.2862411,0.01637023"
"SORBI_3005G114800",1.667068330935e-06,3,"Yes","0.02286403,2.824071e-07,0.001748471"
"SORBI_3004G107600",1.880113e-06,1,"No","1.880113e-06"
"SORBI_3001G126500",2.014946e-06,1,"No","2.014946e-06"
"SORBI_3003G359200",2.06571e-06,1,"No","2.06571e-06"
"SORBI_3007G018400",2.101476e-06,1,"No","2.101476e-06"
"SORBI_3006G280400",2.11604897482065e-06,3,"Yes","0.3161525,2.98044e-06,2.98044e-06"
"SORBI_3005G127300",2.16801e-06,1,"No","2.16801e-06"
"SORBI_3006G139600",2.190963e-06,1,"No","2.190963e-06"
"SORBI_3003G030500",2.23165694268612e-06,3,"Yes","3.842786e-07,0.9830268,0.5577918"
"SORBI_3004G143475",2.25371185968992e-06,22,"Yes","0.259341,0.7604533,0.8447969,0.3512487,0.3512487,3.332641e-08,0.7404827,0.7066441,0.03711482,0.6827314,0.1462459,0.7524518,0.9439637,7.216034e-07,0.4945373,2.423406e-06,0.0005905315,0.4477072,0.4477072,0.000612662,0.000612662,0.5111179"
"SORBI_3009G138800",2.261053e-06,1,"No","2.261053e-06"
"SORBI_3003G099166",2.344219e-06,1,"No","2.344219e-06"
"SORBI_3001G377700",2.422006e-06,1,"No","2.422006e-06"
"SORBI_3006G243500",2.55173126173514e-06,3,"Yes","0.7049409,1.274826e-05,1.752307e-06"
"SORBI_3003G402000",2.94566461067625e-06,3,"Yes","0.0002159549,0.2715209,3.086448e-05"
"SORBI_3001G244900",3.27573960889893e-06,7,"Yes","5.422623e-06,2.58021e-07,1.567735e-05,8.659916e-05,0.1173359,0.07120135,0.0168606"
"SORBI_3003G205200",3.34355074738113e-06,10,"Yes","0.0777237,0.08263834,0.3210799,0.04701757,0.03411571,1.181671e-07,0.1146564,0.00684878,0.2058333,0.07656983"
"SORBI_3010G235200",4.18393481349533e-06,2,"Yes","2.09236e-06,0.001873304"
"SORBI_3001G252200",4.34821969530486e-06,7,"Yes","2.29412e-07,0.781504,0.6447697,0.3457706,0.8317035,0.8359374,0.9893631"
"SORBI_3001G129650",4.733973e-06,1,"No","4.733973e-06"
"SORBI_3001G082600",5.70286102297146e-06,2,"Yes","2.856089e-06,4.419144e-06"
"SORBI_3003G422500",5.77222560815827e-06,5,"Yes","0.903619,0.4128994,0.007710936,5.049762e-07,0.2355102"
"SORBI_3004G035300",5.8896377155282e-06,3,"Yes","4.246202e-06,8.088403e-06,6.573074e-05"
"SORBI_3004G032800",6.16711086665056e-06,3,"Yes","6.370498e-05,0.7882872,9.345834e-05"
"SORBI_3010G147350",6.295852e-06,1,"No","6.295852e-06"
"SORBI_3003G403000",6.56053402914303e-06,3,"Yes","0.5863215,1.095251e-06,0.02318088"
"SORBI_3006G241800",6.65915164621556e-06,2,"Yes","3.3357e-06,0.9249403"
"SORBI_3001G360800",6.869426e-06,1,"No","6.869426e-06"
"SORBI_3001G377400",7.166663e-06,1,"No","7.166663e-06"
"SORBI_3003G072100",7.19785432035103e-06,2,"Yes","4.481183e-06,1.746246e-05"
"SORBI_3004G095600",7.55192e-06,1,"No","7.55192e-06"
"SORBI_3004G137500",7.96170087913328e-06,10,"Yes","0.6721685,0.9162336,0.9388436,1.908109e-05,4.472281e-05,0.4806363,0.3785987,4.400656e-06,0.712882,6.351875e-07"
"SORBI_3004G032500",8.00831970038107e-06,2,"Yes","0.1940016,4.006003e-06"
"SORBI_3006G142600",8.468043e-06,1,"No","8.468043e-06"
"SORBI_3007G037700",8.469723e-06,1,"No","8.469723e-06"
"SORBI_3006G134500",8.9938314613569e-06,6,"Yes","7.865048e-07,0.6787292,0.5055542,0.1128702,7.967404e-05,7.967404e-05"
"SORBI_3006G275200",9.12172993261517e-06,2,"Yes","4.561243e-06,0.01425054"
"SORBI_3002G323600",9.21625573369056e-06,2,"Yes","0.00491525,5.347612e-06"
"SORBI_3001G315200",1.10640403253592e-05,3,"Yes","0.6016534,0.5865836,1.983865e-06"
"SORBI_3006G114000",1.1589942308543e-05,2,"Yes","5.795781e-06,7.087324e-05"
"SORBI_3003G373800",1.21058146924646e-05,6,"Yes","9.455792e-07,0.8068922,0.613321,0.8095066,0.005120696,0.0485282"
"SORBI_3009G096100",1.21295965039847e-05,2,"Yes","6.094632e-06,0.01647133"
"SORBI_3002G269300",1.226627e-05,1,"No","1.226627e-05"
"SORBI_3010G179700",1.2283204055108e-05,2,"Yes","6.143383e-06,0.6641974"
"SORBI_3010G098932",1.23250537538144e-05,3,"Yes","9.341306e-06,1.517159e-05,8.009023e-05"
"SORBI_3003G079900",1.23546193221413e-05,4,"Yes","0.06146623,0.03288082,1.659808e-06,0.01887199"
"SORBI_3006G184500",1.24393249487653e-05,2,"Yes","6.219704e-06,0.1690526"
"SORBI_3006G139501",1.26339764610073e-05,4,"Yes","0.3500892,9.966047e-05,0.651707,7.614251e-05"
"SORBI_3002G306000",1.35112105654756e-05,11,"Yes","0.6246506,0.5813848,0.6314311,0.5887178,0.5887178,0.5887178,0.5264185,0.6424375,0.7935382,0.001884736,7.168206e-07"
"SORBI_3001G245000",1.35740512013927e-05,12,"Yes","4.672838e-07,0.0277469,0.0277469,0.4191257,0.5960287,0.1937436,0.6914006,7.951252e-06,0.3511561,0.07696277,0.0119697,0.8636163"
"SORBI_3001G083000",1.38392795823172e-05,8,"Yes","0.007992422,0.5848487,0.04538191,0.8246332,0.8246332,0.8246332,0.7636401,9.852204e-07"
"SORBI_3003G191800",1.557344e-05,1,"No","1.557344e-05"
"SORBI_3003G426400",1.703951e-05,1,"No","1.703951e-05"
"SORBI_3002G299600",1.712192e-05,1,"No","1.712192e-05"
"SORBI_3010G022200",1.74327e-05,1,"No","1.74327e-05"
"SORBI_3010G150200",1.766512e-05,1,"No","1.766512e-05"
"SORBI_3003G343100",1.79206482878724e-05,3,"Yes","1.42152e-05,0.9633143,1.42152e-05"
"SORBI_3009G143300",1.795651e-05,1,"No","1.795651e-05"
"SORBI_3003G393200",1.801455e-05,1,"No","1.801455e-05"
"SORBI_3006G247800",1.80696497693589e-05,2,"Yes","9.036058e-06,0.4684894"
"SORBI_3006G204600",1.825847e-05,1,"No","1.825847e-05"
"SORBI_3005G034300",1.838397e-05,1,"No","1.838397e-05"
"SORBI_3003G407100",2.014553e-05,1,"No","2.014553e-05"
"SORBI_3009G088300",2.10251068276657e-05,2,"Yes","0.6797353,1.051849e-05"
"SORBI_3001G315100",2.10596163434662e-05,3,"Yes","1.637449e-05,1.219001e-05,1.637449e-05"
"SORBI_3001G252101",2.21613970763368e-05,2,"Yes","0.8690151,1.109163e-05"
"SORBI_3002G308500",2.26102e-05,1,"No","2.26102e-05"
"SORBI_3009G099450",2.272763e-05,1,"No","2.272763e-05"
"SORBI_3010G138900",2.311855e-05,1,"No","2.311855e-05"
"SORBI_3001G148200",2.32619e-05,1,"No","2.32619e-05"
