"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"SORBI_3001G093000",6.352832e-21,1,"No","6.352832e-21"
"SORBI_3010G095700",1.33226762955019e-15,3,"Yes","0.416877,0.6510957,2.321426e-16"
"SORBI_3001G368000",1.66533453693773e-15,4,"Yes","0.4139896,0.001137375,1.036516e-16,0.6180858"
"SORBI_3001G073150",1.575262e-13,1,"No","1.575262e-13"
"SORBI_3007G034700",2.943699e-13,1,"No","2.943699e-13"
"SORBI_3003G084400",4.1044945220392e-13,7,"Yes","0.005606304,0.2214388,0.3020141,0.1583198,1.29465e-10,2.28636e-11,3.895505e-11"
"SORBI_3001G081700",1.128904e-12,1,"No","1.128904e-12"
"SORBI_3001G447000",1.5771828287825e-12,3,"Yes","0.3969572,2.629575e-13,0.9938455"
"SORBI_3002G281500",2.06090700061168e-12,3,"Yes","0.4917345,0.08981816,3.435241e-13"
"SORBI_3001G361500",2.065608e-12,1,"No","2.065608e-12"
"SORBI_3001G002100",3.532751e-11,1,"No","3.532751e-11"
"SORBI_3001G094900",7.73908714890581e-11,2,"Yes","4.703471e-11,3.932952e-11"
"SORBI_3004G070200",2.57627696953477e-10,2,"Yes","0.2339565,1.288146e-10"
"SORBI_3006G155700",4.64656e-10,1,"No","4.64656e-10"
"SORBI_3003G314200",6.59993948382009e-10,2,"Yes","3.478143e-10,3.478143e-10"
"SORBI_3005G084800",7.64348140336324e-10,3,"Yes","1.302725e-10,0.3298449,0.8895885"
"SORBI_3009G012500",7.76141484415405e-10,4,"Yes","0.394928,1.077546e-10,0.166961,0.166961"
"SORBI_3002G354600",1.391215e-09,1,"No","1.391215e-09"
"SORBI_3010G240700",1.52552359633518e-09,2,"Yes","7.627621e-10,0.4480001"
"SORBI_3003G084300",2.39510467014981e-09,8,"Yes","1.302409e-10,0.06949271,0.06949271,0.06949271,1.072991e-06,0.1993531,0.1993531,1.558208e-06"
"SORBI_3002G355100",3.900778e-09,1,"No","3.900778e-09"
"SORBI_3001G097300",4.00479416295951e-09,3,"Yes","6.678348e-10,0.7297465,0.005376368"
"SORBI_3010G241200",4.19776857718546e-09,2,"Yes","8.793655e-06,2.098883e-09"
"SORBI_3009G107300",9.86702664018679e-09,2,"Yes","0.5929817,4.933875e-09"
"SORBI_3001G294900",1.19278819044055e-08,4,"Yes","2.295842e-07,5.639524e-08,0.4214655,1.73618e-09"
"SORBI_3001G093800",1.21057309732109e-08,11,"Yes","3.21942e-07,0.3818151,0.6125579,0.6795599,0.7477674,2.655368e-07,0.3166579,0.7020588,0.5305246,1.633661e-06,0.602075"
"SORBI_3010G082000",1.218723e-08,1,"No","1.218723e-08"
"SORBI_3001G126300",1.56038154619509e-08,6,"Yes","1.23269e-09,0.01780321,0.03882949,0.006160065,0.54661,0.6127363"
"SORBI_3006G208800",1.624381e-08,1,"No","1.624381e-08"
"SORBI_3009G069000",2.37804e-08,1,"No","2.37804e-08"
"SORBI_3009G123500",2.38211754766127e-08,2,"Yes","6.775322e-07,1.191078e-08"
"SORBI_3003G286800",2.67122338692971e-08,3,"Yes","0.2651118,4.454208e-09,0.001019624"
"SORBI_3003G325500",2.811497e-08,1,"No","2.811497e-08"
"SORBI_3010G131700",3.064673e-08,1,"No","3.064673e-08"
"SORBI_3001G086000",3.227421e-08,1,"No","3.227421e-08"
"SORBI_3004G130850",3.5835503564563e-08,4,"Yes","0.164511,0.000912592,4.889916e-09,0.668519"
"SORBI_3006G245800",4.62166803716357e-08,2,"Yes","0.02036758,2.311466e-08"
"SORBI_3002G352800",5.07201896038367e-08,5,"Yes","0.03383149,0.03789012,4.838802e-09,0.194815,0.043335"
"SORBI_3004G111600",5.14450115840503e-08,3,"Yes","0.4134432,0.03045012,8.60051e-09"
"SORBI_3003G087400",6.82773049209828e-08,2,"Yes","0.9643659,3.418006e-08"
"SORBI_3004G053900",7.056097e-08,1,"No","7.056097e-08"
"SORBI_3004G067000",7.06189657861955e-08,3,"Yes","6.52265e-08,1.137235e-07,2.19091e-07"
"SORBI_3009G151400",7.79124833538702e-08,2,"Yes","3.895668e-08,0.087783"
"SORBI_3003G107600",9.420214e-08,1,"No","9.420214e-08"
"SORBI_3003G329000",1.11117401613292e-07,2,"Yes","0.5191973,5.565749e-08"
"SORBI_3004G130900",1.27968801555411e-07,2,"Yes","0.3167517,7.376353e-08"
"SORBI_3001G256300",1.41100094830371e-07,4,"Yes","0.0001046291,0.0001304418,0.001294873,1.975957e-08"
"SORBI_3010G244500",1.432547e-07,1,"No","1.432547e-07"
"SORBI_3004G038500",1.44224473919152e-07,3,"Yes","2.462761e-08,0.1812719,0.002444582"
"SORBI_3003G229500",1.44971415871886e-07,3,"Yes","3.591361e-05,0.7758352,2.478036e-08"
"SORBI_3004G141800",1.50389588893241e-07,7,"Yes","0.09811996,0.3436455,0.8940156,8.505182e-09,0.062749,0.2930282,0.2279378"
"SORBI_3001G437100",1.64555435611113e-07,6,"Yes","4.800674e-07,0.760398,0.7692668,9.553872e-08,9.553872e-08,0.7347844"
"SORBI_3001G081900",1.72181840119023e-07,2,"Yes","0.02261439,8.610205e-08"
"SORBI_3001G342700",1.75962769577431e-07,4,"Yes","4.314834e-07,1.384471e-07,4.419986e-07,1.614412e-07"
"SORBI_3003G399200",1.884275e-07,1,"No","1.884275e-07"
"SORBI_3003G324600",1.91016791162291e-07,11,"Yes","1.256685e-05,2.061744e-05,1.256685e-05,2.113335e-05,5.251813e-05,0.0001104786,0.9326427,1.965243e-06,2.118539e-05,0.03269267,7.308366e-07"
"SORBI_3006G259300",2.26466265074166e-07,4,"Yes","3.497532e-08,0.9647774,0.3503488,0.3433643"
"SORBI_3003G024450",2.59723315965132e-07,4,"Yes","0.03397751,0.03397751,4.159712e-08,2.047547e-05"
"SORBI_3007G023000",3.157152e-07,1,"No","3.157152e-07"
"SORBI_3006G264000",3.41796869252065e-07,4,"Yes","2.377574e-05,5.729699e-05,3.128369e-07,1.709489e-07"
"SORBI_3006G273700",3.635968e-07,1,"No","3.635968e-07"
"SORBI_3004G157000",3.96202116115241e-07,3,"Yes","6.615508e-08,0.02150315,0.0613795"
"SORBI_3010G086700",4.004084e-07,1,"No","4.004084e-07"
"SORBI_3001G389200",5.129713e-07,1,"No","5.129713e-07"
"SORBI_3003G278600",5.39100604157738e-07,4,"Yes","0.2175399,0.683172,9.963127e-08,3.447865e-06"
"SORBI_3004G132100",5.49658904058781e-07,8,"Yes","0.8244256,0.7689589,0.1307556,0.8917855,0.8889308,3.747276e-06,0.8640833,2.867439e-08"
"SORBI_3004G155200",6.13150928474582e-07,6,"Yes","0.2376475,0.7549766,5.504337e-08,0.1912682,0.2162474,0.2162474"
"SORBI_3010G124001",6.24205041654946e-07,9,"Yes","0.7252309,0.7553075,0.181209,0.9520338,3.951908e-08,0.2232962,0.243306,0.36037,0.4939234"
"SORBI_3003G337000",6.26864129604776e-07,2,"Yes","6.493922e-05,3.137031e-07"
"SORBI_3005G145700",6.29103238614093e-07,2,"Yes","0.01629042,3.145844e-07"
"SORBI_3003G287800",6.66532656179442e-07,6,"Yes","5.689506e-08,0.9795002,0.9302487,0.9335565,0.002461587,0.317951"
"SORBI_3003G331400",6.89278218612976e-07,14,"Yes","0.004753246,1.430617e-06,1.648402e-06,4.56104e-07,4.983725e-06,0.1542431,6.242387e-06,1.643464e-05,1.092553e-05,0.0004470968,0.0003972373,0.3136924,0.0003875151,0.0009546738"
"SORBI_3010G076200",7.40286435596538e-07,6,"Yes","0.5540558,0.3870525,0.7063096,0.202242,0.5098847,5.199954e-08"
"SORBI_3004G094500",7.50907265922862e-07,4,"Yes","0.2731521,0.4667251,1.008431e-07,0.186247"
"SORBI_3003G012200",8.42473731998972e-07,5,"Yes","0.2686896,2.266704e-06,2.253988e-06,1.188031e-06,0.8292829"
"SORBI_3006G196200",8.5305433683569e-07,2,"Yes","4.265576e-07,0.9946025"
"SORBI_3001G322000",8.859962e-07,1,"No","8.859962e-07"
"SORBI_3001G224700",9.92685258771608e-07,3,"Yes","0.4970019,1.377514e-06,1.377514e-06"
"SORBI_3004G100900",1.051785e-06,1,"No","1.051785e-06"
"SORBI_3003G286500",1.2818293773087e-06,3,"Yes","0.5814108,2.146148e-07,0.001511531"
"SORBI_3006G116000",1.42814962211801e-06,3,"Yes","1.036209e-06,0.01109556,5.366295e-05"
"SORBI_3001G253300",1.63657155405339e-06,8,"Yes","9.227004e-05,0.08094736,0.0002061391,0.01641805,0.0001755544,6.479732e-05,6.479732e-05,7.445676e-07"
"SORBI_3004G078000",1.9535517443714e-06,2,"Yes","9.771488e-07,1.543953e-06"
"SORBI_3001G120500",1.98701909104315e-06,2,"Yes","9.936584e-07,0.01003903"
"SORBI_3001G120600",1.98701909104315e-06,2,"Yes","9.936584e-07,0.01003903"
"SORBI_3001G115500",2.05538751407719e-06,14,"Yes","0.8532442,0.3112381,0.08555373,0.4845945,0.4866682,8.674265e-06,1.202739e-06,1.460186e-06,0.000311318,0.4949285,0.3940807,0.8667035,0.2213855,0.7919932"
"SORBI_3001G444000",2.09175433429909e-06,3,"Yes","0.8645136,0.000153219,3.496703e-07"
"SORBI_3010G045100",2.11773e-06,1,"No","2.11773e-06"
"SORBI_3003G406500",2.51259941508319e-06,2,"Yes","0.7972613,1.413816e-06"
"SORBI_3007G018700",2.545447e-06,1,"No","2.545447e-06"
"SORBI_3001G423300",2.59135258218191e-06,3,"Yes","0.0001084741,0.0002118196,5.395576e-07"
"SORBI_3006G118000",3.149995e-06,1,"No","3.149995e-06"
"SORBI_3002G331700",3.204393e-06,1,"No","3.204393e-06"
