Marker Chr Pos p
S8_39882 8 39882 0.000481214527114744
S8_233934 8 233934 0.000633114747890703
S8_471276 8 471276 0.000102014915753145
S8_1146691 8 1146691 9.34537796010622e-06
S8_1215545 8 1215545 0.000916817459927841
S8_1293135 8 1293135 0.000548365732295444
S8_1330805 8 1330805 0.000640022040474765
S8_1401984 8 1401984 0.000339704829693284
S8_1402006 8 1402006 0.000339704829693284
S8_1402008 8 1402008 0.000354851937218296
S8_1402020 8 1402020 0.000339704829693284
S8_1610964 8 1610964 0.000883090229906778
S8_2019317 8 2019317 3.43973421461212e-07
S8_2070559 8 2070559 0.000292934472617917
S8_2124452 8 2124452 9.80894615563617e-05
S8_2221633 8 2221633 0.000755700944444678
S8_2260857 8 2260857 0.000635900836980599
S8_2260955 8 2260955 8.54812078631798e-05
S8_2347100 8 2347100 0.00048681749535007
S8_2360713 8 2360713 0.000656992103985959
S8_2496884 8 2496884 0.000933636294304139
S8_2496896 8 2496896 0.000933636294304108
S8_2496913 8 2496913 0.000933636294304139
S8_2507375 8 2507375 0.000978682311947918
S8_2508554 8 2508554 0.000824867017893108
S8_2654974 8 2654974 0.00096298541865973
S8_2991057 8 2991057 0.000508106858923579
S8_3080797 8 3080797 0.000665827824686296
S8_3108195 8 3108195 0.000373973990553896
S8_3108196 8 3108196 0.000373973990553896
S8_3153648 8 3153648 0.000915124940279818
S8_3396015 8 3396015 0.000226698737109766
S8_3681702 8 3681702 0.000795893744123812
S8_4208781 8 4208781 1.30630824147086e-05
S8_4235474 8 4235474 0.000884250606767147
S8_4236026 8 4236026 0.000719560727254057
S8_4899512 8 4899512 5.64913811246314e-05
S8_4899919 8 4899919 0.000481712502198733
S8_5026191 8 5026191 0.000887512627034121
S8_6053926 8 6053926 0.000539338361543503
S8_6299109 8 6299109 0.000195221959031217
S8_6601720 8 6601720 6.69639360238022e-05
S8_6616410 8 6616410 4.27190534865226e-05
S8_6637105 8 6637105 0.000139440921917047
S8_6855802 8 6855802 0.000410582987798621
S8_7026407 8 7026407 0.000285665649116934
S8_7174446 8 7174446 0.000876687045502078
S8_7210821 8 7210821 0.000695466449025848
S8_7210853 8 7210853 0.000695466449025848
S8_7942368 8 7942368 3.60804866481891e-05
S8_8219515 8 8219515 0.000975607580137655
S8_8642117 8 8642117 0.000436573300256504
S8_9127507 8 9127507 0.00038328858449167
S8_9129568 8 9129568 0.000936656270542078
S8_9129620 8 9129620 0.000327641417770217
S8_9395495 8 9395495 0.000936775406513021
S8_9458147 8 9458147 0.000705515216260265
S8_9458174 8 9458174 0.000270120074686262
S8_9475886 8 9475886 9.05279166339187e-05
S8_10913435 8 10913435 5.27194503953742e-05
S8_10913475 8 10913475 5.27194503953742e-05
S8_10913476 8 10913476 6.27452048587719e-05
S8_12906228 8 12906228 0.000339520445975324
S8_13994952 8 13994952 0.00090948741218866
S8_14089198 8 14089198 0.000438484802191707
S8_14121697 8 14121697 0.000528497975749515
S8_16296889 8 16296889 0.000108217253723828
S8_16619197 8 16619197 7.3042879150502e-05
S8_16928900 8 16928900 0.000252334438270042
S8_17451505 8 17451505 0.000748119181629681
S8_18037829 8 18037829 0.000479861561051103
S8_24351170 8 24351170 7.43629369623253e-05
S8_31140898 8 31140898 2.45617180397723e-05
S8_31760214 8 31760214 0.000424701525339175
S8_31777671 8 31777671 0.000649689935219317
S8_32528297 8 32528297 2.60183641136538e-05
S8_33222710 8 33222710 0.000684729516889385
S8_33378643 8 33378643 0.000503779534355264
S8_33726633 8 33726633 0.000152279719668271
S8_34853390 8 34853390 0.000115268258915948
S8_34853403 8 34853403 0.000115268258915948
S8_35170945 8 35170945 0.000800136974265944
S8_36385039 8 36385039 0.000171791232714789
S8_36979502 8 36979502 5.37924191480802e-05
S8_36979530 8 36979530 0.000984325927925909
S8_37396775 8 37396775 0.000752512624047353
S8_37507898 8 37507898 0.00041555141034273
S8_37945485 8 37945485 8.46336355946332e-05
S8_38075358 8 38075358 0.000548743000988147
S8_38075359 8 38075359 0.000548743000988147
S8_38333758 8 38333758 0.00078469571436512
S8_38433769 8 38433769 0.000733697897305406
S8_38612714 8 38612714 0.000611746693919913
S8_38673182 8 38673182 0.00028710838406981
S8_39522177 8 39522177 6.59487006724294e-05
S8_39522186 8 39522186 6.59487006724294e-05
S8_40355025 8 40355025 0.000809184612279943
S8_40355032 8 40355032 0.000898561751281265
S8_40355033 8 40355033 0.000967320373330217
S8_42730094 8 42730094 0.000592119608576509
S8_43660723 8 43660723 0.000279534457313801
S8_43844722 8 43844722 0.000132454958931648
S8_43980427 8 43980427 0.000155230978215826
S8_43988039 8 43988039 6.22863388763251e-06
S8_44175678 8 44175678 0.00036952134984706
S8_44537816 8 44537816 0.000155058020551384
S8_44544647 8 44544647 0.000765089054335088
S8_44545176 8 44545176 0.000298378510305558
S8_44545256 8 44545256 0.000618952850025921
S8_44547217 8 44547217 0.000486093278943293
S8_44549729 8 44549729 1.02392389961551e-05
S8_44726724 8 44726724 0.000847323310524761
S8_45363884 8 45363884 0.000378613723440792
S8_45783207 8 45783207 0.00021617343677338
S8_45975514 8 45975514 0.000463778920266485
S8_46408961 8 46408961 0.00059970273266087
S8_46464515 8 46464515 0.000204030330959517
S8_46560448 8 46560448 0.000156909660677769
S8_46575715 8 46575715 0.000150865130165903
S8_46575984 8 46575984 0.000761686168014449
S8_46778563 8 46778563 0.000392437960086792
S8_46997923 8 46997923 0.000742973932332703
S8_47932632 8 47932632 0.000193631053516373
S8_47932644 8 47932644 0.000193631053516345
S8_48157542 8 48157542 0.000527174448667608
S8_48157563 8 48157563 0.000527174448667608
S8_48157585 8 48157585 0.000527174448667608
S8_48494238 8 48494238 0.000300563899791593
S8_48494241 8 48494241 0.000300563899791593
S8_48787819 8 48787819 0.000406544621527937
S8_49358794 8 49358794 8.38829302341493e-06
S8_49592004 8 49592004 7.25236728146474e-06
S8_49592077 8 49592077 0.000146498853633444
S8_49592083 8 49592083 0.000402769093209437
S8_49721262 8 49721262 0.000670232198335346
S8_49913659 8 49913659 0.000206387824099474
S8_50230933 8 50230933 4.09195541910098e-05
S8_50263784 8 50263784 0.000359448686428084
S8_50725855 8 50725855 0.000321884353351287
S8_50725856 8 50725856 0.000321884353351259
S8_50725857 8 50725857 0.000321884353351259
S8_50725858 8 50725858 0.000329189072455955
S8_50838458 8 50838458 0.000517443753951996
S8_50855455 8 50855455 0.000272658875242057
S8_50855456 8 50855456 0.00027265887524208
S8_50861646 8 50861646 1.87218053904881e-05
S8_50877761 8 50877761 0.000347186913992735
S8_50877771 8 50877771 0.000347186913992705
S8_50877817 8 50877817 0.000369435851616718
S8_50927510 8 50927510 3.249832573578e-05
S8_50932285 8 50932285 0.000194126204697031
S8_50934338 8 50934338 9.13115350261379e-07
S8_50982672 8 50982672 0.000879074376003242
S8_51047794 8 51047794 0.000338454618064307
S8_51137675 8 51137675 6.61273271031283e-05
S8_51205015 8 51205015 1.65900355214216e-05
S8_51208465 8 51208465 0.000969385065051371
S8_51246050 8 51246050 0.000139782940895893
S8_51295310 8 51295310 0.000749499126400457
S8_51416044 8 51416044 0.00014219632357399
S8_51416055 8 51416055 0.00014219632357399
S8_51416084 8 51416084 0.00014219632357399
S8_51416098 8 51416098 0.00014219632357399
S8_51421788 8 51421788 0.000904540771287821
S8_51618828 8 51618828 0.000633006181672675
S8_51691273 8 51691273 0.000458513514026358
S8_51722286 8 51722286 0.000482334190462953
S8_51722299 8 51722299 0.000482334190462994
S8_51747305 8 51747305 1.11907432617838e-05
S8_51826586 8 51826586 0.000279293370691466
S8_51876698 8 51876698 2.19783831691534e-07
S8_51876699 8 51876699 2.19783831691534e-07
S8_51983055 8 51983055 0.000732092657912729
S8_52141680 8 52141680 0.00044096206453417
S8_52141709 8 52141709 0.000440962064534233
S8_52318588 8 52318588 0.000741472492339998
S8_52318884 8 52318884 0.000916251855091497
S8_52318931 8 52318931 0.000426507480267243
S8_52404887 8 52404887 0.000169235396424494
S8_52405028 8 52405028 4.60744820777823e-05
S8_52405075 8 52405075 4.60744820777771e-05
S8_52523707 8 52523707 0.000827907659196282
S8_52681406 8 52681406 0.000146907289102783
S8_52681444 8 52681444 0.000146907289102812
S8_53045575 8 53045575 0.000122608815888337
S8_53361310 8 53361310 1.48172253544175e-05
S8_53602851 8 53602851 0.000660459691266402
S8_53649835 8 53649835 0.000175519806153696
S8_53829697 8 53829697 0.000501962856734611
S8_54028225 8 54028225 0.000180002843048739
S8_54625219 8 54625219 0.000772635660955163
S8_54632401 8 54632401 0.000598027729205745
S8_54632406 8 54632406 0.000211808715766247
S8_55080673 8 55080673 0.000397238526766642
S8_55201115 8 55201115 0.000942331024631603
