rs chr ps p_wald
S2_10056 2 31041 0.2062997
S2_10206 2 31191 0.4039625
S2_10208 2 31193 0.1551974
S2_10228 2 31213 0.876445
S2_10232 2 31217 0.3653632
S2_10267 2 31252 0.163604
S2_10825 2 31810 0.3840638
S2_10826 2 31811 0.546909
S2_69819 2 72210 0.2457576
S2_69828 2 72219 0.6982898
S2_69841 2 72232 0.2112461
S2_69844 2 72235 0.02484191
S2_69845 2 72236 0.9802992
S2_69850 2 72241 0.8886395
S2_69864 2 72255 0.06772905
S2_69870 2 72261 0.3890717
S2_69872 2 72263 0.5631375
S2_135297 2 107128 0.806137
S2_135318 2 107107 0.1897237
S2_135423 2 107002 0.5138347
S2_138206 2 104219 0.4922584
S2_138224 2 104201 0.1935377
S2_160960 2 149968 0.0208431
S2_178164 2 167172 0.8538712
S2_178866 2 167874 0.3468668
S2_179468 2 168476 0.9840784
S2_179473 2 168481 0.908986
S2_179475 2 168483 0.8257234
S2_179476 2 168484 0.7643915
S2_179477 2 168485 0.8190657
S2_227241 2 199138 0.0701467
S2_227275 2 199172 0.764701
S2_275183 2 250936 0.8456286
S2_275217 2 250970 0.2880123
S2_275267 2 251020 0.3929978
S2_275273 2 251026 0.8909507
S2_275276 2 251029 0.5120679
S2_275277 2 251030 0.4181621
S2_275278 2 251031 0.5195351
S2_275281 2 251034 0.02949634
S2_275285 2 251038 0.9726287
S2_275288 2 251041 0.8075583
S2_275322 2 251075 0.09619756
S2_275325 2 251078 0.7575116
S2_364762 2 344280 0.8799813
S2_375160 2 354676 0.8799898
S2_375173 2 354689 0.5935196
S2_375215 2 354731 0.06608185
S2_402303 2 381819 0.903293
S2_402375 2 381891 0.6604353
S2_604962 2 881105 0.477959
S2_604964 2 881107 0.3067172
S2_604986 2 881129 0.8333107
S2_604987 2 881130 0.8924039
S2_604990 2 881133 0.3069814
S2_605078 2 881221 0.1516531
S2_605123 2 881266 0.9267865
S2_605960 2 882143 0.2726194
S2_605987 2 882170 0.01861492
S2_606017 2 882200 0.7254763
S2_615033 2 891232 0.5675424
S2_659604 2 935871 0.4394173
S2_659605 2 935872 0.2814243
S2_659625 2 935892 0.3029499
S2_659667 2 935934 0.7331286
S2_659687 2 935954 0.6249082
S2_659697 2 935964 0.2255666
S2_659709 2 935976 0.9868367
S2_659717 2 935984 0.9845674
S2_659721 2 935988 0.953674
S2_720760 2 997905 0.8433304
S2_721575 2 998720 0.2855582
S2_721668 2 998813 0.3303704
S2_721671 2 998816 0.5769414
S2_721732 2 998877 0.5585747
S2_721743 2 998888 0.3368307
S2_721754 2 998899 0.749337
S2_721781 2 998926 0.3391472
S2_721833 2 998978 0.4059587
S2_721848 2 998993 0.272508
S2_721875 2 999020 0.7571438
S2_722630 2 999775 0.985586
S2_722686 2 999831 0.7179093
S2_723330 2 1000475 0.1782102
S2_723370 2 1000515 0.6508051
S2_724503 2 1001648 0.12562
S2_726788 2 1003933 0.4151448
S2_726806 2 1003951 0.4259128
S2_726811 2 1003956 0.5151577
S2_726854 2 1003999 0.5305086
S2_751562 2 1029039 0.03090253
S2_751572 2 1029049 0.9497711
S2_751610 2 1029087 0.03015468
S2_751700 2 1029177 0.1283359
S2_752122 2 1029599 0.7044509
S2_752126 2 1029603 0.431082
S2_752131 2 1029608 0.6925368
