rs chr ps p_wald
S6_72442 6 72442 0.596158
S6_114296 6 114296 0.2541732
S6_176407 6 176407 0.4337836
S6_255519 6 255519 0.6043832
S6_256321 6 256321 0.004459222
S6_258267 6 258267 0.03344992
S6_258288 6 258288 0.1534217
S6_258293 6 258293 0.004709191
S6_334735 6 334735 0.06698365
S6_376955 6 376955 0.03099636
S6_377012 6 377012 0.9176958
S6_382696 6 382696 0.03053487
S6_397888 6 397888 0.2577908
S6_478402 6 478402 0.405135
S6_618387 6 618387 0.07386256
S6_673104 6 673104 0.04809014
S6_673105 6 673105 0.05324497
S6_753189 6 753189 0.1795812
S6_753193 6 753193 0.7860856
S6_769858 6 769858 0.9785857
S6_769859 6 769859 0.9722137
S6_769906 6 769906 0.3599236
S6_780688 6 780688 0.0527613
S6_787837 6 787837 0.06566925
S6_789397 6 789397 0.9229534
S6_793268 6 793268 0.5798375
S6_793277 6 793277 0.9215646
S6_796068 6 796068 0.6131787
S6_811191 6 811191 0.1949782
S6_838601 6 838601 0.07309356
S6_884649 6 884649 0.8236635
S6_884662 6 884662 0.7111942
S6_916063 6 916063 0.8861281
S6_928884 6 928884 0.1339825
S6_928913 6 928913 0.3965388
S6_941907 6 941907 0.9188665
S6_941910 6 941910 0.8308717
S6_941934 6 941934 0.6064412
S6_950193 6 950193 0.5459212
S6_950195 6 950195 0.5518947
S6_957018 6 957018 0.3285871
S6_957024 6 957024 0.3015216
S6_966733 6 966733 0.8869722
S6_970345 6 970345 0.1923964
S6_1013100 6 1013100 0.8638337
S6_1013103 6 1013103 0.837538
S6_1021161 6 1021161 0.5510746
S6_1168107 6 1168107 0.866673
S6_1201288 6 1201288 0.695334
S6_1246723 6 1246723 0.1100499
S6_1265705 6 1265705 0.819145
S6_1279029 6 1279029 0.5819872
S6_1279030 6 1279030 0.5300189
S6_1292372 6 1292372 0.314028
S6_1292382 6 1292382 8.324e-06
S6_1292400 6 1292400 1.541076e-05
S6_1292409 6 1292409 0.0001760126
S6_1343249 6 1343249 0.07039094
S6_1402697 6 1402697 0.004292457
S6_1486734 6 1486734 0.8524549
S6_1486757 6 1486757 0.1207748
S6_1499201 6 1499201 0.1277487
S6_1499208 6 1499208 0.7015195
S6_1499209 6 1499209 0.5402435
S6_1499228 6 1499228 0.7015195
S6_1564193 6 1564193 0.1149262
S6_1564195 6 1564195 0.1001844
S6_1618728 6 1618728 0.1658456
S6_1635984 6 1635984 0.4354773
S6_1636633 6 1636633 0.3796877
S6_1636662 6 1636662 0.5592318
S6_1638827 6 1638827 0.974206
S6_1638833 6 1638833 0.003823353
S6_1699692 6 1699692 0.3349741
S6_1750238 6 1750238 0.8659886
S6_1775042 6 1775042 0.5124191
S6_1775151 6 1775151 0.4543583
S6_1775156 6 1775156 0.5566864
S6_1775261 6 1775261 0.06859867
S6_1775287 6 1775287 0.05275241
S6_1841119 6 1841119 0.7759815
S6_1888707 6 1888707 0.123911
S6_1888784 6 1888784 0.335619
S6_1888788 6 1888788 0.5509549
S6_1917237 6 1917237 0.00139898
S6_1980770 6 1980770 0.2930927
S6_2053192 6 2053192 0.8373982
S6_2167455 6 2167455 0.1790438
S6_2167641 6 2167641 0.03752597
S6_2172186 6 2172186 0.3818582
S6_2198886 6 2198886 0.5244256
S6_2202036 6 2202036 0.3766328
S6_2341399 6 2341399 0.9045489
S6_2375314 6 2375314 0.1888597
S6_2375416 6 2375416 0.5045087
S6_2422747 6 2422747 0.7189451
S6_2422786 6 2422786 0.6981671
S6_2465885 6 2465885 0.5591973
S6_2557840 6 2557840 0.8782874
S6_2577808 6 2577808 0.01629901
S6_2631628 6 2631628 0.0009552822
S6_2650027 6 2650027 0.3822481
S6_2650055 6 2650055 0.3541601
S6_2650056 6 2650056 0.5552661
S6_2780046 6 2780046 0.3201391
S6_2780157 6 2780157 0.4589294
S6_2780170 6 2780170 0.8761333
S6_2882679 6 2882679 0.3968252
S6_2966624 6 2966624 0.9406559
S6_2966651 6 2966651 0.9991359
S6_2966672 6 2966672 0.9263528
S6_2975785 6 2975785 0.5903584
S6_3050116 6 3050116 0.04158784
S6_3094139 6 3094139 0.4211745
S6_3184987 6 3184987 0.02298124
S6_3184996 6 3184996 0.07433648
S6_3186434 6 3186434 0.3639446
S6_3242489 6 3242489 0.03275442
S6_3242670 6 3242670 0.002130598
S6_3246487 6 3246487 0.006106933
S6_3246497 6 3246497 0.1170654
S6_3246713 6 3246713 0.7980714
S6_3246788 6 3246788 0.5026198
S6_3246800 6 3246800 0.507572
S6_3247247 6 3247247 0.1224159
S6_3247250 6 3247250 0.1224159
S6_3248481 6 3248481 0.08785303
S6_3248588 6 3248588 0.321586
S6_3248594 6 3248594 0.8784582
S6_3295483 6 3295483 0.2767568
S6_3297433 6 3297433 0.9411969
S6_3304166 6 3304166 0.7010121
S6_3304551 6 3304551 0.03566912
S6_3304556 6 3304556 0.3154719
S6_3304819 6 3304819 0.5698617
S6_3309378 6 3309378 0.7298004
S6_3368648 6 3368648 0.9183781
S6_3368716 6 3368716 0.195769
S6_3372371 6 3372371 0.3481392
S6_3429627 6 3429627 0.5296232
S6_3449825 6 3449825 0.02547902
S6_3509503 6 3509503 0.444404
S6_3510490 6 3510490 0.7961583
S6_3510491 6 3510491 0.6526605
S6_3518366 6 3518366 0.9250569
S6_3518483 6 3518483 0.3343156
S6_3522495 6 3522495 0.06350846
S6_3539299 6 3539299 0.008299207
S6_3539318 6 3539318 0.2120079
S6_3861018 6 3861018 0.05259366
S6_3861081 6 3861081 0.07969565
S6_3861112 6 3861112 0.07969565
S6_3861362 6 3861362 0.1798653
S6_3861368 6 3861368 0.04646017
S6_3861372 6 3861372 0.03997252
S6_3872981 6 3872981 0.7485958
S6_3883047 6 3883047 0.004340149
S6_3883066 6 3883066 0.0009740601
S6_3883068 6 3883068 0.001142495
S6_3883096 6 3883096 0.0008209812
S6_3884058 6 3884058 0.001160695
S6_3899707 6 3899707 0.0524262
S6_3899710 6 3899710 0.0590324
S6_3941490 6 3941490 0.4973317
S6_3943044 6 3943044 0.02140228
S6_3943322 6 3943322 0.7412981
S6_3950848 6 3950848 0.1704095
S6_3950853 6 3950853 0.6184341
