"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"SORBI_3002G378900",6.47532480080315e-07,2,"Yes","0.3283613,2.16855e-07"
"SORBI_3003G052800",9.81126754506789e-07,26,"Yes","9.10359e-05,3.68678e-05,0.3164469,0.0003615027,0.0002300302,0.0001425883,0.0001196207,0.2615984,0.2535154,0.00373621,0.00373621,0.01019159,0.0005631531,0.0003376625,0.001059132,0.001059132,0.0003905746,0.2442948,0.2729737,0.2168705,0.2249914,6.388136e-06,0.2090286,0.1537875,0.696554,0.03985694"
"SORBI_3004G080400",1.81882619243456e-06,3,"Yes","5.718732e-07,0.5774102,0.5478718"
"SORBI_3009G092100",5.04922779598349e-06,3,"Yes","7.689379e-06,2.028068e-05,0.7420318"
"SORBI_3001G066100",5.26449596360834e-06,5,"Yes","0.2937312,0.002679412,0.0001538435,0.00017681,9.330154e-06"
"SORBI_3003G241200",5.809398e-06,1,"No","5.809398e-06"
"SORBI_3009G093000",6.07804e-06,1,"No","6.07804e-06"
"SORBI_3010G240700",6.8953473187916e-06,2,"Yes","0.3610171,3.434093e-06"
"SORBI_3002G338700",7.465468e-06,1,"No","7.465468e-06"
"SORBI_3003G342000",8.248455e-06,1,"No","8.248455e-06"
"SORBI_3003G008000",9.08341629446419e-06,14,"Yes","0.4556567,0.4556567,0.0001351943,0.0001732897,0.01218828,0.004728853,0.9837088,0.0005187775,9.129891e-06,1.777731e-05,0.5593887,0.001173668,0.6258412,0.457301"
"SORBI_3001G380300",1.07437739799154e-05,3,"Yes","3.042004e-05,3.543091e-05,2.608706e-06"
"SORBI_3003G015600",1.54308285915672e-05,6,"Yes","1.395111e-05,1.395111e-05,2.781197e-05,0.143208,0.08313522,0.1505592"
"SORBI_3006G217700",3.66393958720623e-05,5,"Yes","4.36994e-06,0.09045267,0.5792221,0.2727198,0.82905"
"SORBI_3003G292500",3.85340161573877e-05,7,"Yes","8.089137e-06,3.103461e-05,0.001900433,0.8079372,0.1742576,0.7162262,9.240473e-05"
"SORBI_3010G161600",4.51905216443116e-05,8,"Yes","0.001118853,0.0002959441,0.0002022315,0.0004356256,0.984153,0.1822074,0.1352042,0.1776653"
"SORBI_3006G021900",4.55826716676544e-05,5,"Yes","0.7401492,4.16024e-05,6.069889e-05,2.79505e-05,0.2488932"
"SORBI_3010G082201",4.63194998062688e-05,3,"Yes","0.9006238,0.0001430106,0.0006742935"
"SORBI_3004G205500",4.8793896752497e-05,4,"Yes","0.4376089,0.4651405,6.520088e-06,0.4054287"
"SORBI_3002G414900",5.164807e-05,1,"No","5.164807e-05"
"SORBI_3003G282700",5.37901e-05,1,"No","5.37901e-05"
"SORBI_3003G292300",6.106858e-05,1,"No","6.106858e-05"
"SORBI_3003G380100",6.710263e-05,1,"No","6.710263e-05"
"SORBI_3001G424400",7.205194e-05,1,"No","7.205194e-05"
"SORBI_3003G292200",7.72270834880073e-05,4,"Yes","0.361645,0.02173015,0.0696227,1.471347e-05"
"SORBI_3006G063900",8.91400171233458e-05,5,"Yes","0.003059502,3.421107e-05,2.544151e-05,0.1872205,0.1402326"
"SORBI_3006G261600",0.000101178292722381,2,"Yes","2.320431e-05,0.7733445"
"SORBI_3010G051700",0.000134262199784074,9,"Yes","0.0005269183,0.0006638146,0.001721553,0.001464377,0.0002847711,0.02508656,0.05282986,0.1012994,0.02497651"
"SORBI_3002G365900",0.000158150273167679,6,"Yes","0.9194589,0.4488461,0.01282812,0.9248619,1.055902e-05,0.5568363"
"SORBI_3003G011000",0.000169112277027428,2,"Yes","0.7418708,3.833931e-05"
"SORBI_3006G134700",0.000178174535123032,2,"Yes","4.562353e-05,0.04289552"
"SORBI_3009G094800",0.000179983915903903,2,"Yes","0.3564369,4.458411e-05"
"SORBI_3002G306000",0.000202785512219639,6,"Yes","0.0009990067,0.0002574858,0.002347556,0.5629053,0.8853495,0.03765892"
"SORBI_3006G046300",0.000215562387641199,2,"Yes","0.4049233,8.194939e-05"
