Taxa,sol_VH,sol_Mo,tot,lab,occ,stp,PHO,PNZ,POL,TP,extP
IS14446.70MUKAAXX.2.250006019,0,70,545.8120117,67.43858337,124.3141403,563.6398926,700,3635,740,600,21
IS14567.MRG.4.250047680,0,70,321.8891602,39.77147675,73.31347656,537.2693481,700,3635,740,600,21
IS21519.628NVAAXX.5.250006979,0,20,116.9999924,7.259714127,69.35140228,611.0595093,NA,4645,NA,400,25
IS25522.MRG.4.250047691,0,100,NA,NA,NA,653.2579956,NA,NA,NA,NA,23
IS25523.MRG.4.250047692,0,100,NA,NA,NA,653.2579956,NA,NA,NA,NA,23
IS25524.MRG.4.250047693,0,100,NA,NA,NA,653.2579956,NA,NA,NA,NA,25
IS30898.B064FABXX.1.250009989,60,10,545.8120117,67.43858337,124.3141403,519.9143066,NA,4321,NA,400,21
IS31123.B064FABXX.1.250010001,20,80,503.8467712,36.5202446,190.2079315,470.6090088,NA,NA,NA,NA,23
IS9168.70MUKAAXX.2.250006009,0,10,116.9999924,7.259714127,69.35140228,684.1657715,NA,4346,NA,400,22
IS10068.C1AB3ACXX.7.250137465,20,20,447.8638611,32.46244431,169.0737457,390.8797607,1000,2062,523,500,21
IS10189.C1AB3ACXX.7.250137466,100,0,134.8636322,9.316637039,67.74820709,371.3766785,NA,NA,NA,NA,21
IS10191.C1AB3ACXX.7.250138387,0,70,447.8638611,32.46244431,169.0737457,409.9119873,1000,2037,523,500,20
IS10876.628P7AAXX.7.250007049,0,0,503.8467712,36.5202446,190.2079315,398.923645,1000,1888,NA,300,25
IS10882.628P7AAXX.7.250007073,0,0,503.8467712,36.5202446,190.2079315,398.923645,1000,1888,NA,300,25
IS11119.628NVAAXX.5.250006899,0,20,604.5,41.7600174,303.6681519,572.6976929,100,4994,577,800,24
IS11374.70MUKAAXX.2.250006018,0,90,604.5,41.7600174,303.6681519,709.3694458,NA,NA,NA,NA,24
IS11424.C1AB3ACXX.7.250138388,0,100,940.0096436,101.3962326,202.7986298,591.0753784,NA,2539,NA,800,26
IS11431.C1AB3ACXX.7.250138389,0,90,206.9999847,14.29995537,103.9856186,603.8569336,NA,NA,NA,NA,26
IS11473.D0D0HACXX.5.250046338,0,90,321.8891602,34.7212944,69.44468689,588.7608643,NA,2568,NA,800,14
IS11619.D0D0HACXX.5.250046339,0,90,867.7362061,47.08076096,409.7195129,730.7924194,NA,NA,NA,NA,27
IS11758.B064FABXX.1.250009960,20,80,1323.805298,163.5646515,301.5098877,727.0363159,400,3672,506,600,25
IS11919.D0D0HACXX.5.250046340,80,20,503.8467712,43.10734177,87.04179382,616.9223022,300,4765,524,700,26
IS11954.MRG.4.250047668,90,10,867.7362061,62.89599228,327.5803528,903.1356201,800,5650,NA,700,28
IS11960.D0D0HACXX.5.250046081,90,10,867.7362061,62.89599228,327.5803528,903.1356201,800,5650,NA,700,28
IS12031.C1AB3ACXX.7.250138390,10,70,940.0096436,101.3962326,202.7986298,604.2385864,NA,2398,NA,600,27
IS12106.C1AB3ACXX.7.250138391,0,70,1323.805298,142.7952271,285.5990906,378.006073,NA,1744,NA,500,23
IS12110.70MUKAAXX.2.250006030,0,90,604.5,41.7600174,303.6681519,709.3694458,NA,NA,NA,NA,25
IS12169.628NVAAXX.5.250006923,0,40,867.7362061,62.89599228,327.5803528,719.2561035,300,4302,577,700,26
IS12531.628NVAAXX.5.250006971,90,10,1323.805298,163.5646515,301.5098877,727.0363159,400,3672,506,600,26
IS12584.C1AB3ACXX.7.250138392,0,100,503.8467712,43.10734177,87.04179382,422.1570435,1000,2137,523,400,27
IS12590.C1AB3ACXX.7.250138393,60,10,297.1404114,16.12194824,140.3009796,623.8930054,0,4109,371,700,26
IS13782.D0D0HACXX.5.250046354,0,40,69,4.281369686,40.89954758,563.5465088,NA,2359,939,600,22
IS13791.628P7AAXX.7.250007099,0,40,69,4.281369686,40.89954758,563.5465088,NA,2359,939,600,22
IS13827.70MUKAAXX.2.250006050,0,40,69,4.281369686,40.89954758,563.5465088,NA,2359,939,600,22
IS13845.628NVAAXX.5.250006901,0,40,69,4.281369686,40.89954758,563.5465088,NA,2359,939,600,22
IS13893.D0D0HACXX.5.250046355,0,40,69,4.281369686,40.89954758,563.5465088,NA,2359,939,600,22
IS13919.D0D0HACXX.5.250046356,0,40,69,4.281369686,40.89954758,563.5465088,NA,2359,939,600,22
IS13926.628NVAAXX.5.250006925,0,40,69,4.281369686,40.89954758,563.5465088,NA,2359,939,600,22
IS13971.D0D0HACXX.5.250046357,0,40,69,4.281369686,40.89954758,563.5465088,NA,2359,939,600,22
IS1398.628NVAAXX.5.250006961,0,70,297.1404114,16.12194824,140.3009796,562.953064,NA,3013,889,600,24
IS13989.628NVAAXX.5.250006949,0,40,69,4.281369686,40.89954758,563.5465088,NA,2359,939,600,22
IS14010.D0D0HACXX.5.250046358,0,40,69,4.281369686,40.89954758,563.5465088,NA,2359,939,600,22
IS14449.70MUKAAXX.2.250006046,0,70,545.8120117,67.43858337,124.3141403,563.6398926,700,3635,740,600,21
IS14478.70MUKAAXX.2.250006051,0,80,297.1404114,16.12194824,140.3009796,528.1236572,NA,3320,973,700,25
IS14556.70MUKAAXX.2.250006075,0,0,867.7362061,47.08076096,409.7195129,612.361084,NA,NA,NA,NA,29
IS14564.MRG.4.250047679,0,70,545.8120117,67.43858337,124.3141403,563.6398926,700,3635,740,600,21
IS14635.C1AB3ACXX.7.250138422,0,100,940.0096436,101.3962326,202.7986298,759.9726563,NA,2799,1066,600,26
IS14719.MRG.4.250047681,0,60,940.0096436,116.1442337,214.0965729,835.5674438,NA,3102,NA,700,29
IS14724.C1AB3ACXX.7.250138424,0,0,545.8120117,58.87522888,117.7540283,528.3529663,NA,7114,NA,1100,26
IS14735.70MUKAAXX.2.250006039,20,30,940.0096436,101.3962326,202.7986298,694.5194092,200,4651,613,700,25
IS17149.C1AB3ACXX.7.250138425,20,60,297.1404114,21.5375824,112.173912,344.9927673,NA,NA,NA,NA,22
IS17185.C1AB3ACXX.7.250138426,0,0,321.8891602,34.7212944,69.44468689,509.4910583,NA,NA,NA,200,24
IS17195.C1AB3ACXX.7.250138427,0,90,297.1404114,21.5375824,112.173912,407.0473022,1000,2137,523,500,22
IS17196.C1AB3ACXX.7.250138428,0,60,503.8467712,36.5202446,190.2079315,273.3054504,1000,1455,736,200,21
IS18295.C1AB3ACXX.7.250138462,0,30,1323.805298,142.7952271,285.5990906,328.9698486,NA,1168,NA,300,18
IS18303.C1AB3ACXX.7.250138463,0,0,297.1404114,21.5375824,112.173912,327.8426514,NA,1168,494,200,12
IS18822.C1AB3ACXX.7.250138464,0,0,321.8891602,34.7212944,69.44468689,473.0771484,NA,1395,NA,200,11
IS19016.70MUKAAXX.2.250006066,0,67,321.8891602,34.7212944,69.44468689,446.1551514,NA,1987,NA,500,22
IS19026.628P7AAXX.7.250007103,0,67,321.8891602,34.7212944,69.44468689,446.1551514,NA,1987,NA,500,22
IS19041.70MUKAAXX.2.250006078,0,67,321.8891602,34.7212944,69.44468689,446.1551514,NA,1987,NA,500,22
IS19126.D0D0HACXX.5.250046083,0,67,321.8891602,34.7212944,69.44468689,446.1551514,NA,1987,NA,500,22
IS19132.628NVAAXX.5.250006905,0,67,321.8891602,34.7212944,69.44468689,446.1551514,NA,1987,NA,500,22
IS19153.MRG.4.250047481,0,67,321.8891602,34.7212944,69.44468689,446.1551514,NA,1987,NA,500,22
IS19262.D0D0HACXX.5.250046084,0,67,321.8891602,34.7212944,69.44468689,446.1551514,NA,1987,NA,500,22
IS19477.C1AB3ACXX.7.250138465,0,30,116.9999924,7.259714127,69.35140228,423.1885986,NA,4785,NA,400,20
IS19485.C1AB3ACXX.7.250138466,0,50,116.9999924,7.259714127,69.35140228,482.1812134,NA,3409,NA,500,20
IS19494.C1AB3ACXX.7.250138467,0,60,321.8891602,34.7212944,69.44468689,1194.9375,NA,3622,863,700,23
IS19507.C1AB3ACXX.7.250138468,0,0,116.9999924,7.259714127,69.35140228,384.9007263,NA,3496,NA,300,21
IS19513.C1AB3ACXX.7.250138469,0,70,503.8467712,36.5202446,190.2079315,371.3645325,1000,1534,913,200,24
IS19520.C1AB3ACXX.7.250138470,0,50,116.9999924,7.259714127,69.35140228,448.9953308,NA,3409,NA,500,18
IS19946.C1AB3ACXX.7.250138479,0,0,297.1404114,21.5375824,112.173912,345.14151,NA,1182,508,300,19
IS19950.C1AB3ACXX.7.250138480,0,100,297.1404114,21.5375824,112.173912,346.415802,NA,1182,508,300,23
IS19953.628P7AAXX.7.250007033,0,100,321.8891602,34.7212944,69.44468689,320.0189209,NA,NA,NA,NA,21
IS19956.C1AB3ACXX.7.250138481,0,30,NA,NA,NA,283.9760437,NA,1660,498,300,13
IS19962.C1AB3ACXX.7.250138482,0,0,NA,NA,NA,370.0512695,NA,901,508,200,15
IS19975.MRG.4.250047488,60,40,297.1404114,21.5375824,112.173912,429.0907593,NA,NA,NA,NA,21
IS19978.C1AB3ACXX.7.250137625,60,40,206.9999847,14.29995537,103.9856186,354.1529236,NA,NA,NA,NA,23
IS19982.C1AB3ACXX.7.250137626,0,100,297.1404114,21.5375824,112.173912,339.75177,NA,NA,NA,NA,22
IS19988.C1AB3ACXX.7.250137627,0,90,321.8891602,34.7212944,69.44468689,316.8859863,NA,2083,NA,400,20
IS19991.C1AB3ACXX.7.250137628,0,70,297.1404114,21.5375824,112.173912,284.4379272,1000,1623,796,200,22
IS19998.C1AB3ACXX.7.250137629,0,40,297.1404114,21.5375824,112.173912,350.753418,NA,1950,NA,500,22
IS20004.C1AB3ACXX.7.250137630,0,0,297.1404114,21.5375824,112.173912,378.633667,NA,1182,508,300,23
IS20016.628P7AAXX.7.250007057,0,100,297.1404114,21.5375824,112.173912,339.5170593,1000,1404,913,100,23
IS20024.C1AB3ACXX.7.250137631,0,34,321.8891602,34.7212944,69.44468689,460.3002014,NA,2586,NA,400,23
IS20027.C1AB3ACXX.7.250137632,0,70,321.8891602,34.7212944,69.44468689,365.0444336,1000,1623,796,200,21
IS20028.C1AB3ACXX.7.250137633,0,10,321.8891602,34.7212944,69.44468689,396.3735046,NA,NA,NA,NA,23
IS20049.C1AB3ACXX.7.250137634,0,70,297.1404114,21.5375824,112.173912,409.6453552,1000,1623,796,200,21
IS20064.628P7AAXX.7.250007081,0,40,321.8891602,34.7212944,69.44468689,374.4172363,NA,1950,NA,500,22
IS20073.C1AB3ACXX.7.250137635,0,100,321.8891602,34.7212944,69.44468689,421.0463867,NA,NA,NA,NA,21
IS20087.C1AB3ACXX.7.250137636,0,40,297.1404114,21.5375824,112.173912,333.5814209,NA,1950,NA,500,21
IS20105.C1AB3ACXX.7.250137637,0,30,321.8891602,34.7212944,69.44468689,324.973938,1000,3142,695,500,22
IS20116.C1AB3ACXX.7.250137638,0,70,394.1975708,42.52099991,85.04458618,389.5276184,1000,1623,796,200,20
IS20125.C1AB3ACXX.7.250137639,0,100,272.3787231,19.74278259,102.826088,395.6214294,1000,1770,718,300,20
IS20146.C1AB3ACXX.7.250137640,60,40,297.1404114,21.5375824,112.173912,434.1158447,NA,NA,NA,NA,19
IS20158.C1AB3ACXX.7.250137641,0,30,321.8891602,34.7212944,69.44468689,323.3543396,0,2193,371,200,8
IS20164.C1AB3ACXX.7.250137642,0,0,321.8891602,34.7212944,69.44468689,326.119812,NA,NA,NA,NA,7
IS20166.C1AB3ACXX.7.250137643,0,20,NA,NA,NA,277.5553894,NA,1569,473,200,8
IS20173.C1AB3ACXX.7.250137644,0,20,NA,NA,NA,287.5841675,NA,1569,473,200,7
IS20187.C1AB3ACXX.7.250137645,0,80,NA,NA,NA,322.6549988,NA,NA,NA,NA,9
IS20216.C1AB3ACXX.7.250137646,0,20,321.8891602,34.7212944,69.44468689,431.4878235,NA,1569,473,200,16
IS20225.C1AB3ACXX.7.250137647,0,0,NA,NA,NA,145.2839966,NA,901,508,200,17
IS20230.C1AB3ACXX.7.250137648,0,0,NA,NA,NA,382.0765381,NA,901,508,200,10
IS20234.C1AB3ACXX.7.250137649,0,80,321.8891602,34.7212944,69.44468689,422.0546265,NA,NA,NA,NA,12
IS20243.C1AB3ACXX.7.250137650,0,20,321.8891602,34.7212944,69.44468689,313.4363708,NA,1569,473,200,12
IS20250.C1AB3ACXX.7.250137651,0,0,209.7156677,22.62144661,45.24427032,392.8320618,NA,901,508,200,7
IS20261.C1AB3ACXX.7.250137652,0,0,193.5914917,14.03206253,73.08300781,242.6779175,NA,901,508,200,7
IS20300.C1AB3ACXX.7.250137653,0,0,545.8120117,58.87522888,117.7540283,315.2568054,NA,901,508,200,6
IS20307.C1AB3ACXX.7.250137654,0,0,321.8891602,34.7212944,69.44468689,335.1821594,NA,1182,508,300,7
IS20314.C1AB3ACXX.7.250137655,0,0,193.5914917,14.03206253,73.08300781,362.0578308,0,1805,412,200,8
IS20328.C1AB3ACXX.7.250137656,0,0,193.5914917,14.03206253,73.08300781,401.1282959,0,1805,412,200,15
IS20345.C1AB3ACXX.7.250137657,0,0,321.8891602,34.7212944,69.44468689,275.5004272,NA,901,508,200,4
IS20348.C1AB3ACXX.7.250137658,0,0,297.1404114,21.5375824,112.173912,337.3540649,NA,1088,508,200,9
IS20363.C1AB3ACXX.7.250137659,0,0,1323.805298,142.7952271,285.5990906,371.088501,NA,901,508,200,7
IS20364.C1AB3ACXX.7.250137660,0,0,321.8891602,34.7212944,69.44468689,404.2151794,NA,901,508,200,7
IS20378.C1AB3ACXX.7.250137661,0,0,297.1404114,21.5375824,112.173912,405.8136597,NA,901,508,200,10
IS20398.C1AB3ACXX.7.250137662,0,0,297.1404114,21.5375824,112.173912,304.8571777,NA,1168,494,200,15
IS20441.C1AB3ACXX.7.250137663,0,0,297.1404114,21.5375824,112.173912,385.3936462,NA,1182,508,300,20
IS20448.C1AB3ACXX.7.250137664,0,40,321.8891602,34.7212944,69.44468689,287.2457886,NA,1335,511,300,4
IS20450.C1AB3ACXX.7.250137665,0,0,321.8891602,34.7212944,69.44468689,309.2623596,NA,1182,508,300,7
IS20452.C1AB3ACXX.7.250137666,0,0,321.8891602,34.7212944,69.44468689,257.9300842,NA,901,508,200,7
IS20460.C1AB3ACXX.7.250137667,0,0,297.1404114,21.5375824,112.173912,311.6988831,NA,1168,494,200,12
IS20463.C1AB3ACXX.7.250137668,0,0,297.1404114,21.5375824,112.173912,279.1195679,NA,1088,508,200,4
IS20488.C1AB3ACXX.7.250137669,0,0,447.8638611,32.46244431,169.0737457,373.0207825,NA,901,508,200,9
IS20490.C1AB3ACXX.7.250137670,0,0,447.8638611,32.46244431,169.0737457,365.7520752,NA,1182,508,300,14
IS20492.C1AB3ACXX.7.250137671,0,0,447.8638611,32.46244431,169.0737457,349.0203552,NA,1182,508,300,14
IS20497.C1AB3ACXX.7.250137672,0,0,447.8638611,32.46244431,169.0737457,362.1159668,NA,1182,508,300,17
IS20498.C1AB3ACXX.7.250137673,0,0,485.1662903,52.33354568,104.6702576,320.3497009,NA,901,508,200,12
IS20905.C1AB3ACXX.7.250137674,70,30,321.8891602,34.7212944,69.44468689,430.1156006,NA,NA,NA,NA,23
IS21015.C1AB3ACXX.7.250137675,0,90,545.8120117,67.43858337,124.3141403,604.2114258,200,2992,NA,600,27
IS21055.C1AB3ACXX.7.250137676,0,20,350.999939,24.24774933,176.32341,537.9888916,NA,4450,NA,400,23
IS21083.MRG.4.250047501,10,0,104,6.4530797,61.64570236,571.5619507,NA,4505,NA,400,24
IS21124.628NVAAXX.5.250006955,0,80,104,6.4530797,61.64570236,466.5253296,NA,2900,935,600,34
IS21126.70MUKAAXX.2.250006025,40,50,104,6.4530797,61.64570236,466.5253296,NA,NA,NA,NA,28
IS21139.C1AB3ACXX.7.250137677,50,10,867.7362061,62.89599228,327.5803528,681.8914795,NA,7132,NA,NA,29
IS21155.C1AB3ACXX.7.250137678,10,10,116.9999924,7.259714127,69.35140228,638.4980469,NA,4346,NA,400,24
IS21160.C1AB3ACXX.7.250137679,0,100,503.8467712,36.5202446,190.2079315,502.6521912,1000,2137,523,400,27
IS21169.C1AB3ACXX.7.250137680,0,50,867.7362061,62.89599228,327.5803528,593.043457,NA,NA,NA,NA,24
IS21186.C1AB3ACXX.7.250137681,0,0,NA,NA,NA,NA,NA,1624,586,300,24
IS21309.C1AB3ACXX.7.250137682,0,50,545.8120117,58.87522888,117.7540283,399.4351196,NA,NA,NA,NA,23
IS21310.C1AB3ACXX.7.250137683,0,100,503.8467712,36.5202446,190.2079315,502.6521912,1000,2137,523,400,26
IS21323.C1AB3ACXX.7.250137684,0,90,545.8120117,67.43858337,124.3141403,608.7681274,1000,2137,523,400,23
IS21328.C1AB3ACXX.7.250137685,0,20,545.8120117,58.87522888,117.7540283,480.8232422,NA,1838,NA,600,29
IS21343.C1AB3ACXX.7.250137686,0,70,940.0096436,101.3962326,202.7986298,563.8493652,NA,NA,NA,NA,28
IS21347.C1AB3ACXX.7.250137687,0,70,940.0096436,101.3962326,202.7986298,541.3045654,61,3433,475,700,30
IS21401.70MUKAAXX.2.250006035,10,10,545.8120117,58.87522888,117.7540283,336.8957214,NA,4687,NA,400,23
IS21403.C1AB3ACXX.7.250137688,10,10,116.9999924,7.259714127,69.35140228,381.161377,NA,4687,NA,400,23
IS21425.70MUKAAXX.2.250006057,0,100,350.999939,24.24774933,176.32341,408.4575806,NA,NA,NA,NA,24
IS21464.C1AB3ACXX.7.250137689,0,100,321.8891602,34.7212944,69.44468689,308.1925964,NA,NA,NA,NA,27
IS21512.MRG.4.250047502,0,100,297.1404114,16.12194824,140.3009796,399.6104126,NA,NA,NA,NA,30
IS21521.C1AB3ACXX.7.250137690,0,100,545.8120117,58.87522888,117.7540283,368.9406433,NA,NA,NA,NA,24
IS21522.C1AB3ACXX.7.250137691,0,100,69,4.281369686,40.89954758,437.2920532,NA,NA,NA,NA,26
IS21535.C1AB3ACXX.7.250137692,0,100,297.1404114,21.5375824,112.173912,513.3440552,NA,NA,NA,NA,25
IS21545.C1AB3ACXX.7.250137693,10,20,116.9999924,7.259714127,69.35140228,325.9829407,NA,4495,NA,500,24
IS21546.C1AB3ACXX.7.250137694,0,20,116.9999924,7.259714127,69.35140228,460.188385,NA,NA,NA,NA,24
IS21557.C1AB3ACXX.7.250137695,0,0,116.9999924,7.259714127,69.35140228,350.2433777,NA,4852,NA,400,24
IS2156.628P7AAXX.7.250007017,0,0,503.8467712,36.5202446,190.2079315,504.5349426,NA,901,508,200,17
IS21565.C1AB3ACXX.7.250137696,10,20,116.9999924,7.259714127,69.35140228,585.8317871,NA,4875,NA,400,23
IS21583.C1AB3ACXX.7.250137697,0,100,447.8638611,32.46244431,169.0737457,496.0112915,1000,3549,544,500,24
IS21631.C1AB3ACXX.7.250137698,0,100,503.8467712,36.5202446,190.2079315,389.6213989,1000,3549,544,500,22
IS21645.MRG.4.250047503,0,100,297.1404114,16.12194824,140.3009796,399.6104126,NA,NA,NA,NA,28
IS22239.70MUKAAXX.2.250006015,0,100,297.1404114,25.42227936,51.33234406,376.7002563,600,2601,574,500,19
IS22282.628P7AAXX.7.250007059,0,50,503.8467712,43.10734177,87.04179382,493.7332764,600,2601,574,500,17
IS22287.628P7AAXX.7.250007083,0,50,503.8467712,43.10734177,87.04179382,493.7332764,600,2601,574,500,17
IS22291.70MUKAAXX.2.250006026,0,50,NA,NA,NA,422.8664246,600,2601,574,500,23
IS22294.628P7AAXX.7.250007107,0,50,NA,NA,NA,422.8664246,600,2601,574,500,23
IS22325.70MUKAAXX.2.250006036,0,80,321.8891602,34.7212944,69.44468689,304.8881836,NA,NA,NA,NA,16
IS22330.628NVAAXX.5.250006909,0,50,297.1404114,25.42227936,51.33234406,376.7002563,600,2601,574,500,19
IS22334.628NVAAXX.5.250006933,0,40,NA,NA,NA,310.5213623,NA,1383,782,300,15
IS2262.628P7AAXX.7.250007041,0,70,545.8120117,67.43858337,124.3141403,563.6398926,700,3635,740,600,21
IS22701.C1AB3ACXX.7.250137718,0,100,1323.805298,142.7952271,285.5990906,445.4090271,NA,1789,NA,500,33
IS22702.C1AB3ACXX.7.250137719,0,100,1323.805298,142.7952271,285.5990906,483.5143433,NA,1838,NA,600,30
IS22720.MRG.4.250047510,0,100,545.8120117,58.87522888,117.7540283,600.4085693,NA,1838,NA,600,24
IS22742.C1AB3ACXX.7.250137720,20,60,297.1404114,25.42227936,51.33234406,304.8478394,NA,NA,NA,NA,26
IS22746.D1EYBACXX.1.250137752,0,100,1323.805298,142.7952271,285.5990906,430.960144,NA,1838,NA,600,31
IS22751.D1EYBACXX.1.250137753,0,100,1323.805298,142.7952271,285.5990906,337.5957642,NA,1789,NA,500,32
IS22785.D1EYBACXX.1.250137754,0,100,1323.805298,142.7952271,285.5990906,491.400116,NA,1838,NA,600,25
IS22789.D1EYBACXX.1.250137755,0,10,297.1404114,16.12194824,140.3009796,625.7601929,NA,2431,1134,600,27
IS22792.D1EYBACXX.1.250137756,0,10,NA,NA,NA,536.789856,NA,1118,509,200,31
IS22799.MRG.4.250047511,0,100,1323.805298,142.7952271,285.5990906,513.6798096,NA,1838,NA,600,28
IS22909.70MUKAAXX.2.250006094,0,90,297.1404114,16.12194824,140.3009796,658.2504883,NA,3074,991,700,20
IS22986.70MUKAAXX.2.250006007,0,70,321.8891602,34.7212944,69.44468689,507.9184265,NA,3013,889,600,23
IS22996.70MUKAAXX.2.250006016,0,70,321.8891602,34.7212944,69.44468689,507.9184265,NA,3013,889,600,23
IS23033.D0D0HACXX.5.250046087,0,100,297.1404114,16.12194824,140.3009796,582.3121338,NA,3019,1060,700,21
IS23048.70MUKAAXX.2.250006027,0,67,485.1662903,52.33354568,104.6702576,538.1218872,61,3308,650,700,19
IS23053.70MUKAAXX.2.250006037,0,70,321.8891602,34.7212944,69.44468689,669.7236328,NA,3013,889,600,22
IS23100.628NVAAXX.5.250006957,10,0,350.999939,24.24774933,176.32341,592.5670166,800,3125,NA,400,23
IS23108.D1EYBACXX.1.250137757,0,70,545.8120117,67.43858337,124.3141403,705.5335083,61,3433,475,700,27
IS23142.628NVAAXX.5.250006981,0,90,503.8467712,36.5202446,190.2079315,556.6026001,200,2992,NA,600,24
IS23166.B064FABXX.1.250010004,10,0,350.999939,24.24774933,176.32341,407.5089111,800,3125,NA,400,22
IS23178.628P7AAXX.7.250007037,10,90,272.3787231,19.74278259,102.826088,451.7792664,1000,3196,539,500,24
IS23184.D1EYBACXX.1.250137758,0,34,503.8467712,36.5202446,190.2079315,415.1514893,NA,1519,515,300,25
IS23188.D1EYBACXX.1.250137759,10,90,503.8467712,36.5202446,190.2079315,352.5118713,1000,3196,539,500,26
IS23216.MRG.4.250047513,10,90,503.8467712,36.5202446,190.2079315,346.411499,1000,3196,539,500,22
IS23225.D1EYBACXX.1.250137760,10,10,104,6.4530797,61.64570236,333.3937378,NA,4687,NA,400,23
IS23240.D1EYBACXX.1.250137761,10,10,545.8120117,58.87522888,117.7540283,336.8957214,NA,4687,NA,400,22
