Taxa,sol_VH,sol_Mo,tot,lab,occ,stp,PHO,PNZ,POL,TP,extP
SEEDGWAS10:MRG:4:250054453,0,100,272.3787231,19.74278259,102.826088,794.583374,200,4727,650,700,NA
SEEDGWAS1000:MRG:4:250067677,0,70,321.8891602,39.77147675,73.31347656,1138.536743,NA,3072,NA,NA,NA
SEEDGWAS1001:MRG:4:250067678,0,70,297.1404114,15.60473537,130.8786774,1196.093994,2900,2258,766,500,NA
SEEDGWAS1003:MRG:4:250067679,0,100,272.3787231,19.74278259,102.826088,907.798584,NA,4256,634,600,NA
SEEDGWAS1004:MRG:4:250067680,0,70,272.3787231,14.77845192,128.6092072,514.7032471,NA,2822,906,600,NA
SEEDGWAS1006:MRG:4:250067682,10,70,532.3766479,45.54825592,91.97045898,279.6080933,NA,2902,NA,400,NA
SEEDGWAS1007:MRG:4:250067684,10,50,545.8120117,58.87522888,117.7540283,366.0942993,400,3792,NA,700,NA
SEEDGWAS1008:MRG:4:250067716,0,100,321.8891602,39.77147675,73.31347656,1057.344604,3200,1741,871,500,NA
SEEDGWAS1009:MRG:4:250067717,0,100,1323.805298,163.5646515,301.5098877,947.12677,200,4520,523,700,NA
SEEDGWAS101:MRG:4:250054517,0,50,867.7362061,47.08076096,409.7195129,812.5671997,44,3922,560,700,NA
SEEDGWAS1011:MRG:4:250067718,0,80,1323.805298,163.5646515,301.5098877,946.2227783,700,4043,532,500,NA
SEEDGWAS1012:MRG:4:250067719,0,80,1323.805298,163.5646515,301.5098877,946.2227783,700,4043,532,500,NA
SEEDGWAS1014:MRG:4:250067720,0,70,272.3787231,14.77845192,128.6092072,710.5319824,NA,3460,738,600,NA
SEEDGWAS1015:MRG:4:250067721,0,80,363.8893433,26.37573242,137.3723907,998.2836304,NA,2933,839,600,NA
SEEDGWAS1019:MRG:4:250067723,0,67,297.1404114,21.5375824,112.173912,1044.406738,NA,3820,NA,NA,NA
SEEDGWAS1020:MRG:4:250067724,0,100,297.1404114,21.5375824,112.173912,743.4179077,NA,3168,653,600,NA
SEEDGWAS1022:MRG:4:250067725,0,100,297.1404114,21.5375824,112.173912,743.4179077,NA,3168,653,600,NA
SEEDGWAS1023:MRG:4:250067726,0,90,485.1662903,59.9454155,110.5014648,546.234375,NA,3616,NA,700,NA
SEEDGWAS1024:MRG:4:250067727,0,90,485.1662903,59.9454155,110.5014648,546.234375,NA,3616,NA,700,NA
SEEDGWAS1025:MRG:4:250067728,0,100,297.1404114,21.5375824,112.173912,743.4179077,NA,3168,653,600,NA
SEEDGWAS1026:MRG:4:250067729,0,0,184.4893646,9.68871212,81.26031494,576.138916,NA,1390,526,600,NA
SEEDGWAS1027:MRG:4:250067730,0,50,184.4893646,9.68871212,81.26031494,379.4218445,NA,2273,NA,400,NA
SEEDGWAS1029:MRG:4:250067732,0,100,485.1662903,59.9454155,110.5014648,900.7612305,NA,3518,NA,NA,NA
SEEDGWAS1030:MRG:4:250067733,0,50,272.3787231,19.74278259,102.826088,678.2989502,44,3922,560,700,NA
SEEDGWAS1031:MRG:4:250067734,0,100,485.1662903,59.9454155,110.5014648,900.7612305,NA,3518,NA,NA,NA
SEEDGWAS1032:MRG:4:250067735,0,100,1323.805298,163.5646515,301.5098877,947.12677,200,4520,523,700,NA
SEEDGWAS1033:MRG:4:250067736,0,30,363.8893433,19.74354362,171.8178558,1093.090576,800,3455,529,500,NA
SEEDGWAS1034:MRG:4:250067737,0,80,272.3787231,19.74278259,102.826088,443.2428284,NA,7042,NA,1100,NA
SEEDGWAS1035:MRG:4:250067738,0,70,272.3787231,14.77845192,128.6092072,683.6705322,NA,3460,738,600,NA
SEEDGWAS1036:MRG:4:250067739,20,50,297.1404114,21.5375824,112.173912,442.8029785,300,4182,554,700,NA
SEEDGWAS1037:MRG:4:250067740,0,30,NA,NA,NA,NA,800,3455,529,500,NA
SEEDGWAS1039:MRG:4:250067741,0,0,867.7362061,74.24043274,149.9053345,525.4362793,NA,5304,NA,400,NA
SEEDGWAS104:MRG:4:250054519,0,100,272.3787231,19.74278259,102.826088,897.751709,NA,4256,634,600,NA
SEEDGWAS1040:MRG:4:250067742,0,60,184.4893646,15.78425407,31.8713665,358.0928345,NA,2706,NA,500,NA
SEEDGWAS1041:MRG:4:250067743,0,60,184.4893646,15.78425407,31.8713665,375.5348816,NA,2706,NA,500,NA
SEEDGWAS1042:MRG:4:250067744,0,100,184.4893646,15.78425407,31.8713665,573.9545898,2900,1430,830,500,NA
SEEDGWAS1043:MRG:4:250067745,40,40,189.75,13.10829258,95.32015991,748.2780762,700,3082,NA,500,NA
SEEDGWAS1044:MRG:4:250067746,40,40,189.75,13.10829258,95.32015991,748.2780762,700,3082,NA,500,NA
SEEDGWAS1045:MRG:4:250067747,0,67,297.1404114,21.5375824,112.173912,1027.116943,NA,3820,NA,NA,NA
SEEDGWAS1048:MRG:4:250067748,0,67,297.1404114,21.5375824,112.173912,1027.116943,NA,3820,NA,NA,NA
