rs chr ps p_wald
S5_285047 5 285047 8.159073e-01
S5_285053 5 285053 9.919289e-01
S5_285097 5 285097 2.203866e-01
S5_285103 5 285103 7.173606e-01
S5_285121 5 285121 1.970092e-01
S5_285125 5 285125 3.614085e-01
S5_285126 5 285126 2.405841e-01
S5_285136 5 285136 9.218407e-01
S5_285150 5 285150 9.905986e-02
S5_285155 5 285155 4.146609e-01
S5_306903 5 306903 6.477780e-01
S5_307645 5 307645 4.315968e-01
S5_322013 5 322013 2.872855e-01
S5_322083 5 322083 6.622634e-01
S5_322855 5 322855 4.808336e-01
S5_322916 5 322916 6.777008e-01
S5_324934 5 324934 6.960023e-01
S5_327386 5 327386 9.949744e-02
S5_334710 5 334710 6.531840e-01
S5_334718 5 334718 5.952173e-01
S5_391721 5 391721 7.769147e-01
S5_391781 5 391781 1.790740e-01
S5_392809 5 392809 7.863335e-01
S5_393979 5 393979 8.010288e-01
S5_465688 5 465688 1.246958e-02
S5_465696 5 465696 1.940541e-02
S5_465699 5 465699 5.400349e-01
S5_466392 5 466392 6.895966e-01
S5_466402 5 466402 8.879616e-01
S5_517077 5 517077 3.896312e-01
S5_519394 5 519394 8.909283e-01
S5_527282 5 527282 1.894055e-01
S5_687258 5 687258 1.448531e-01
S5_687288 5 687288 4.827572e-01
S5_687301 5 687301 4.262830e-01
S5_687477 5 687477 1.065325e-01
S5_715255 5 715255 1.320607e-01
S5_746393 5 746393 7.846682e-01
S5_845098 5 845098 9.491033e-01
S5_845306 5 845306 3.751719e-01
S5_845350 5 845350 1.275300e-01
S5_845623 5 845623 4.735037e-01
S5_845718 5 845718 1.478404e-01
S5_845726 5 845726 1.913174e-01
S5_845747 5 845747 3.224990e-01
S5_846327 5 846327 8.157634e-02
S5_846974 5 846974 2.057497e-01
S5_847000 5 847000 2.822998e-01
S5_847011 5 847011 1.035031e-01
S5_847058 5 847058 5.447437e-01
S5_910047 5 910047 7.409293e-02
S5_910142 5 910142 3.738574e-01
S5_910259 5 910259 3.180099e-01
S5_910439 5 910439 6.215640e-01
S5_911500 5 911500 3.598165e-01
