rs chr ps p_wald
S1_46446 1 46446 9.542840e-01
S1_47039 1 47039 8.844243e-02
S1_163015 1 163015 4.500481e-02
S1_201392 1 201392 4.256877e-02
S1_253180 1 253180 3.332793e-01
S1_253182 1 253182 2.552790e-01
S1_253297 1 253297 4.402935e-01
S1_253586 1 253586 4.083633e-01
S1_314074 1 314074 1.784017e-01
S1_325306 1 325306 6.861465e-01
S1_325318 1 325318 1.014740e-01
S1_325322 1 325322 2.642393e-01
S1_325385 1 325385 8.614977e-01
S1_328305 1 328305 5.278634e-01
S1_360302 1 360302 1.334629e-01
S1_361937 1 361937 2.821087e-01
S1_361956 1 361956 7.328829e-01
S1_410839 1 410839 1.317616e-02
S1_552086 1 552086 9.415090e-02
S1_553296 1 553296 2.502805e-02
S1_678427 1 678427 2.160764e-02
S1_678431 1 678431 2.258051e-01
S1_678576 1 678576 1.779883e-01
S1_679067 1 679067 2.117973e-02
S1_679068 1 679068 1.501184e-02
S1_679070 1 679070 2.427577e-02
S1_679115 1 679115 2.862441e-02
S1_679986 1 679986 2.064653e-01
S1_680003 1 680003 2.106619e-01
S1_686088 1 686088 6.220734e-01
S1_789347 1 789347 7.372041e-01
S1_789348 1 789348 2.969283e-02
S1_1003992 1 1003992 8.582795e-01
S1_1012956 1 1012956 5.600905e-01
S1_1013574 1 1013574 3.958360e-01
S1_1013729 1 1013729 4.209150e-01
S1_1013901 1 1013901 2.439359e-01
S1_1021284 1 1021284 6.852321e-01
S1_1022397 1 1022397 3.147010e-01
S1_1022570 1 1022570 7.160550e-02
S1_1026414 1 1026414 5.927616e-01
S1_1058719 1 1058719 5.433704e-02
S1_1058721 1 1058721 1.633348e-01
S1_1058723 1 1058723 4.594590e-02
S1_1058726 1 1058726 3.553145e-02
S1_1058731 1 1058731 6.567005e-02
S1_1063559 1 1063559 3.085609e-01
S1_1208449 1 1208449 2.286064e-01
S1_1209633 1 1209633 8.762686e-01
S1_1218764 1 1218764 3.971200e-01
S1_1219188 1 1219188 2.366810e-01
S1_1225375 1 1225375 8.055039e-01
S1_1225854 1 1225854 2.333573e-01
S1_1225859 1 1225859 7.379109e-01
S1_1499002 1 1499002 4.269907e-01
S1_1499518 1 1499518 5.591910e-01
S1_1507022 1 1507022 4.286334e-03
S1_1507081 1 1507081 4.954724e-02
