"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"SORBI_3010G095700",1.07913677993565e-13,3,"Yes","0.6607461,0.3388884,1.801583e-14"
"SORBI_3002G354600",1.697434e-13,1,"No","1.697434e-13"
"SORBI_3007G034700",1.964351e-12,1,"No","1.964351e-12"
"SORBI_3009G132100",4.380243e-12,1,"No","4.380243e-12"
"SORBI_3001G093000",4.597841e-12,1,"No","4.597841e-12"
"SORBI_3002G372000",7.6447737029639e-12,3,"Yes","0.004268929,0.07000177,1.274351e-12"
"SORBI_3001G094900",1.24571797321948e-10,2,"Yes","6.634375e-11,6.355513e-11"
"SORBI_3001G105700",1.39521e-10,1,"No","1.39521e-10"
"SORBI_3002G355100",2.180015e-10,1,"No","2.180015e-10"
"SORBI_3009G131300",2.20632734304615e-10,3,"Yes","0.6556605,3.7331e-11,0.9072801"
"SORBI_3009G006300",5.31504174006159e-10,5,"Yes","4.665208e-11,9.129082e-07,0.3098083,1.428768e-06,0.008265019"
"SORBI_3006G145600",8.36467450859857e-10,3,"Yes","0.01774338,1.415845e-07,3.756125e-07"
"SORBI_3001G447000",9.81918657494418e-10,3,"Yes","0.4381661,1.63687e-10,0.1521673"
"SORBI_3001G340900",1.413756e-09,1,"No","1.413756e-09"
"SORBI_3009G005800",1.43171408062415e-09,6,"Yes","2.749582e-09,2.577233e-08,0.1896908,0.1697522,0.1280475,2.703437e-08"
"SORBI_3006G196200",1.68081870643988e-09,2,"Yes","8.404117e-10,0.08472713"
"SORBI_3003G314200",1.90451188153418e-09,2,"Yes","1.030172e-09,1.030172e-09"
"SORBI_3004G215100",8.69599692254752e-09,3,"Yes","1.455038e-09,0.7506766,0.93128"
"SORBI_3001G081700",9.465786e-09,1,"No","9.465786e-09"
"SORBI_3006G264000",1.14200984224766e-08,4,"Yes","9.783659e-05,0.0001281948,1.389832e-08,2.543852e-09"
"SORBI_3003G008000",2.399156950883e-08,18,"Yes","1.485861e-06,1.485861e-06,0.8087043,0.3189796,0.005426959,0.2962801,0.1638971,0.8736239,0.2599612,0.2902998,2.822787e-06,0.006639792,1.488674e-06,2.758163e-05,0.3084397,1.443326e-05,1.443326e-05,1.443326e-05"
"SORBI_3004G078000",3.37659756821651e-08,2,"Yes","3.607819e-07,1.688383e-08"
"SORBI_3001G224700",9.9283021026686e-08,3,"Yes","0.7353812,1.483829e-07,1.483829e-07"
"SORBI_3004G111600",1.10237196926377e-07,3,"Yes","0.9542179,0.7638261,1.844143e-08"
"SORBI_3003G084300",1.14147665541964e-07,8,"Yes","7.477858e-09,0.04754381,0.04754381,0.04754381,0.0002247745,0.5394209,0.5394209,0.0001926056"
"SORBI_3003G007700",1.35103e-07,1,"No","1.35103e-07"
"SORBI_3010G025850",1.61320845126767e-07,6,"Yes","0.2589114,1.0679e-07,1.457153e-08,0.9343438,0.5512831,0.5512831"
"SORBI_3001G124100",1.90102090291688e-07,5,"Yes","0.04319751,0.05295562,0.7031011,0.3801925,1.928487e-08"
"SORBI_3010G076200",2.17817407888177e-07,6,"Yes","0.6477526,0.2953367,0.7015509,0.5109049,0.8749235,1.53603e-08"
"SORBI_3006G208800",2.429655e-07,1,"No","2.429655e-07"
"SORBI_3003G023400",3.160545e-07,1,"No","3.160545e-07"
"SORBI_3010G241200",3.41058837616259e-07,2,"Yes","0.004030791,1.705355e-07"
"SORBI_3010G086700",3.59004e-07,1,"No","3.59004e-07"
"SORBI_3006G118800",4.365364e-07,1,"No","4.365364e-07"
"SORBI_3006G242100",5.04194321515605e-07,8,"Yes","3.9296e-05,3.313606e-08,0.4031722,0.4646888,0.4247109,0.2378737,0.3035705,0.3930947"
"SORBI_3006G155700",5.403632e-07,1,"No","5.403632e-07"
"SORBI_3001G097300",5.98139933472019e-07,3,"Yes","9.997692e-08,0.9242867,0.1889246"
"SORBI_3007G023000",6.301025e-07,1,"No","6.301025e-07"
"SORBI_3001G456500",6.85806567535252e-07,2,"Yes","0.3985701,3.429173e-07"
"SORBI_3003G015800",9.11694043481681e-07,5,"Yes","0.01515756,0.02061913,0.04422904,1.443829e-07,3.983165e-07"
"SORBI_3003G015900",9.11694043481681e-07,5,"Yes","0.01515756,0.02061913,0.04422904,1.443829e-07,3.983165e-07"
"SORBI_3001G447700",9.54469862146645e-07,4,"Yes","3.332011e-05,0.9811569,3.483933e-05,0.7658161"
"SORBI_3003G233200",9.93239558377823e-07,5,"Yes","0.507543,0.3974446,1.05304e-07,0.6736445,0.6583165"
"SORBI_3003G016300",1.02406492263896e-06,3,"Yes","8.014907e-07,7.155213e-07,1.340574e-06"
"SORBI_3010G240700",1.25802440054112e-06,2,"Yes","6.290749e-07,0.1417946"
"SORBI_3004G167000",1.27956966466947e-06,2,"Yes","6.622904e-07,0.007043351"
"SORBI_3003G286800",1.33837480176258e-06,3,"Yes","0.424795,2.235277e-07,0.1188612"
"SORBI_3001G093800",1.46837130809985e-06,11,"Yes","3.975882e-06,0.7060332,0.6058477,0.6328529,0.4270782,4.082398e-05,0.570712,0.4771665,0.4878254,1.780968e-05,0.6487148"
"SORBI_3006G213300",1.48347825079664e-06,2,"Yes","7.42234e-07,0.2988138"
"SORBI_3003G022900",1.72220227290243e-06,5,"Yes","0.05127174,1.522464e-07,0.01520315,0.7711784,0.2879006"
"SORBI_3002G352800",1.85820413445281e-06,5,"Yes","0.7759931,0.7914221,1.77972e-07,0.6540963,0.6336974"
"SORBI_3001G294900",1.97040591443098e-06,4,"Yes","3.657469e-06,2.568583e-06,0.486483,1.364751e-06"
"SORBI_3004G001500",2.2083931207062e-06,2,"Yes","1.104373e-06,0.0002408619"
"SORBI_3003G007900",2.29978632959593e-06,2,"Yes","1.485861e-06,1.485861e-06"
"SORBI_3003G023200",2.76487222283794e-06,3,"Yes","0.4864144,0.7968507,4.635437e-07"
"SORBI_3009G123500",3.18488102002412e-06,2,"Yes","8.568188e-06,1.592868e-06"
"SORBI_3010G082000",4.533134e-06,1,"No","4.533134e-06"
"SORBI_3001G312700",4.85309707731751e-06,3,"Yes","0.7670053,7.439361e-06,9.920701e-06"
"SORBI_3003G112100",4.866049e-06,1,"No","4.866049e-06"
"SORBI_3004G070200",5.54695795507154e-06,2,"Yes","0.5737861,2.773854e-06"
"SORBI_3001G065300",5.8582752161529e-06,2,"Yes","0.8629661,2.932856e-06"
