"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"SORBI_3004G071000",8.978825e-14,1,"No","8.978825e-14"
"SORBI_3002G355100",1.52322598978571e-13,2,"Yes","7.621868e-14,0.04642526"
"SORBI_3001G251200",2.93765012315816e-13,15,"Yes","0.03998537,0.04413945,0.04831556,0.04831556,0.008094332,0.001550465,0.9338367,2.645668e-09,8.71802e-10,0.344127,2.715718e-11,1.43943e-10,1.43943e-10,5.430447e-12,2.58171e-06"
"SORBI_3001G250150",8.62865334738672e-13,2,"Yes","0.4252487,4.314721e-13"
"SORBI_3004G070200",1.72795111552659e-12,2,"Yes","0.09078052,8.639141e-13"
"SORBI_3007G034700",2.918504e-12,1,"No","2.918504e-12"
"SORBI_3001G447000",1.0991429988394e-11,3,"Yes","0.4163644,1.831903e-12,0.03513702"
"SORBI_3003G109900",3.258977e-11,1,"No","3.258977e-11"
"SORBI_3001G093000",3.594836e-11,1,"No","3.594836e-11"
"SORBI_3003G084400",6.49276188369186e-11,7,"Yes","0.3501394,0.3674913,0.3396874,0.01486206,0.002791943,0.001236961,4.017788e-12"
"SORBI_3002G354600",8.44605e-11,1,"No","8.44605e-11"
"SORBI_3001G081700",1.84525e-10,1,"No","1.84525e-10"
"SORBI_3001G246700",5.23797005769211e-10,5,"Yes","0.07761923,0.6302777,4.578837e-11,0.6841827,0.2420559"
"SORBI_3001G115500",7.45935202495218e-10,13,"Yes","0.8314194,0.8478107,0.09185158,0.4506242,0.2414893,1.323189e-07,7.42325e-09,2.604391e-07,2.144122e-07,0.3975488,0.8355221,0.4940615,0.565239"
"SORBI_3009G132100",7.829081e-10,1,"No","7.829081e-10"
"SORBI_3004G094500",8.45673975291561e-10,4,"Yes","0.100541,0.3212274,1.133413e-10,0.06246078"
"SORBI_3003G422200",1.284986e-09,1,"No","1.284986e-09"
"SORBI_3001G105700",1.437118e-09,1,"No","1.437118e-09"
"SORBI_3004G038500",1.59672919330944e-09,3,"Yes","2.686144e-10,0.3732939,0.004054"
"SORBI_3003G007700",1.872021e-09,1,"No","1.872021e-09"
"SORBI_3004G078000",2.12924278208959e-09,2,"Yes","2.963833e-09,1.064633e-09"
"SORBI_3001G294900",2.17917994760342e-09,5,"Yes","1.70553e-08,5.330042e-09,0.2609664,3.671431e-08,0.09686933"
"SORBI_3004G156200",2.54330634330557e-09,6,"Yes","0.2028104,2.896281e-05,0.8787078,1.222124e-09,0.08435976,1.586572e-07"
"SORBI_3006G213300",2.87374801732909e-09,2,"Yes","1.436932e-09,0.8391543"
"SORBI_3003G008000",4.63032934217011e-09,17,"Yes","1.253803e-08,1.253803e-08,0.5931938,0.3452941,0.1782731,0.0006523571,0.990274,0.8003605,0.01648742,0.01390655,0.004003467,1.787959e-09,0.004003467,0.003332818,1.000446e-05,2.235777e-07,3.686461e-06"
"SORBI_3003G016300",4.72935157702636e-09,3,"Yes","5.370613e-09,7.558908e-09,3.460367e-09"
"SORBI_3010G254200",5.34338584490257e-09,2,"Yes","0.4445963,2.671719e-09"
"SORBI_3004G078500",5.48182910176109e-09,8,"Yes","3.548106e-08,2.681751e-07,0.006850252,0.1105954,0.007963537,0.007963537,3.887289e-09,3.887289e-09"
"SORBI_3001G214800",5.66776570121164e-09,3,"Yes","0.08125515,9.448385e-10,0.6157181"
