"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"Zm00001eb142090",0.00061917027650904,3,"Yes","0.1853589,0.142781,0.000104194"
"Zm00001eb084120",0.000952720286741315,6,"Yes","7.115259e-05,0.4441941,0.09867541,0.2750157,0.227621,0.3883155"
"Zm00001eb165590",0.000962596296143925,2,"Yes","0.4378155,0.0004813834"
"Zm00001eb079260",0.00131352870766255,3,"Yes","0.3163691,0.01983805,0.0002276754"
"Zm00001eb398220",0.00195105538878848,3,"Yes","0.3947686,0.0003446919,0.8474239"
"Zm00001eb285890",0.00314913154169683,9,"Yes","0.06674839,0.04333831,0.7066444,0.2124458,0.7792585,0.02615877,0.02569909,0.3847761,0.0008166113"
"Zm00001eb352530",0.0031642908142645,3,"Yes","0.002415396,0.003439024,0.002680042"
"Zm00001eb062450",0.00324695504700856,2,"Yes","0.001624934,0.145905"
"Zm00001eb029080",0.003296043,1,"No","0.003296043"
"Zm00001eb009900",0.0034625000276608,4,"Yes","0.2974583,0.1291185,0.002382148,0.001561617"
"Zm00001eb205270",0.00360453958680407,5,"Yes","0.2173213,0.09725111,0.02197421,0.005993633,0.03542416"
"Zm00001eb287330",0.00375310890946867,2,"Yes","0.001878701,0.1658157"
"Zm00001eb184370",0.00400279089823663,2,"Yes","0.5372654,0.002003408"
"Zm00001eb386880",0.00403858261665191,2,"Yes","0.00205126,0.2076976"
"Zm00001eb216690",0.00441908950908254,6,"Yes","0.005269883,0.8240341,0.009604665,0.02024752,0.03270852,0.4409479"
"Zm00001eb135780",0.00462420314151191,2,"Yes","0.02295638,0.002848603"
"Zm00001eb284320",0.00488359811136985,7,"Yes","0.0002487329,0.1112204,0.3883054,0.949026,0.977492,0.0980808,0.1181808"
"Zm00001eb018230",0.0052840309655976,2,"Yes","0.002646306,0.5327615"
"Zm00001eb162090",0.005454431,1,"No","0.005454431"
"Zm00001eb158110",0.006065726,1,"No","0.006065726"
"Zm00001eb215960",0.006119084,1,"No","0.006119084"
"Zm00001eb323730",0.00625897456288027,2,"Yes","0.3636092,0.003158831"
"Zm00001eb203670",0.00638302269197988,2,"Yes","0.003196866,0.2285644"
"Zm00001eb252680",0.00689116585558536,5,"Yes","0.6531305,0.08433872,0.008503881,0.6712645,0.0102857"
"Zm00001eb414260",0.00714834392038799,2,"Yes","0.6591962,0.003582432"
"Zm00001eb250580",0.007361753,1,"No","0.007361753"
"Zm00001eb361030",0.007597415,1,"No","0.007597415"
"Zm00001eb250370",0.007866221,1,"No","0.007866221"
"Zm00001eb190590",0.00824195472167977,2,"Yes","0.8703861,0.004129828"
"Zm00001eb146170",0.00886089716934979,2,"Yes","0.006818006,0.007045856"
"Zm00001eb244520",0.00894412,1,"No","0.00894412"
"Zm00001eb250590",0.00898890857823764,2,"Yes","0.4817216,0.00452887"
"Zm00001eb126920",0.00901813468510415,9,"Yes","0.5815924,0.002302055,0.8902282,0.03183388,0.9436023,0.4772324,0.0844468,0.02639789,0.04185444"
"Zm00001eb167820",0.00914173600673662,4,"Yes","0.8438198,0.001268552,0.1825263,0.4992647"
"Zm00001eb073880",0.00927990754262087,5,"Yes","0.1691033,0.0007424643,0.6647207,0.6930133,0.5668102"
"Zm00001eb241980",0.00941340517770928,2,"Yes","0.6585104,0.004729411"
