"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"Zm00001eb015390",6.69165979676478e-05,5,"Yes","3.814773e-05,3.48797e-05,0.9326004,0.4242173,0.2535773"
"Zm00001eb154380",0.0002582027,1,"No","0.0002582027"
"Zm00001eb183270",0.0003371382,1,"No","0.0003371382"
"Zm00001eb173740",0.001035881,1,"No","0.001035881"
"Zm00001eb113260",0.001283058,1,"No","0.001283058"
"Zm00001eb079910",0.001461141574984,3,"Yes","0.0003010362,0.3167737,0.6468595"
"Zm00001eb158110",0.00176282,1,"No","0.00176282"
"Zm00001eb002590",0.00197588775196722,3,"Yes","0.009591599,0.003217508,0.0003136953"
"Zm00001eb357210",0.002283563,1,"No","0.002283563"
"Zm00001eb250590",0.00261248256129809,2,"Yes","0.7166055,0.00071871"
"Zm00001eb006920",0.00429143909339336,2,"Yes","0.001098416,0.02703783"
"Zm00001eb190590",0.00431853690865625,2,"Yes","0.984014,0.001114257"
"Zm00001eb205760",0.00502088,1,"No","0.00502088"
"Zm00001eb188140",0.005269605,1,"No","0.005269605"
"Zm00001eb082570",0.00592911500119031,8,"Yes","0.8626705,0.1049024,0.4494946,0.5654926,0.0003559143,0.9797625,0.5494238,0.1619417"
"Zm00001eb213140",0.00674358583257217,4,"Yes","0.5509956,0.01346027,0.001991729,0.003555473"
"Zm00001eb013560",0.0067835961340148,14,"Yes","0.9340011,0.1617913,0.4337869,0.7082535,0.8775521,0.142775,0.0099983,0.007757908,0.0008163914,0.00285553,0.550217,0.04200599,0.04672636,0.1808497"
"Zm00001eb320570",0.007003418,1,"No","0.007003418"
"Zm00001eb203870",0.007655016,1,"No","0.007655016"
"Zm00001eb062450",0.00798417776200144,2,"Yes","0.008304619,0.004526156"
"Zm00001eb092230",0.008319905,1,"No","0.008319905"
"Zm00001eb406530",0.00836292041754094,7,"Yes","0.3339724,0.840065,0.1581454,0.004201638,0.002193766,0.5014548,0.01502815"
"Zm00001eb417200",0.008704651,1,"No","0.008704651"
"Zm00001eb245910",0.009172155,1,"No","0.009172155"
"Zm00001eb068100",0.00936951083921855,3,"Yes","0.4766464,0.001627415,0.1177005"
"Zm00001eb069860",0.00947642,1,"No","0.00947642"
"Zm00001eb352460",0.0095027893544013,3,"Yes","0.003316138,0.2436684,0.01398048"
"Zm00001eb215960",0.01007754,1,"No","0.01007754"
"Zm00001eb167820",0.0100933552432626,4,"Yes","0.01597663,0.01163549,0.0818386,0.05513712"
"Zm00001eb212170",0.0110782187626803,5,"Yes","0.01652728,0.001084509,0.8172332,0.1808706,0.693939"
"Zm00001eb367130",0.0111253995919565,3,"Yes","0.8093345,0.02511535,0.0309872"
