"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"Zm00001eb216050",0.0001595806,1,"No","0.0001595806"
"Zm00001eb216060",0.0001595806,1,"No","0.0001595806"
"Zm00001eb038620",0.000272077140185845,10,"Yes","9.972311e-06,0.9137082,0.765504,0.8563727,0.007334173,0.9984924,0.8316808,0.2015239,0.4471854,0.6265402"
"Zm00001eb173360",0.00118022628453696,8,"Yes","0.1972256,0.000199162,0.3315294,0.6551687,0.0002841231,0.8348422,0.9655348,0.9600582"
"Zm00001eb118880",0.00160943979558348,2,"Yes","0.7350229,0.0004860273"
"Zm00001eb396000",0.001686553,1,"No","0.001686553"
"Zm00001eb396010",0.001686553,1,"No","0.001686553"
"Zm00001eb228290",0.003126303,1,"No","0.003126303"
"Zm00001eb305060",0.00375111417944884,3,"Yes","0.1004927,0.002901453,0.004146734"
"Zm00001eb079270",0.00414135468031507,5,"Yes","0.2038167,0.1983279,0.001003426,0.00127705,0.3609028"
"Zm00001eb118990",0.004663753,1,"No","0.004663753"
"Zm00001eb291160",0.00497562912156813,5,"Yes","0.8806006,0.5300494,0.8877941,0.0005362409,0.6184925"
"Zm00001eb339980",0.005975524,1,"No","0.005975524"
"Zm00001eb384000",0.00611987745879838,4,"Yes","0.9875157,0.5607389,0.301412,0.0007496785"
"Zm00001eb046350",0.0064136046380836,2,"Yes","0.004112764,0.003426529"
"Zm00001eb011830",0.00688504591752048,4,"Yes","0.3365772,0.0008557576,0.2645221,0.09994739"
"Zm00001eb348450",0.00864356285127299,2,"Yes","0.00226892,0.4250747"
"Zm00001eb076050",0.008661037,1,"No","0.008661037"
"Zm00001eb326780",0.009454449,1,"No","0.009454449"
"Zm00001eb418760",0.00958687940608161,3,"Yes","0.4081698,0.02547748,0.01212738"
"Zm00001eb013360",0.009851158,1,"No","0.009851158"
"Zm00001eb130500",0.0103913750472413,2,"Yes","0.002690469,0.8520999"
"Zm00001eb375900",0.0104233243153986,2,"Yes","0.3707337,0.002632693"
"Zm00001eb139700",0.0114052866693268,3,"Yes","0.0579532,0.001851648,0.3114333"
"Zm00001eb374080",0.0123610724063525,11,"Yes","0.04606769,0.960275,0.03425448,0.8302833,0.5734797,0.01150089,0.605569,0.05139521,0.07654915,0.661964,0.2152163"
"Zm00001eb173740",0.01256785,1,"No","0.01256785"
"Zm00001eb093540",0.01264349,1,"No","0.01264349"
"Zm00001eb026700",0.01265796,1,"No","0.01265796"
"Zm00001eb358050",0.01299974,1,"No","0.01299974"
"Zm00001eb211040",0.0136437549841747,10,"Yes","0.01255362,0.009819465,0.4086935,0.4082369,0.003814956,0.423551,0.2651573,0.4744616,0.1582127,0.6913592"
"Zm00001eb198320",0.0142256384617263,8,"Yes","0.4196071,0.139935,0.08080226,0.4471839,0.4219407,0.0009366103,0.4024399,0.6074175"
"Zm00001eb110260",0.01428112,1,"No","0.01428112"
"Zm00001eb386620",0.0149249740403312,2,"Yes","0.004331726,0.6612691"
"Zm00001eb350290",0.01562906,1,"No","0.01562906"
"Zm00001eb043310",0.01606173,1,"No","0.01606173"
"Zm00001eb111800",0.01612808,1,"No","0.01612808"
"Zm00001eb372410",0.0165322296768713,2,"Yes","0.004522326,0.541518"
"Zm00001eb421340",0.0166544241180222,3,"Yes","0.3882012,0.7241932,0.002902012"
"Zm00001eb074450",0.0166610552932407,6,"Yes","0.2479969,0.548816,0.02778714,0.03320685,0.01380382,0.6703605"
"Zm00001eb166180",0.0168659980626432,4,"Yes","0.7186383,0.4975864,0.7984125,0.002155279"
"Zm00001eb122680",0.0171187035055096,5,"Yes","0.005460816,0.01985597,0.6253613,0.2334643,0.01640509"
"Zm00001eb277150",0.0171799468471109,4,"Yes","0.6589978,0.9879825,0.3624431,0.00226168"
"Zm00001eb119910",0.0172520790695505,4,"Yes","0.02782776,0.004136481,0.4304277,0.4449318"
"Zm00001eb277160",0.0173800276955635,4,"Yes","0.6589978,0.9879825,0.3624431,0.00226168"
"Zm00001eb410740",0.017420967111059,2,"Yes","0.004748718,0.50037"
"Zm00001eb376010",0.0176791283368382,2,"Yes","0.004630561,0.08951907"
"Zm00001eb237720",0.01778585,1,"No","0.01778585"
"Zm00001eb264040",0.01897062,1,"No","0.01897062"
"Zm00001eb191760",0.0194896809781862,9,"Yes","0.1139154,0.0998964,0.08689262,0.00109987,0.2167942,0.2670843,0.4073706,0.7693903,0.01457755"
"Zm00001eb095410",0.0200541472145441,3,"Yes","0.003630028,0.9465407,0.855754"
"Zm00001eb374540",0.02032734,1,"No","0.02032734"
"Zm00001eb374550",0.02032734,1,"No","0.02032734"
"Zm00001eb066140",0.02045944,1,"No","0.02045944"
"Zm00001eb393780",0.0205868311896144,2,"Yes","0.2338966,0.005449049"
"Zm00001eb096750",0.021043655049841,3,"Yes","0.00378334,0.1069678,0.7111988"
"Zm00001eb038650",0.0211692164654146,4,"Yes","0.02159276,0.002815249,0.7089604,0.8484091"
"Zm00001eb175720",0.0216817362396493,2,"Yes","0.006362902,0.2229864"
"Zm00001eb201250",0.02225948,1,"No","0.02225948"
"Zm00001eb009310",0.0226317,1,"No","0.0226317"
"Zm00001eb147850",0.02387043,1,"No","0.02387043"
"Zm00001eb151790",0.0238972073392471,5,"Yes","0.2537507,0.5380309,0.5323238,0.06997081,0.002427789"
"Zm00001eb119970",0.0238976330045153,2,"Yes","0.5104478,0.007320213"
"Zm00001eb298290",0.0239886290202427,4,"Yes","0.07254962,0.4175866,0.04441696,0.003304361"
"Zm00001eb417350",0.0240009196559322,11,"Yes","0.2707601,0.6250732,0.2034316,0.8044813,0.05186252,0.009902033,0.046126,0.001231109,0.04121788,0.9268205,0.07587155"
"Zm00001eb215220",0.0240184124647075,3,"Yes","0.02770661,0.02656223,0.1331976"
"Zm00001eb284320",0.0240690327794832,7,"Yes","0.446266,0.8204609,0.7519152,0.001810252,0.6860818,0.8668675,0.02189618"
"Zm00001eb364130",0.0241308949248454,2,"Yes","0.01197802,0.01798373"
"Zm00001eb253150",0.0244249350838066,7,"Yes","0.001856541,0.3236567,0.7814356,0.04872484,0.353101,0.04781821,0.4346275"
"Zm00001eb145920",0.0247728724749084,2,"Yes","0.02526796,0.007132631"
"Zm00001eb201340",0.0252137665792174,4,"Yes","0.0146364,0.3142283,0.226047,0.01767403"
"Zm00001eb065940",0.0252632254271102,2,"Yes","0.006753225,0.2813248"
"Zm00001eb424660",0.025452048366748,2,"Yes","0.007299261,0.3687432"
"Zm00001eb072470",0.0256303,1,"No","0.0256303"
"Zm00001eb187080",0.0257598493979545,2,"Yes","0.007575527,0.1181057"
"Zm00001eb057860",0.02620258,1,"No","0.02620258"
"Zm00001eb049310",0.0264672980854831,3,"Yes","0.8401864,0.02084414,0.009122293"
"Zm00001eb000960",0.02679418,1,"No","0.02679418"
"Zm00001eb217490",0.0270408,1,"No","0.0270408"
"Zm00001eb217500",0.0270408,1,"No","0.0270408"
"Zm00001eb373760",0.0280149352340657,2,"Yes","0.007962821,0.141452"
"Zm00001eb151420",0.0298226170982822,2,"Yes","0.02289487,0.01416002"
"Zm00001eb183270",0.03003401,1,"No","0.03003401"
"Zm00001eb053970",0.0303728120939291,13,"Yes","0.3735772,0.5452479,0.3067932,0.007665184,0.8354374,0.09352419,0.01572806,0.003998565,0.3207152,0.5144392,0.8278399,0.9744849,0.2950554"
"Zm00001eb397930",0.0308421213959191,5,"Yes","0.0512868,0.0608748,0.1844675,0.03423753,0.9020115"
"Zm00001eb044790",0.03125471,1,"No","0.03125471"
"Zm00001eb185410",0.03127721,1,"No","0.03127721"
"Zm00001eb318600",0.0320710337426499,4,"Yes","0.7593162,0.4929423,0.004748985,0.01859797"
"Zm00001eb212230",0.0321539112643695,3,"Yes","0.08205309,0.005858489,0.4547853"
"Zm00001eb319010",0.03227048,1,"No","0.03227048"
"Zm00001eb143110",0.032659515783438,2,"Yes","0.4145979,0.009102993"
"Zm00001eb009900",0.0331879757153295,4,"Yes","0.08617695,0.4163438,0.01070895,0.01116351"
"Zm00001eb421290",0.03320507,1,"No","0.03320507"
"Zm00001eb334170",0.03348449,1,"No","0.03348449"
"Zm00001eb249710",0.03351503,1,"No","0.03351503"
"Zm00001eb249720",0.03351503,1,"No","0.03351503"
"Zm00001eb324970",0.0341303709335216,3,"Yes","0.7651697,0.5216634,0.006403531"
"Zm00001eb211610",0.03498337,1,"No","0.03498337"
"Zm00001eb060800",0.03554177,1,"No","0.03554177"
"Zm00001eb188920",0.03563524,1,"No","0.03563524"
"Zm00001eb010730",0.035811572506498,2,"Yes","0.01016971,0.3228029"
"Zm00001eb210320",0.0367857580200668,3,"Yes","0.006719991,0.7890662,0.06975882"
"Zm00001eb429760",0.03690631,1,"No","0.03690631"
"Zm00001eb055550",0.03715942,1,"No","0.03715942"
"Zm00001eb019130",0.0373856904593092,2,"Yes","0.01074366,0.1892476"
"Zm00001eb351780",0.0376760931739067,2,"Yes","0.01024991,0.6163565"
"Zm00001eb058290",0.0389459145237079,3,"Yes","0.4263759,0.007116631,0.6109757"
"Zm00001eb140940",0.0392124439886901,5,"Yes","0.3086604,0.01081349,0.008294143,0.1449941,0.774853"
