"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"Zm00001eb035790",0.0003400923,1,"No","0.0003400923"
"Zm00001eb335910",0.000717695118199968,5,"Yes","7.437762e-05,0.7184632,0.347049,0.2501259,0.6568202"
"Zm00001eb070930",0.00162374241193075,3,"Yes","0.2716001,0.0003032813,0.6721954"
"Zm00001eb248730",0.001689798,1,"No","0.001689798"
"Zm00001eb289910",0.002198683,1,"No","0.002198683"
"Zm00001eb254830",0.002252546,1,"No","0.002252546"
"Zm00001eb137090",0.002575587,1,"No","0.002575587"
"Zm00001eb004360",0.002694202,1,"No","0.002694202"
"Zm00001eb216320",0.003412181,1,"No","0.003412181"
"Zm00001eb020780",0.00409204425693932,3,"Yes","0.05692875,0.0006735461,0.136954"
"Zm00001eb215960",0.004093009,1,"No","0.004093009"
"Zm00001eb053560",0.00483411089030805,6,"Yes","0.0003382825,0.2397042,0.904806,0.3626946,0.7933968,0.998605"
"Zm00001eb002880",0.00545281098613759,9,"Yes","0.1424627,0.134211,0.2400599,0.000489395,0.001019478,0.9120387,0.9052937,0.6601926,0.3742575"
"Zm00001eb075290",0.005554871,1,"No","0.005554871"
"Zm00001eb391380",0.006192429,1,"No","0.006192429"
"Zm00001eb362670",0.006389541,1,"No","0.006389541"
"Zm00001eb168470",0.006535548,1,"No","0.006535548"
"Zm00001eb187760",0.00674160209097052,2,"Yes","0.002006945,0.7900154"
"Zm00001eb322620",0.006895139,1,"No","0.006895139"
"Zm00001eb212010",0.007071747,1,"No","0.007071747"
"Zm00001eb343520",0.0072629073361723,13,"Yes","0.2665712,0.2475262,0.5944068,0.302387,0.4921995,0.5376517,0.007438788,0.01724345,0.0008872679,0.0008872679,0.9527954,0.7567773,0.03964113"
"Zm00001eb070050",0.0078023651006649,4,"Yes","0.06400228,0.05543061,0.0009960284,0.09208151"
"Zm00001eb254800",0.00880147685110744,2,"Yes","0.002252546,0.1452787"
"Zm00001eb054940",0.00891256343293878,5,"Yes","0.000799999,0.06183298,0.1418142,0.415536,0.1438608"
"Zm00001eb376480",0.00920305390627874,2,"Yes","0.00247882,0.5981049"
"Zm00001eb240430",0.009485358,1,"No","0.009485358"
"Zm00001eb108100",0.01075105,1,"No","0.01075105"
"Zm00001eb165170",0.01131425839594,4,"Yes","0.4567786,0.682061,0.01613363,0.009409"
"Zm00001eb077400",0.0125273439462273,4,"Yes","0.08004668,0.001540219,0.8677028,0.1723526"
"Zm00001eb424550",0.0138516452089117,2,"Yes","0.007684169,0.01185324"
"Zm00001eb426690",0.0139850886343794,8,"Yes","0.4471199,0.4706557,0.5757374,0.7714857,0.05939196,0.009413847,0.02123546,0.01522979"
"Zm00001eb399720",0.0143804217659229,4,"Yes","0.7034392,0.6620764,0.001824679,0.7954994"
"Zm00001eb427290",0.014603786005249,5,"Yes","0.8336587,0.204897,0.9195769,0.01719071,0.001376768"
"Zm00001eb363760",0.01462293,1,"No","0.01462293"
"Zm00001eb399710",0.0148678489302002,4,"Yes","0.7196186,0.7034392,0.6620764,0.001824679"
"Zm00001eb072230",0.01497497,1,"No","0.01497497"
"Zm00001eb060160",0.01514618,1,"No","0.01514618"
"Zm00001eb431670",0.0153608924682536,2,"Yes","0.004596107,0.3909327"
"Zm00001eb391010",0.01540055,1,"No","0.01540055"
"Zm00001eb150680",0.01550807,1,"No","0.01550807"
"Zm00001eb336210",0.01617972,1,"No","0.01617972"
"Zm00001eb407990",0.01628733,1,"No","0.01628733"
"Zm00001eb015820",0.0163291345947257,2,"Yes","0.03326131,0.004474009"
"Zm00001eb243640",0.0176315381155394,6,"Yes","0.3053369,0.726648,0.3383897,0.2033379,0.00956446,0.006033702"
"Zm00001eb096190",0.01897786,1,"No","0.01897786"
"Zm00001eb137080",0.0190377367259954,3,"Yes","0.164987,0.003340843,0.06926587"
"Zm00001eb151600",0.019775884607958,5,"Yes","0.9945177,0.821964,0.008050282,0.3374249,0.006805616"
"Zm00001eb202790",0.01997274,1,"No","0.01997274"
"Zm00001eb144080",0.01999184,1,"No","0.01999184"
"Zm00001eb067110",0.02026231,1,"No","0.02026231"
"Zm00001eb199540",0.0206256,1,"No","0.0206256"
"Zm00001eb062180",0.0208084708283993,7,"Yes","0.5490718,0.04923421,0.01114388,0.6589529,0.02383638,0.09335278,0.001660774"
"Zm00001eb011220",0.0212915909008159,3,"Yes","0.8901346,0.6836592,0.003732781"
"Zm00001eb315030",0.0221601051241622,5,"Yes","0.7666371,0.7613322,0.009556838,0.01264125,0.006529633"
"Zm00001eb105090",0.0224121938335152,3,"Yes","0.003853883,0.4100538,0.1897862"
"Zm00001eb081870",0.02267189,1,"No","0.02267189"
"Zm00001eb043310",0.02362356,1,"No","0.02362356"
"Zm00001eb215820",0.0238015876139801,13,"Yes","0.0008829993,0.5095296,0.5930054,0.05174613,0.8606734,0.2236899,0.5252534,0.6473371,0.2167176,0.998963,0.8358105,0.4626836,0.4294902"
"Zm00001eb139940",0.02391057,1,"No","0.02391057"
"Zm00001eb105730",0.0239455679761196,9,"Yes","0.9619195,0.7598013,0.4251651,0.8786625,0.001246113,0.03976362,0.1868498,0.7954914,0.285089"
"Zm00001eb343840",0.0240248,1,"No","0.0240248"
