"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"Zm00001eb059400",0.000331207990900917,6,"Yes","0.7901854,0.9741923,0.00134585,0.5936044,0.2360349,0.0008794457"
"Zm00001eb058140",0.0003703009,1,"No","0.0003703009"
"Zm00001eb119270",0.000943055549882499,3,"Yes","0.005417493,0.8045918,0.0001377105"
"Zm00001eb398250",0.002004879,1,"No","0.002004879"
"Zm00001eb365150",0.002298964,1,"No","0.002298964"
"Zm00001eb327320",0.00239415506516727,2,"Yes","0.0005816553,0.9162078"
"Zm00001eb073390",0.0026127969055727,2,"Yes","0.0006800057,0.6339349"
"Zm00001eb143110",0.00279398302414602,2,"Yes","0.0007808899,0.3431071"
"Zm00001eb251210",0.00313701938980648,3,"Yes","0.8583189,0.3633701,0.0004670714"
"Zm00001eb128780",0.003239723,1,"No","0.003239723"
"Zm00001eb255020",0.00328374625084527,3,"Yes","0.006833131,0.006873804,0.0006041253"
"Zm00001eb250810",0.00359669908309135,10,"Yes","0.2043615,0.02491067,0.008041075,0.01469084,0.849981,0.6434937,0.002962467,0.09648062,0.6841438,0.7446749"
"Zm00001eb379540",0.00404005931884077,5,"Yes","0.492474,0.2016388,0.1610857,0.0004088206,0.3367577"
"Zm00001eb153460",0.00478614290506729,3,"Yes","0.0008307502,0.9355577,0.3826879"
"Zm00001eb012460",0.00527677127585213,4,"Yes","0.683103,0.6306755,0.6912065,0.0006660464"
"Zm00001eb128420",0.00535746,1,"No","0.00535746"
"Zm00001eb399720",0.0058551292407687,4,"Yes","0.0008089246,0.09023427,0.4012639,0.09603654"
"Zm00001eb399710",0.00634538047577926,4,"Yes","0.4930925,0.0008089246,0.09023427,0.4012639"
"Zm00001eb070560",0.00676184883296105,3,"Yes","0.4858279,0.01145378,0.008227333"
"Zm00001eb309900",0.007052844,1,"No","0.007052844"
"Zm00001eb122620",0.00757234778870108,3,"Yes","0.3769427,0.9003541,0.001214293"
"Zm00001eb288490",0.00835043513081979,2,"Yes","0.002171974,0.02980055"
"Zm00001eb126820",0.0091859124312893,3,"Yes","0.0833332,0.02601286,0.01087084"
"Zm00001eb321850",0.00960031701222042,5,"Yes","0.5956033,0.001058837,0.1144918,0.2569789,0.2765776"
"Zm00001eb203300",0.01032164,1,"No","0.01032164"
"Zm00001eb271200",0.01044748,1,"No","0.01044748"
"Zm00001eb254410",0.0113837599518875,14,"Yes","0.6741908,0.9608533,0.3955455,0.9726923,0.01198868,0.8787192,0.1547435,0.4459786,0.6227842,0.06386951,0.1648515,0.0128644,0.01196473,0.001025569"
"Zm00001eb171350",0.011444037001221,3,"Yes","0.6332323,0.0172377,0.002004581"
"Zm00001eb121700",0.0114948122659946,5,"Yes","0.03699364,0.2609531,0.005078933,0.08807781,0.003652142"
"Zm00001eb227040",0.01153619,1,"No","0.01153619"
"Zm00001eb147850",0.01182872,1,"No","0.01182872"
"Zm00001eb316580",0.01273231,1,"No","0.01273231"
"Zm00001eb418020",0.0129280853560962,2,"Yes","0.02400054,0.003659926"
"Zm00001eb121750",0.013330688900078,5,"Yes","0.06742661,0.8903929,0.001274568,0.483852,0.05343669"
"Zm00001eb015340",0.0146037757911415,12,"Yes","0.003652039,0.005782926,0.004566238,0.995261,0.26536,0.6470568,0.1131785,0.1573095,0.264283,0.4374429,0.7501251,0.9821746"
"Zm00001eb107050",0.01543211,1,"No","0.01543211"
"Zm00001eb365730",0.01581955,1,"No","0.01581955"
"Zm00001eb365740",0.01581955,1,"No","0.01581955"
"Zm00001eb091610",0.0185031835961156,3,"Yes","0.02385702,0.00346585,0.07793883"
"Zm00001eb427000",0.0188208028060812,8,"Yes","0.001126207,0.01094747,0.66948,0.6333428,0.4785214,0.903321,0.9943318,0.5607085"
"Zm00001eb142950",0.0190239,1,"No","0.0190239"
"Zm00001eb170530",0.01951667,1,"No","0.01951667"
"Zm00001eb003880",0.01970469,1,"No","0.01970469"
"Zm00001eb175410",0.01980623,1,"No","0.01980623"
"Zm00001eb198440",0.0200499275032685,6,"Yes","0.005674613,0.005938794,0.1020927,0.6305091,0.3199983,0.6702052"
"Zm00001eb158870",0.02027085,1,"No","0.02027085"
"Zm00001eb291250",0.0202717930623775,7,"Yes","0.8664911,0.3755325,0.6331397,0.9771788,0.06394272,0.6957702,0.001416896"
"Zm00001eb323230",0.02055233,1,"No","0.02055233"
"Zm00001eb366030",0.0215233920782727,5,"Yes","0.04224058,0.627924,0.0237806,0.6877821,0.01220051"
"Zm00001eb087460",0.0216517909993708,3,"Yes","0.02607877,0.4657005,0.01467973"
"Zm00001eb109790",0.02238391630071,4,"Yes","0.03107155,0.7893936,0.02024336,0.9195759"
"Zm00001eb229660",0.02245187,1,"No","0.02245187"
"Zm00001eb420640",0.02301384,1,"No","0.02301384"
"Zm00001eb040010",0.02465613,1,"No","0.02465613"
"Zm00001eb068100",0.0253984793436458,3,"Yes","0.276519,0.004640305,0.9500195"
"Zm00001eb147290",0.02563216,1,"No","0.02563216"
"Zm00001eb270040",0.02581385,1,"No","0.02581385"
"Zm00001eb299750",0.025878036663612,7,"Yes","0.1920808,0.01682029,0.04383747,0.01242042,0.3567522,0.297416,0.2757328"
"Zm00001eb399170",0.02597775,1,"No","0.02597775"
"Zm00001eb213300",0.0263964740807044,7,"Yes","0.04873629,0.5176697,0.2511818,0.8729372,0.02362815,0.01229682,0.08642021"
"Zm00001eb290040",0.0264860618147427,3,"Yes","0.4378446,0.04548675,0.03468047"
"Zm00001eb217930",0.0267856944293003,2,"Yes","0.02764901,0.02024225"
"Zm00001eb423920",0.02743227,1,"No","0.02743227"
"Zm00001eb118850",0.0279675754202053,4,"Yes","0.2411317,0.09238903,0.4655547,0.004069588"
"Zm00001eb319370",0.0282897300499746,2,"Yes","0.008014258,0.09761143"
"Zm00001eb283870",0.0290567779447594,5,"Yes","0.07134911,0.3431143,0.004548741,0.04386035,0.2404327"
"Zm00001eb333830",0.0297444,1,"No","0.0297444"
"Zm00001eb214040",0.0300255626247296,2,"Yes","0.01976726,0.02018005"
"Zm00001eb251840",0.0308160299431587,2,"Yes","0.008618198,0.7434929"
"Zm00001eb280410",0.03111362,1,"No","0.03111362"
"Zm00001eb213330",0.03124008,1,"No","0.03124008"
"Zm00001eb278860",0.031604916362704,2,"Yes","0.009198264,0.5868737"
"Zm00001eb006030",0.0317380540828679,3,"Yes","0.005660336,0.928659,0.2370263"
"Zm00001eb012370",0.032407358112251,2,"Yes","0.008829074,0.6576093"
"Zm00001eb121640",0.0328636816035377,6,"Yes","0.8253147,0.8253147,0.8604558,0.4255763,0.003273983,0.3729014"
"Zm00001eb147400",0.03397937,1,"No","0.03397937"
"Zm00001eb379060",0.03456897,1,"No","0.03456897"
"Zm00001eb009810",0.0353036368320094,2,"Yes","0.3408198,0.009302867"
"Zm00001eb285250",0.03530615,1,"No","0.03530615"
"Zm00001eb231240",0.0354129058782647,3,"Yes","0.7875885,0.006654602,0.3995148"
"Zm00001eb197820",0.03559359,1,"No","0.03559359"
"Zm00001eb285420",0.03657879,1,"No","0.03657879"
"Zm00001eb131230",0.03837581,1,"No","0.03837581"
"Zm00001eb105060",0.038685962843925,3,"Yes","0.006920035,0.6736888,0.6882149"
"Zm00001eb159710",0.03868968,1,"No","0.03868968"
"Zm00001eb104430",0.03916342,1,"No","0.03916342"
"Zm00001eb308220",0.03968924,1,"No","0.03968924"
"Zm00001eb060800",0.04010498,1,"No","0.04010498"
"Zm00001eb010150",0.0411394768674148,2,"Yes","0.01213762,0.286756"
"Zm00001eb408730",0.0413617844464914,2,"Yes","0.1264382,0.01215216"
"Zm00001eb416910",0.0416392230145431,2,"Yes","0.01288329,0.7053766"
"Zm00001eb086800",0.0416776969780142,2,"Yes","0.1809832,0.01201525"
"Zm00001eb086810",0.0416879418929654,2,"Yes","0.1809832,0.01201525"
"Zm00001eb400270",0.0419201241523073,16,"Yes","0.9887488,0.4585827,0.4490652,0.7007907,0.3402195,0.8275413,0.07043375,0.4363147,0.0327719,0.1369029,0.8282214,0.03108676,0.851244,0.001345251,0.3421282,0.2754845"
"Zm00001eb126920",0.0420320243147847,9,"Yes","0.3794849,0.342444,0.002513366,0.1990197,0.9308327,0.08849754,0.1970165,0.3238242,0.326788"
"Zm00001eb415440",0.0421912,1,"No","0.0421912"
"Zm00001eb183100",0.0424308880591949,4,"Yes","0.005704393,0.03100918,0.2783243,0.7344775"
"Zm00001eb038370",0.04278346,1,"No","0.04278346"
"Zm00001eb320600",0.0438532459758971,2,"Yes","0.01251869,0.8227203"
"Zm00001eb428010",0.0438971199790356,2,"Yes","0.02700105,0.02864764"
"Zm00001eb248190",0.0439266780566291,10,"Yes","0.8421862,0.5568414,0.9581841,0.1504344,0.002308093,0.006824552,0.877577,0.1376306,0.7083691,0.7589339"
"Zm00001eb384370",0.0447413498304658,2,"Yes","0.04718633,0.03227502"
"Zm00001eb054420",0.04654529,1,"No","0.04654529"
"Zm00001eb357700",0.0470924174564332,9,"Yes","0.7977474,0.1750116,0.7688227,0.003006773,0.1608134,0.3899219,0.01691505,0.5982054,0.0487416"
"Zm00001eb344190",0.04722637,1,"No","0.04722637"
"Zm00001eb099240",0.0472437546278439,3,"Yes","0.00873204,0.1283194,0.6001205"
"Zm00001eb113880",0.04760197,1,"No","0.04760197"
"Zm00001eb051360",0.04843351,1,"No","0.04843351"
"Zm00001eb162090",0.04918563,1,"No","0.04918563"
"Zm00001eb144740",0.0497778492475658,3,"Yes","0.5100965,0.4118376,0.009649697"
"Zm00001eb421340",0.0497866752266735,3,"Yes","0.02234448,0.07167954,0.3156017"
"Zm00001eb052860",0.04991899,1,"No","0.04991899"
"Zm00001eb333340",0.0500200903087521,2,"Yes","0.01552124,0.1497173"
"Zm00001eb013030",0.0501965940047351,2,"Yes","0.1251447,0.01550132"
"Zm00001eb192780",0.0503371670989383,10,"Yes","0.04525626,0.06972778,0.9953469,0.04523676,0.09457875,0.03853131,0.322401,0.5320751,0.885756,0.8952398"
"Zm00001eb106740",0.0504551003909725,5,"Yes","0.08212199,0.185518,0.829507,0.09596058,0.07902568"
"Zm00001eb354310",0.0506869857385662,3,"Yes","0.7936723,0.832153,0.009649058"
"Zm00001eb248660",0.0508995,1,"No","0.0508995"
"Zm00001eb140930",0.0509350975834046,3,"Yes","0.4452623,0.01018965,0.07320524"
"Zm00001eb322780",0.05124502,1,"No","0.05124502"
"Zm00001eb151220",0.0516413696829844,2,"Yes","0.01608079,0.121515"
"Zm00001eb120570",0.05207543,1,"No","0.05207543"
"Zm00001eb086000",0.05222292,1,"No","0.05222292"
"Zm00001eb091250",0.05258686,1,"No","0.05258686"
"Zm00001eb248170",0.0530034570593262,13,"Yes","0.03723144,0.09717106,0.2087138,0.8421862,0.5568414,0.9581841,0.1504344,0.002308093,0.006824552,0.877577,0.1376306,0.7083691,0.7589339"
"Zm00001eb119140",0.0535500047106114,5,"Yes","0.006657469,0.6498383,0.275612,0.6248048,0.6805575"
"Zm00001eb325970",0.0536063110870754,5,"Yes","0.02153126,0.01731819,0.3758857,0.09934363,0.6269415"
"Zm00001eb029080",0.05363481,1,"No","0.05363481"
"Zm00001eb068620",0.0537043576799315,3,"Yes","0.09008674,0.01059936,0.0549188"
"Zm00001eb371720",0.05414908,1,"No","0.05414908"
"Zm00001eb361230",0.05443779,1,"No","0.05443779"
"Zm00001eb057200",0.055231791924446,3,"Yes","0.6199736,0.5333478,0.01056939"
"Zm00001eb075290",0.05539712,1,"No","0.05539712"
"Zm00001eb068870",0.05617058,1,"No","0.05617058"
"Zm00001eb080670",0.0563958290725324,8,"Yes","0.5681085,0.1359693,0.8089569,0.02479426,0.8208442,0.0897637,0.3059346,0.003926047"
"Zm00001eb252750",0.0564950367827197,4,"Yes","0.006662993,0.2587693,0.4867075,0.4654464"
"Zm00001eb222690",0.05700965,1,"No","0.05700965"
"Zm00001eb308720",0.05701227,1,"No","0.05701227"
"Zm00001eb344900",0.05821655,1,"No","0.05821655"
"Zm00001eb076690",0.05855799,1,"No","0.05855799"
"Zm00001eb360130",0.0587869212585226,7,"Yes","0.209949,0.797931,0.1794039,0.1574868,0.01361736,0.02567387,0.0208349"
"Zm00001eb430940",0.0588119588027133,8,"Yes","0.7786655,0.5443173,0.321443,0.004214002,0.6732335,0.04790965,0.9147905,0.2411973"
"Zm00001eb311340",0.05905717,1,"No","0.05905717"
"Zm00001eb031250",0.05919227,1,"No","0.05919227"
"Zm00001eb299830",0.0602917063416217,9,"Yes","0.01292381,0.1155834,0.7051742,0.04508629,0.04131118,0.231448,0.7449996,0.4628308,0.8415093"
"Zm00001eb151340",0.0607515991836509,7,"Yes","0.03505222,0.2158557,0.849454,0.4144993,0.01090895,0.4970247,0.01252837"
"Zm00001eb323880",0.0608354239452497,4,"Yes","0.4656902,0.008669921,0.6704641,0.3708501"
"Zm00001eb210650",0.0610521632798868,2,"Yes","0.01768298,0.5005349"
"Zm00001eb205270",0.0614344527609689,5,"Yes","0.6210079,0.09844429,0.04581661,0.462207,0.05601152"
"Zm00001eb140940",0.0620665338918976,5,"Yes","0.3375955,0.01696361,0.01756667,0.1729731,0.1695051"
"Zm00001eb286110",0.0623530463477561,3,"Yes","0.07549972,0.03808926,0.0556952"
"Zm00001eb421380",0.06243772,1,"No","0.06243772"
"Zm00001eb003160",0.062705,1,"No","0.062705"
"Zm00001eb210500",0.06278084,1,"No","0.06278084"
"Zm00001eb431210",0.0629803573987284,3,"Yes","0.6070796,0.02421034,0.08210346"
"Zm00001eb164920",0.0631486677576634,8,"Yes","0.004468904,0.2147877,0.3408236,0.462596,0.6625197,0.8308046,0.9680818,0.4115214"
"Zm00001eb273430",0.0641941717301044,4,"Yes","0.2103432,0.2923141,0.01120128,0.1650772"
"Zm00001eb022700",0.0642663472873878,3,"Yes","0.1351938,0.3943294,0.01265919"
"Zm00001eb344070",0.064615983086319,2,"Yes","0.02021002,0.3353044"
"Zm00001eb200770",0.06507427,1,"No","0.06507427"
"Zm00001eb055550",0.06512219,1,"No","0.06512219"
