rs chr ps p_wald
S3_58523 3 58523 0.7948235
S3_64841 3 64841 5.828844e-11
S3_64898 3 64898 0.7319575
S3_65813 3 65813 0.8658506
S3_116315 3 116315 0.7505927
S3_116685 3 116685 0.1448153
S3_122571 3 122571 0.1855119
S3_133167 3 133167 0.4549975
S3_164708 3 164708 0.08655375
S3_166049 3 166049 0.8232377
S3_166173 3 166173 0.8688704
S3_170972 3 170972 0.7022391
S3_171005 3 171005 0.7007108
S3_196898 3 196898 0.005693332
S3_197318 3 197318 0.7373997
S3_197846 3 197846 0.1477276
S3_204490 3 204490 0.4018313
S3_204497 3 204497 0.4018313
S3_216072 3 216072 0.7862342
S3_218998 3 218998 0.07392218
S3_219950 3 219950 0.1420974
S3_220238 3 220238 0.2389168
S3_220838 3 220838 6.60338e-06
S3_220841 3 220841 0.02463827
S3_238087 3 238087 0.383142
S3_249982 3 249982 0.6080043
S3_260416 3 260416 0.2395059
S3_269200 3 269200 0.9282889
S3_294782 3 294782 0.1287086
S3_316531 3 316531 0.1851965
S3_337358 3 337358 1.23985e-07
S3_357855 3 357855 0.5547004
S3_365587 3 365587 0.007861951
S3_365694 3 365694 0.02798985
S3_365849 3 365849 0.04494682
S3_371920 3 371920 0.06610616
S3_402655 3 402655 0.09327841
S3_404118 3 404118 0.1745602
S3_418387 3 418387 0.2646558
S3_421232 3 421232 0.09211852
S3_439558 3 439558 0.03143128
S3_439581 3 439581 0.5393778
S3_443835 3 443835 0.3880903
S3_448211 3 448211 0.0615848
S3_459166 3 459166 0.462498
S3_461187 3 461187 0.6731161
S3_464325 3 464325 0.8715912
S3_482055 3 482055 0.07772526
S3_482065 3 482065 0.145449
S3_485617 3 485617 0.1217323
S3_492959 3 492959 0.3464591
S3_504045 3 504045 5.597819e-05
S3_504058 3 504058 0.04573712
S3_505661 3 505661 0.7179973
S3_517004 3 517004 0.4001759
S3_517167 3 517167 0.4251126
S3_521419 3 521419 0.06172778
S3_526230 3 526230 0.700341
S3_526263 3 526263 0.2158114
S3_526380 3 526380 7.496264e-07
S3_526419 3 526419 0.5903389
S3_530930 3 530930 0.009057816
S3_542541 3 542541 0.9481118
S3_542555 3 542555 0.7453268
S3_555829 3 555829 0.8513329
S3_558815 3 558815 0.4376471
S3_558861 3 558861 0.4291241
S3_612455 3 612455 0.00460989
S3_612499 3 612499 0.007400025
S3_612507 3 612507 0.003939882
S3_612712 3 612712 0.004426651
S3_612726 3 612726 0.004426651
S3_612728 3 612728 0.004048495
S3_612773 3 612773 0.01538441
S3_629729 3 629729 0.01731042
S3_632832 3 632832 0.5570486
S3_641745 3 641745 0.6150311
S3_641746 3 641746 0.6150311
S3_641750 3 641750 0.6150311
S3_641752 3 641752 0.6150311
S3_641757 3 641757 0.6150311
S3_642649 3 642649 0.3787805
S3_678146 3 678146 6.275182e-11
