rs chr ps p_wald
S6_72442 6 72442 0.05762885
S6_114296 6 114296 0.4679737
S6_176407 6 176407 0.2613115
S6_255519 6 255519 0.03188
S6_258267 6 258267 0.7754876
S6_258288 6 258288 0.303614
S6_258293 6 258293 0.1951042
S6_334735 6 334735 0.0205455
S6_377012 6 377012 0.1111894
S6_382696 6 382696 0.5370675
S6_397888 6 397888 0.1257835
S6_452713 6 452713 0.3302161
S6_478402 6 478402 0.8296981
S6_553041 6 553041 0.1632875
S6_618387 6 618387 0.0722474
S6_673104 6 673104 0.9947173
S6_673105 6 673105 0.9518186
S6_753189 6 753189 0.3125972
S6_753193 6 753193 0.3914624
S6_769858 6 769858 0.002979494
S6_769859 6 769859 0.003022939
S6_769906 6 769906 0.4983393
S6_780688 6 780688 0.01178719
S6_787837 6 787837 0.01281137
S6_789397 6 789397 0.5173713
S6_793268 6 793268 0.02533122
S6_793277 6 793277 0.2728041
S6_796068 6 796068 0.5459395
S6_811191 6 811191 0.2446079
S6_838601 6 838601 0.9402995
S6_884649 6 884649 0.1275789
S6_884662 6 884662 0.09152836
S6_916063 6 916063 0.3056472
S6_928884 6 928884 0.5005546
S6_928913 6 928913 0.8028742
S6_941907 6 941907 0.4649867
S6_941910 6 941910 0.4692808
S6_941934 6 941934 0.3074823
S6_950193 6 950193 0.6510822
S6_950195 6 950195 0.6752847
S6_957018 6 957018 0.2500997
S6_957024 6 957024 0.2728425
S6_966733 6 966733 0.4180978
S6_970345 6 970345 0.1065309
S6_1013100 6 1013100 0.3579914
S6_1013103 6 1013103 0.521582
S6_1021161 6 1021161 0.001515088
S6_1168107 6 1168107 0.9745398
S6_1201288 6 1201288 0.7391973
S6_1246723 6 1246723 0.494767
S6_1265705 6 1265705 0.234731
S6_1279029 6 1279029 0.4311199
S6_1279030 6 1279030 0.4051616
S6_1292372 6 1292372 0.102471
S6_1292382 6 1292382 0.05746128
S6_1292400 6 1292400 0.08597369
S6_1292409 6 1292409 0.046777
S6_1343249 6 1343249 0.04240555
S6_1402686 6 1402686 0.07600445
S6_1402697 6 1402697 0.0197274
S6_1499201 6 1499201 0.8253925
S6_1499208 6 1499208 0.04422071
S6_1499209 6 1499209 0.03117235
S6_1499228 6 1499228 0.04422071
S6_1564193 6 1564193 0.07199243
S6_1564195 6 1564195 0.1411321
S6_1618728 6 1618728 0.6168975
S6_1635984 6 1635984 0.3493508
S6_1636633 6 1636633 0.362867
S6_1636662 6 1636662 0.3919029
S6_1638827 6 1638827 0.6603346
S6_1638833 6 1638833 0.0004152674
S6_1699692 6 1699692 0.1517698
S6_1750238 6 1750238 0.06610142
S6_1775042 6 1775042 0.6435267
S6_1775151 6 1775151 0.8881494
S6_1775156 6 1775156 0.8638735
S6_1775261 6 1775261 0.9170651
