"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"SORBI_3010G095700",5.39568389967826e-14,3,"Yes","0.6607461,0.3388884,1.801583e-14"
"SORBI_3002G354600",1.697434e-13,1,"No","1.697434e-13"
"SORBI_3007G034700",1.964351e-12,1,"No","1.964351e-12"
"SORBI_3002G372000",4.02511357577851e-12,3,"Yes","0.004268929,0.07000177,1.274351e-12"
"SORBI_3009G132100",4.380243e-12,1,"No","4.380243e-12"
"SORBI_3001G093000",4.597841e-12,1,"No","4.597841e-12"
"SORBI_3001G094900",4.04282163302128e-11,2,"Yes","6.634375e-11,6.355513e-11"
"SORBI_3009G131300",1.14675380302742e-10,3,"Yes","0.6556605,3.7331e-11,0.9072801"
"SORBI_3001G105700",1.39521e-10,1,"No","1.39521e-10"
"SORBI_3002G355100",2.180015e-10,1,"No","2.180015e-10"
"SORBI_3009G006300",2.42173725517603e-10,5,"Yes","4.665208e-11,9.129082e-07,0.3098083,1.428768e-06,0.008265019"
"SORBI_3001G447000",4.91056417750713e-10,3,"Yes","0.4381661,1.63687e-10,0.1521673"
"SORBI_3003G314200",6.33605945488114e-10,2,"Yes","1.030172e-09,1.030172e-09"
"SORBI_3006G145600",8.36469116194394e-10,3,"Yes","0.01774338,1.415845e-07,3.756125e-07"
"SORBI_3001G340900",1.413756e-09,1,"No","1.413756e-09"
"SORBI_3009G005800",1.44239453714334e-09,6,"Yes","2.749582e-09,2.577233e-08,0.1896908,0.1697522,0.1280475,2.703437e-08"
"SORBI_3006G196200",1.68261360400379e-09,2,"Yes","8.404117e-10,0.08472713"
"SORBI_3004G215100",4.36148861471253e-09,3,"Yes","1.455038e-09,0.7506766,0.93128"
"SORBI_3006G264000",9.3489604946484e-09,4,"Yes","9.783659e-05,0.0001281948,1.389832e-08,2.543852e-09"
"SORBI_3001G081700",9.465786e-09,1,"No","9.465786e-09"
"SORBI_3004G078000",4.23810661009938e-08,2,"Yes","3.607819e-07,1.688383e-08"
"SORBI_3004G111600",6.23144549294352e-08,3,"Yes","0.9542179,0.7638261,1.844143e-08"
"SORBI_3010G025850",8.46697975065425e-08,6,"Yes","0.2589114,1.0679e-07,1.457153e-08,0.9343438,0.5512831,0.5512831"
"SORBI_3010G076200",9.23230234484151e-08,6,"Yes","0.6477526,0.2953367,0.7015509,0.5109049,0.8749235,1.53603e-08"
"SORBI_3001G124100",9.33818937731701e-08,5,"Yes","0.04319751,0.05295562,0.7031011,0.3801925,1.928487e-08"
"SORBI_3003G084300",1.07603828847225e-07,8,"Yes","7.477858e-09,0.04754381,0.04754381,0.04754381,0.0002247745,0.5394209,0.5394209,0.0001926056"
"SORBI_3001G224700",1.12931542561867e-07,3,"Yes","0.7353812,1.483829e-07,1.483829e-07"
"SORBI_3003G007700",1.35103e-07,1,"No","1.35103e-07"
"SORBI_3006G208800",2.429655e-07,1,"No","2.429655e-07"
"SORBI_3003G008000",2.46725412655913e-07,18,"Yes","1.485861e-06,1.485861e-06,0.8087043,0.3189796,0.005426959,0.2962801,0.1638971,0.8736239,0.2599612,0.2902998,2.822787e-06,0.006639792,1.488674e-06,2.758163e-05,0.3084397,1.443326e-05,1.443326e-05,1.443326e-05"
"SORBI_3003G023400",3.160545e-07,1,"No","3.160545e-07"
"SORBI_3010G241200",3.4285171668369e-07,2,"Yes","0.004030791,1.705355e-07"
"SORBI_3010G086700",3.59004e-07,1,"No","3.59004e-07"
"SORBI_3006G242100",3.64165880006873e-07,8,"Yes","3.9296e-05,3.313606e-08,0.4031722,0.4646888,0.4247109,0.2378737,0.3035705,0.3930947"
"SORBI_3006G118800",4.365364e-07,1,"No","4.365364e-07"
"SORBI_3006G155700",5.403632e-07,1,"No","5.403632e-07"
"SORBI_3003G015800",5.63645668250068e-07,5,"Yes","0.01515756,0.02061913,0.04422904,1.443829e-07,3.983165e-07"
"SORBI_3001G097300",6.17523358004135e-07,3,"Yes","9.997692e-08,0.9242867,0.1889246"
"SORBI_3007G023000",6.301025e-07,1,"No","6.301025e-07"
"SORBI_3001G456500",6.90024385963106e-07,2,"Yes","0.3985701,3.429173e-07"
"SORBI_3003G286800",7.16292284375086e-07,3,"Yes","0.424795,2.235277e-07,0.1188612"
"SORBI_3002G352800",8.97571045488377e-07,5,"Yes","0.7759931,0.7914221,1.77972e-07,0.6540963,0.6336974"
"SORBI_3003G007900",1.22035888394656e-06,2,"Yes","1.485861e-06,1.485861e-06"
"SORBI_3003G023200",1.42604668318391e-06,3,"Yes","0.4864144,0.7968507,4.635437e-07"
