"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"SORBI_3002G354600",2.8311e-18,1,"No","2.8311e-18"
"SORBI_3003G007700",2.22176e-16,1,"No","2.22176e-16"
"SORBI_3001G250150",4.44089209850063e-16,2,"Yes","0.1580604,3.459721e-17"
"SORBI_3002G355100",4.44089209850063e-16,2,"Yes","1.228802e-16,0.1261453"
"SORBI_3007G034700",1.304049e-15,1,"No","1.304049e-15"
"SORBI_3001G447000",6.66133814775094e-15,3,"Yes","0.2193997,1.155888e-15,0.9496896"
"SORBI_3004G070200",1.11022302462516e-14,2,"Yes","0.3248794,5.606992e-15"
"SORBI_3004G038500",2.66453525910038e-14,3,"Yes","4.455113e-15,0.816729,0.001034635"
"SORBI_3003G084400",1.38444811170757e-13,7,"Yes","0.0515548,0.3545168,0.3903456,0.003105553,0.002950813,0.002156408,7.80999e-15"
"SORBI_3001G093000",3.181884e-13,1,"No","3.181884e-13"
"SORBI_3003G016300",4.21773727055097e-13,3,"Yes","5.083201e-12,8.903648e-11,3.436707e-12"
"SORBI_3009G131300",6.04738481513323e-13,3,"Yes","0.01220587,1.0094e-13,0.5840013"
"SORBI_3006G208800",7.080445e-13,1,"No","7.080445e-13"
"SORBI_3004G078500",1.32072131009409e-12,8,"Yes","7.656926e-10,2.547982e-09,0.0116768,0.04865952,0.005424004,0.005424004,8.132095e-12,8.132095e-12"
"SORBI_3001G105700",2.562565e-12,1,"No","2.562565e-12"
"SORBI_3006G264000",2.69784194983913e-12,4,"Yes","8.04382e-05,0.0001396974,3.597484e-13,7.251002e-11"
"SORBI_3001G294900",3.63509222722769e-12,5,"Yes","6.996656e-12,4.246086e-13,0.2155539,2.370771e-12,0.02833268"
"SORBI_3004G038100",4.71633843091013e-12,4,"Yes","6.289381e-13,0.2204464,0.6136937,0.2652493"
"SORBI_3001G253300",6.68176625140404e-12,8,"Yes","3.625525e-13,0.1395332,0.02379343,0.4980099,0.002799001,0.03052742,0.03052742,0.1577797"
"SORBI_3001G246700",7.813305558102e-12,5,"Yes","0.5649554,0.5849252,6.604794e-13,0.2237222,0.01435948"
"SORBI_3001G251200",9.08773056806922e-12,16,"Yes","3.555415e-07,3.179138e-07,4.566285e-07,4.566285e-07,0.08720617,2.045195e-08,2.703752e-05,0.03558866,3.567652e-15,1.658868e-13,0.5537526,3.171663e-16,1.282712e-15,1.282712e-15,4.193579e-17,6.734298e-09"
"SORBI_3001G094900",1.11731734975251e-11,2,"Yes","5.731326e-12,5.622676e-12"
"SORBI_3004G071000",1.306379e-11,1,"No","1.306379e-11"
"SORBI_3003G008000",1.36981537224301e-11,17,"Yes","1.087783e-11,1.087783e-11,0.01340809,0.00414336,0.0003604734,0.2987988,0.07831211,0.1203814,0.7867405,0.7323444,0.9561641,1.387684e-13,0.9561641,0.9365622,0.001161379,1.863249e-12,1.68257e-12"
"SORBI_3001G069300",1.65371050186991e-11,2,"Yes","1.001181e-10,8.268006e-12"
"SORBI_3001G125900",1.842278e-11,1,"No","1.842278e-11"
"SORBI_3003G015800",2.03107530794e-11,5,"Yes","5.11315e-07,5.11315e-07,8.451025e-07,3.348937e-11,4.685819e-11"
"SORBI_3003G015900",2.03107530794e-11,5,"Yes","5.11315e-07,5.11315e-07,8.451025e-07,3.348937e-11,4.685819e-11"
"SORBI_3001G105600",2.12261319632034e-11,3,"Yes","0.5458551,0.50848,3.537708e-12"
"SORBI_3003G007900",2.15109041690198e-11,2,"Yes","1.087783e-11,1.087783e-11"
"SORBI_3004G157000",2.42854625298605e-11,3,"Yes","4.047517e-12,0.2839156,0.72377"
"SORBI_3010G079000",2.4577229140732e-11,2,"Yes","1.228741e-11,0.2642891"
"SORBI_3003G084300",3.17528225934893e-11,8,"Yes","1.552918e-12,0.4830093,0.4830093,0.4830093,1.868336e-05,0.5428112,0.5428112,6.97524e-06"
"SORBI_3004G153100",5.22033527516896e-11,5,"Yes","0.05552494,1.81553e-10,1.81553e-10,0.1351774,0.5011212"
"SORBI_3004G089700",5.806319e-11,1,"No","5.806319e-11"
"SORBI_3001G255800",6.39569508464888e-11,15,"Yes","0.3328923,1.497151e-09,0.4643944,0.6209708,0.1767041,0.7166416,0.6422438,0.5996805,0.4020767,0.5814244,7.866125e-10,2.079356e-09,0.0210214,0.1042051,0.1042051"
"SORBI_3004G107800",8.03981325958603e-11,7,"Yes","0.1351338,5.769843e-12,0.03042615,0.02392092,0.1716843,0.6404601,0.2312112"
"SORBI_3002G274500",3.46670581130581e-10,2,"Yes","1.733354e-10,0.01419579"
"SORBI_3001G081700",6.916148e-10,1,"No","6.916148e-10"
"SORBI_3004G111600",7.00759450467103e-10,3,"Yes","0.8162802,0.1649023,1.168989e-10"
"SORBI_3001G352900",7.44524886187037e-10,6,"Yes","0.02459494,0.008303779,0.732604,4.538599e-09,5.868307e-11,0.3765476"
"SORBI_3001G253000",7.695169e-10,1,"No","7.695169e-10"
"SORBI_3001G189750",8.30320812106322e-10,6,"Yes","1.98676e-06,0.08882375,1.655784e-06,8.339824e-07,5.671253e-06,0.305808"
"SORBI_3001G353900",8.51110071309336e-10,4,"Yes","0.271698,0.2450627,1.165714e-10,4.941276e-07"
"SORBI_3003G350400",1.02515906874601e-09,5,"Yes","2.702642e-09,4.288465e-09,4.84248e-09,0.06286844,0.403177"
"SORBI_3001G255866",1.22307797223442e-09,6,"Yes","0.5814244,7.866125e-10,2.079356e-09,0.0210214,0.1042051,0.1042051"
"SORBI_3001G257800",1.2756503631195e-09,9,"Yes","0.8868939,0.01364826,0.007130396,1.18406e-05,0.3266785,0.5984527,0.9194536,1.534159e-09,4.302583e-10"
"SORBI_3001G322000",1.337155e-09,1,"No","1.337155e-09"
"SORBI_3009G132100",1.624926e-09,1,"No","1.624926e-09"
"SORBI_3002G274600",1.77919912136559e-09,5,"Yes","8.832444e-06,0.9109784,1.735549e-10,0.8504114,0.6516151"
"SORBI_3004G156200",2.16223572380159e-09,6,"Yes","0.1607459,0.07340925,0.4448099,1.57732e-10,0.5142389,0.0001238204"
"SORBI_3010G082000",3.575294e-09,1,"No","3.575294e-09"
"SORBI_3001G252200",3.95370025607633e-09,8,"Yes","0.007432335,0.007268166,0.3346853,1.46255e-06,0.7565085,0.006647158,3.497522e-06,1.378031e-05"
"SORBI_3002G275600",4.21547918794118e-09,7,"Yes","0.5363811,0.5184317,0.002188176,0.8405161,0.006585096,0.933105,2.741767e-10"
"SORBI_3001G258200",4.33734415050679e-09,4,"Yes","5.820928e-10,0.03998993,0.003329176,0.7518282"
"SORBI_3006G213300",5.19472187487935e-09,2,"Yes","2.597497e-09,0.006632928"
"SORBI_3007G007400",6.72450861660678e-09,2,"Yes","8.818406e-09,3.640142e-09"
"SORBI_3001G352100",6.80806311326165e-09,2,"Yes","3.404026e-09,0.001272386"
"SORBI_3010G241200",6.98044932967434e-09,2,"Yes","3.030934e-07,3.490228e-09"
"SORBI_3001G003500",7.8595e-09,1,"No","7.8595e-09"
"SORBI_3007G018700",8.092586e-09,1,"No","8.092586e-09"
"SORBI_3001G375400",8.29889290621111e-09,4,"Yes","8.948915e-09,8.948915e-09,4.940238e-09,6.245107e-09"
"SORBI_3010G045100",9.396308e-09,1,"No","9.396308e-09"
"SORBI_3004G155200",9.8254586688995e-09,6,"Yes","0.04267827,0.1132895,8.367742e-10,0.03105506,0.07052035,0.07052035"
"SORBI_3003G314200",1.2290950923699e-08,2,"Yes","7.08783e-09,7.08783e-09"
"SORBI_3004G094500",1.30716416579801e-08,4,"Yes","0.0004962368,0.7754362,1.752518e-09,1.540375e-05"
"SORBI_3003G422200",1.348494e-08,1,"No","1.348494e-08"
"SORBI_3010G074200",1.59697207680054e-08,6,"Yes","0.0002851849,0.0002802297,1.355327e-09,0.0002802297,0.01042041,0.01042041"
"SORBI_3003G290000",1.607473e-08,1,"No","1.607473e-08"
"SORBI_3003G199900",1.68743834461083e-08,3,"Yes","0.1173429,0.08148989,2.812993e-09"
"SORBI_3009G005800",1.69604879030061e-08,6,"Yes","2.06538e-07,1.687438e-07,0.327251,0.4374423,0.0002264183,1.287869e-07"
"SORBI_3001G308400",1.69942658834188e-08,2,"Yes","8.497183e-09,0.02712429"
"SORBI_3010G254200",1.70235758822912e-08,2,"Yes","0.1750559,8.511993e-09"
"SORBI_3001G137000",1.72529699415946e-08,8,"Yes","8.970065e-09,1.879373e-09,0.9876975,0.9029703,0.9416253,0.689654,0.9957576,0.3620093"
"SORBI_3004G205800",1.746391e-08,1,"No","1.746391e-08"
"SORBI_3001G447700",1.94252416374496e-08,4,"Yes","2.234169e-06,0.9765438,4.712516e-07,0.562835"
"SORBI_3001G281500",2.02438718011066e-08,4,"Yes","9.588478e-08,9.588478e-08,2.981145e-09,1.784313e-07"
"SORBI_3001G090800",2.15265385516972e-08,6,"Yes","2.582083e-07,5.287226e-08,7.388773e-06,2.035863e-08,7.090994e-06,5.824384e-06"
"SORBI_3003G320300",3.44841504240634e-08,2,"Yes","1.724217e-08,0.3629324"
"SORBI_3003G351401",3.80461356863648e-08,3,"Yes","6.676606e-08,0.6555666,4.949827e-06"
"SORBI_3001G217500",4.00660199462166e-08,6,"Yes","0.00249443,0.02715602,3.405843e-08,0.7448129,1.785209e-07,0.2743588"
"SORBI_3001G115500",5.37567039771147e-08,13,"Yes","0.1406817,0.2591204,0.6135609,0.745294,0.7892207,1.521371e-06,1.353477e-06,4.964078e-06,8.198885e-08,0.7191061,0.8921401,0.01304888,0.8048022"
"SORBI_3001G375100",5.91274731398528e-08,7,"Yes","0.06100597,0.3561564,0.01205956,3.893962e-09,0.3573928,0.5322931,0.5609045"
"SORBI_3004G078000",6.18035697064201e-08,2,"Yes","4.194863e-08,3.090387e-08"
"SORBI_3004G069100",6.297877e-08,1,"No","6.297877e-08"
"SORBI_3001G308350",6.33852784703848e-08,4,"Yes","8.497183e-09,0.02712429,0.7014362,0.6012201"
"SORBI_3010G240700",7.73171040524545e-08,2,"Yes","3.865922e-08,0.0483231"
"SORBI_3003G008500",8.027155e-08,1,"No","8.027155e-08"
"SORBI_3001G003600",8.97461189808269e-08,2,"Yes","0.7308274,4.487822e-08"
"SORBI_3001G073150",9.177002e-08,1,"No","9.177002e-08"
"SORBI_3010G199700",9.97195618301916e-08,2,"Yes","6.05952e-08,0.0003042362"
"SORBI_3001G444100",1.12089827974948e-07,4,"Yes","4.700229e-06,1.567715e-07,1.567715e-07,0.7428963"
"SORBI_3006G254100",1.318939e-07,1,"No","1.318939e-07"
"SORBI_3006G194300",1.369894e-07,1,"No","1.369894e-07"
"SORBI_3006G131700",1.39134802012997e-07,5,"Yes","0.03887595,5.542673e-05,1.348649e-05,1.571003e-08,0.06736215"
"SORBI_3001G376200",1.50000340815026e-07,2,"Yes","7.596422e-08,1.191581e-05"
"SORBI_3004G192100",1.858884e-07,1,"No","1.858884e-07"
"SORBI_3001G353300",1.91723569686886e-07,2,"Yes","0.1757904,9.586942e-08"
"SORBI_3003G005900",2.42945218720259e-07,5,"Yes","0.1439438,0.03168902,2.247763e-08,0.8045981,0.004152244"
"SORBI_3001G361500",2.431283e-07,1,"No","2.431283e-07"
"SORBI_3001G252101",2.70313535444267e-07,2,"Yes","1.351756e-07,0.01554029"
"SORBI_3002G275500",2.775796e-07,1,"No","2.775796e-07"
"SORBI_3006G116000",2.79298633554248e-07,3,"Yes","5.022777e-08,0.08323652,1.736514e-05"
"SORBI_3001G375900",2.88667548309363e-07,4,"Yes","2.529769e-07,1.267487e-07,0.7616097,0.5899282"
"SORBI_3001G002100",2.89114e-07,1,"No","2.89114e-07"
"SORBI_3001G214800",3.00719139589845e-07,3,"Yes","0.01092809,5.016313e-08,0.3909457"
"SORBI_3005G067933",3.02136742402759e-07,2,"Yes","0.5564451,1.510747e-07"
"SORBI_3005G084800",3.44822974396308e-07,3,"Yes","6.221605e-08,0.2281103,0.6034695"
"SORBI_3010G189000",3.51579043322836e-07,5,"Yes","0.1793372,3.640149e-08,0.2498427,0.488528,0.488528"
"SORBI_3003G229500",3.82874561166702e-07,3,"Yes","1.392953e-05,0.9722692,6.574551e-08"
"SORBI_3003G008700",4.217388e-07,1,"No","4.217388e-07"
"SORBI_3003G351000",4.6040772094802e-07,2,"Yes","2.011542e-05,2.304481e-07"
"SORBI_3001G138800",4.87217603817314e-07,2,"Yes","2.436215e-07,0.1097112"
"SORBI_3001G161800",5.25240851367847e-07,3,"Yes","0.613272,8.770469e-08,0.09273664"
"SORBI_3007G023000",5.263938e-07,1,"No","5.263938e-07"
"SORBI_3010G098932",5.27836075292498e-07,3,"Yes","1.435591e-06,1.341221e-06,1.124689e-07"
"SORBI_3001G083800",5.937873e-07,1,"No","5.937873e-07"
"SORBI_3004G178100",6.30812554525129e-07,2,"Yes","4.069239e-07,4.069239e-07"
"SORBI_3001G188600",6.47168514333885e-07,14,"Yes","0.2845105,7.295006e-05,0.1957666,0.0001077209,5.187804e-05,5.187804e-05,0.5588284,0.2301135,0.1103074,0.7727687,0.3677122,0.03413056,0.3542483,0.0001047134"
"SORBI_3001G218200",6.779618e-07,1,"No","6.779618e-07"
"SORBI_3001G319900",7.55545029207383e-07,2,"Yes","0.03730221,3.779675e-07"
"SORBI_3006G123600",7.669295e-07,1,"No","7.669295e-07"
"SORBI_3001G317000",7.92093005186345e-07,3,"Yes","0.004126194,1.343674e-07,0.3580803"
"SORBI_3004G094000",8.47527792280367e-07,3,"Yes","0.5523021,0.2241142,1.552791e-07"
"SORBI_3010G221100",8.63113e-07,1,"No","8.63113e-07"
"SORBI_3001G361900",8.819971e-07,1,"No","8.819971e-07"
"SORBI_3004G079100",9.780095e-07,1,"No","9.780095e-07"
"SORBI_3003G338900",9.80081794277332e-07,8,"Yes","0.3747131,0.3811342,0.3773595,0.4603937,0.2664494,0.3991511,6.505551e-08,0.4098533"
"SORBI_3001G224700",1.09808557524627e-06,3,"Yes","0.8381198,1.52175e-06,1.52175e-06"
"SORBI_3001G131900",1.10873237535447e-06,4,"Yes","1.492547e-07,0.2307351,0.4439652,0.008547102"
"SORBI_3003G161800",1.1625653587588e-06,3,"Yes","0.2771214,0.384796,1.969571e-07"
"SORBI_3003G017300",1.19347814442339e-06,2,"Yes","5.971613e-07,0.07635641"
"SORBI_3001G093800",1.34002185470106e-06,10,"Yes","0.0001233717,0.1803393,0.8428597,0.9792817,0.0002022239,0.0003448939,0.8643885,0.8631341,0.0001022464,0.9108428"
"SORBI_3004G193800",1.4144638518232e-06,2,"Yes","0.1907668,7.073305e-07"
"SORBI_3003G406500",1.45940407725309e-06,2,"Yes","0.0800773,8.184088e-07"
"SORBI_3004G149000",1.470701e-06,1,"No","1.470701e-06"
"SORBI_3003G023400",1.482864e-06,1,"No","1.482864e-06"
"SORBI_3003G409800",1.589797e-06,1,"No","1.589797e-06"
"SORBI_3001G354600",1.59629075491274e-06,3,"Yes","0.01153227,2.815893e-07,0.03083155"
"SORBI_3007G003100",1.61521787334085e-06,3,"Yes","0.1932503,2.779577e-07,0.0560116"
"SORBI_3004G065000",1.674438e-06,1,"No","1.674438e-06"
"SORBI_3003G282600",1.69676624839354e-06,2,"Yes","8.556144e-07,0.01415986"
"SORBI_3002G275300",1.73022247318411e-06,3,"Yes","0.05103411,2.893658e-07,0.7514581"
"SORBI_3002G348600",1.83814872301014e-06,3,"Yes","0.001675931,0.0001229945,0.000238898"
"SORBI_3010G095700",1.98524361127994e-06,3,"Yes","0.1223331,0.08771056,3.312926e-07"
"SORBI_3005G115200",2.011066e-06,1,"No","2.011066e-06"
"SORBI_3003G008600",2.202027e-06,1,"No","2.202027e-06"
"SORBI_3010G045400",2.35810334991982e-06,2,"Yes","1.179149e-06,0.007344779"
"SORBI_3006G208200",2.3623109685067e-06,3,"Yes","4.954725e-07,0.280471,0.280471"
"SORBI_3002G342500",2.42435190567214e-06,4,"Yes","0.0001196026,3.18175e-06,3.18175e-06,0.008968542"
