"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"Zm00001eb070860",0.503955833875039,3,"Yes","0.9136253,0.1427246,0.9686823"
"Zm00001eb366470",0.503974588700295,4,"Yes","0.9344512,0.1130323,0.3102219,0.937488"
"Zm00001eb166150",0.504169126407839,3,"Yes","0.4081213,0.5112568,0.2715044"
"Zm00001eb251840",0.5055193620482,2,"Yes","0.2970172,0.5845982"
"Zm00001eb077940",0.505927243573406,2,"Yes","0.297513,0.9292568"
"Zm00001eb073220",0.506091639531395,2,"Yes","0.3091532,0.6262667"
"Zm00001eb000310",0.5063265,1,"No","0.5063265"
"Zm00001eb131770",0.506620500101326,2,"Yes","0.2975843,0.3921355"
"Zm00001eb302640",0.506689253938729,2,"Yes","0.3129212,0.5141052"
"Zm00001eb009340",0.5070066,1,"No","0.5070066"
"Zm00001eb067410",0.507039869143418,6,"Yes","0.9479162,0.7475903,0.890751,0.3197484,0.1556582,0.2673178"
"Zm00001eb151510",0.507195916218592,17,"Yes","0.490275,0.496847,0.4905291,0.3870438,0.2755936,0.1984533,0.5375086,0.432332,0.8396547,0.0965522,0.09619552,0.3970769,0.9050132,0.3581103,0.185422,0.2050056,0.0977583"
"Zm00001eb354520",0.5074598,1,"No","0.5074598"
"Zm00001eb211300",0.507849138854319,2,"Yes","0.4249431,0.2987914"
"Zm00001eb171180",0.5080723,1,"No","0.5080723"
"Zm00001eb121700",0.508088552797698,5,"Yes","0.3210347,0.2676768,0.3745727,0.3876053,0.9664329"
"Zm00001eb081060",0.5082402,1,"No","0.5082402"
"Zm00001eb013870",0.508697975766612,2,"Yes","0.4266176,0.3003879"
"Zm00001eb311850",0.5087615,1,"No","0.5087615"
"Zm00001eb066270",0.50878511679512,7,"Yes","0.2224332,0.247196,0.6166073,0.5072152,0.5453654,0.3600761,0.3794774"
"Zm00001eb308220",0.5089295,1,"No","0.5089295"
"Zm00001eb352100",0.5092526,1,"No","0.5092526"
"Zm00001eb380960",0.509886978626217,6,"Yes","0.3940467,0.8477142,0.06410692,0.533921,0.573554,0.8207648"
"Zm00001eb416630",0.51026,1,"No","0.51026"
"Zm00001eb432050",0.511331957282583,8,"Yes","0.5739961,0.8375356,0.1410343,0.04813507,0.2745796,0.9114757,0.8688414,0.4444968"
"Zm00001eb092910",0.512022294505167,4,"Yes","0.3109834,0.2267205,0.787381,0.7764115"
"Zm00001eb113700",0.512162523023022,2,"Yes","0.303758,0.7961105"
"Zm00001eb321430",0.512183748661246,2,"Yes","0.8389621,0.3174817"
"Zm00001eb137700",0.512403348603246,2,"Yes","0.30697,0.9591742"
"Zm00001eb289700",0.51249144460683,2,"Yes","0.3030478,0.7244745"
"Zm00001eb316580",0.5126062,1,"No","0.5126062"
"Zm00001eb289090",0.5126214,1,"No","0.5126214"
"Zm00001eb322520",0.513018312083427,7,"Yes","0.7945582,0.2026541,0.6509192,0.5300418,0.2526283,0.1585519,0.4949918"
"Zm00001eb399780",0.51320777746869,6,"Yes","0.7049595,0.3133978,0.7855968,0.632715,0.3233914,0.2523526"
"Zm00001eb103180",0.51324855400877,4,"Yes","0.6962313,0.9830982,0.1109261,0.5920619"
"Zm00001eb160490",0.513321433434424,3,"Yes","0.2644683,0.5199549,0.4123187"
"Zm00001eb317090",0.51404850271319,2,"Yes","0.318826,0.9003412"
"Zm00001eb235230",0.5140657,1,"No","0.5140657"
"Zm00001eb407570",0.514589962557435,9,"Yes","0.05430396,0.6856228,0.3010262,0.6666153,0.1632713,0.9809875,0.7657493,0.1794651,0.4473494"
"Zm00001eb110070",0.515006330247882,2,"Yes","0.3035901,0.8781016"
"Zm00001eb149750",0.515088605225563,3,"Yes","0.1394566,0.8048871,0.6851162"
"Zm00001eb200770",0.5154368,1,"No","0.5154368"
"Zm00001eb361770",0.515937547179841,2,"Yes","0.8174107,0.3044376"
"Zm00001eb136710",0.516184097113453,3,"Yes","0.4150997,0.789248,0.3816894"
"Zm00001eb104140",0.5164846,1,"No","0.5164846"
"Zm00001eb165940",0.5165413,1,"No","0.5165413"
"Zm00001eb089590",0.516597613654045,7,"Yes","0.4795934,0.3794716,0.05204176,0.9575479,0.3784802,0.8167231,0.6339931"
"Zm00001eb194300",0.5169902,1,"No","0.5169902"
"Zm00001eb413780",0.517223082195117,3,"Yes","0.4219827,0.6399023,0.2258174"
"Zm00001eb215930",0.5176077,1,"No","0.5176077"
"Zm00001eb214700",0.5177391,1,"No","0.5177391"
"Zm00001eb122110",0.517740593793349,6,"Yes","0.4221447,0.9068935,0.5144603,0.1762119,0.1827258,0.5948809"
"Zm00001eb366030",0.517974684524878,4,"Yes","0.1894496,0.540031,0.3165698,0.5376062"
"Zm00001eb415420",0.518407251458641,6,"Yes","0.8801391,0.4496603,0.75106,0.7388086,0.4573858,0.09755208"
"Zm00001eb390010",0.518563,1,"No","0.518563"
"Zm00001eb000780",0.519250656063072,3,"Yes","0.1442685,0.7763285,0.7232425"
"Zm00001eb284300",0.5199146,1,"No","0.5199146"
"Zm00001eb213350",0.519935444925167,2,"Yes","0.6546947,0.3084419"
"Zm00001eb324120",0.52035873738983,2,"Yes","0.5374934,0.3074418"
"Zm00001eb348340",0.520507104232991,5,"Yes","0.4166742,0.5013544,0.215885,0.1688671,0.7137677"
"Zm00001eb098520",0.520549567017217,2,"Yes","0.3395429,0.3075793"
"Zm00001eb324730",0.521165448109187,6,"Yes","0.2857277,0.4870694,0.2824491,0.9495324,0.6463521,0.3132667"
"Zm00001eb160100",0.521364393372946,3,"Yes","0.5048089,0.3928876,0.419977"
"Zm00001eb387220",0.521388466381581,4,"Yes","0.4913439,0.4386981,0.6705642,0.1291619"
"Zm00001eb066970",0.521545288505727,2,"Yes","0.3085333,0.9530168"
"Zm00001eb251920",0.521928145343801,2,"Yes","0.6067061,0.3306936"
"Zm00001eb169430",0.522565156796418,2,"Yes","0.3100033,0.8976088"
"Zm00001eb249950",0.5227776,1,"No","0.5227776"
"Zm00001eb231240",0.523868688830753,3,"Yes","0.6072298,0.252242,0.4215286"
"Zm00001eb423920",0.5238859,1,"No","0.5238859"
"Zm00001eb136920",0.5240488,1,"No","0.5240488"
"Zm00001eb398050",0.524189861561926,5,"Yes","0.974252,0.9980217,0.2215971,0.2215971,0.4783797"
"Zm00001eb107080",0.524566130388716,3,"Yes","0.92693,0.1433224,0.6294258"
"Zm00001eb147080",0.5256595,1,"No","0.5256595"
"Zm00001eb065850",0.5260688,1,"No","0.5260688"
"Zm00001eb411140",0.526444392666143,7,"Yes","0.377613,0.2852913,0.5661633,0.3543016,0.1617306,0.1626131,0.7889799"
"Zm00001eb022260",0.5265962,1,"No","0.5265962"
"Zm00001eb291600",0.52669494162362,3,"Yes","0.4057644,0.3881427,0.5627856"
"Zm00001eb416940",0.526773792353503,4,"Yes","0.9467044,0.3057172,0.3180102,0.8719209"
"Zm00001eb299750",0.526831434529788,8,"Yes","0.7492997,0.160589,0.6198867,0.1635735,0.7423635,0.4359333,0.299738,0.3383199"
"Zm00001eb396420",0.5270406,1,"No","0.5270406"
"Zm00001eb160740",0.527198,1,"No","0.527198"
"Zm00001eb322940",0.5275329,1,"No","0.5275329"
"Zm00001eb231830",0.5275422,1,"No","0.5275422"
"Zm00001eb190860",0.527739905217673,8,"Yes","0.2092168,0.2261949,0.6184647,0.4053125,0.7924406,0.536161,0.1845178,0.3948115"
"Zm00001eb388150",0.527783641240341,4,"Yes","0.7829284,0.3239362,0.8760653,0.15548"
"Zm00001eb171050",0.5279267,1,"No","0.5279267"
"Zm00001eb171060",0.5279267,1,"No","0.5279267"
"Zm00001eb048580",0.5282385,1,"No","0.5282385"
"Zm00001eb158440",0.528967481003286,2,"Yes","0.3999234,0.3165895"
"Zm00001eb145150",0.5293682,1,"No","0.5293682"
"Zm00001eb405080",0.5299869,1,"No","0.5299869"
"Zm00001eb168950",0.530132401560067,4,"Yes","0.776902,0.9864335,0.3203684,0.2749283"
"Zm00001eb344070",0.530173617672924,2,"Yes","0.3146519,0.7716226"
"Zm00001eb344080",0.530173617672924,2,"Yes","0.3146519,0.7716226"
"Zm00001eb389860",0.5303293,1,"No","0.5303293"
"Zm00001eb058370",0.5304899,1,"No","0.5304899"
"Zm00001eb384620",0.5308949,1,"No","0.5308949"
"Zm00001eb301240",0.530986077866969,2,"Yes","0.3160162,0.3433172"
"Zm00001eb059840",0.531472522884413,6,"Yes","0.9347608,0.07565386,0.7225509,0.7120862,0.4367956,0.897409"
"Zm00001eb250940",0.531663997643923,4,"Yes","0.3219759,0.1690044,0.6526406,0.6988545"
"Zm00001eb177380",0.532081154363016,2,"Yes","0.8709531,0.3176267"
"Zm00001eb086540",0.532106797933535,2,"Yes","0.5078465,0.3160016"
"Zm00001eb274610",0.5322919,1,"No","0.5322919"
"Zm00001eb118910",0.532499375744042,2,"Yes","0.4154838,0.3166771"
"Zm00001eb283470",0.532505624125818,2,"Yes","0.3162652,0.7590218"
"Zm00001eb092570",0.5325536,1,"No","0.5325536"
"Zm00001eb425330",0.532892805233901,3,"Yes","0.5142844,0.1436207,0.4738915"
"Zm00001eb321520",0.533294331515986,2,"Yes","0.9143146,0.316875"
"Zm00001eb124020",0.533707128513885,2,"Yes","0.4247624,0.3171465"
"Zm00001eb431190",0.533794256354236,5,"Yes","0.3951064,0.2229098,0.1875434,0.9498769,0.5674114"
"Zm00001eb217270",0.53381781149191,3,"Yes","0.1427705,0.8619561,0.5904886"
"Zm00001eb217280",0.53381781149191,3,"Yes","0.1427705,0.8619561,0.5904886"
"Zm00001eb243430",0.533931888759986,10,"Yes","0.2810913,0.3684175,0.6423042,0.2296652,0.2728668,0.4648305,0.7672808,0.2025404,0.3490284,0.9298178"
"Zm00001eb325500",0.5340955,1,"No","0.5340955"
"Zm00001eb077210",0.534124243904023,2,"Yes","0.3174492,0.5748508"
"Zm00001eb204850",0.534341243423905,3,"Yes","0.7812145,0.6978798,0.1433773"
"Zm00001eb357940",0.5343856,1,"No","0.5343856"
"Zm00001eb151590",0.535157546698132,2,"Yes","0.4172009,0.3194744"
"Zm00001eb425560",0.535295486892996,4,"Yes","0.4364256,0.4523977,0.832219,0.1182213"
"Zm00001eb313490",0.5354509,1,"No","0.5354509"
"Zm00001eb239910",0.535539069427881,2,"Yes","0.3184915,0.8901492"
"Zm00001eb429190",0.535631991028443,9,"Yes","0.6460052,0.6095828,0.3491446,0.3114405,0.3687851,0.2185735,0.2771583,0.9641845,0.6349292"
"Zm00001eb204430",0.5372984,1,"No","0.5372984"
"Zm00001eb283520",0.5376156,1,"No","0.5376156"
"Zm00001eb229120",0.5383588,1,"No","0.5383588"
"Zm00001eb211610",0.5386028,1,"No","0.5386028"
"Zm00001eb102440",0.5392113,1,"No","0.5392113"
"Zm00001eb301210",0.539951381489488,6,"Yes","0.5692176,0.08513277,0.4273704,0.4176511,0.2524989,0.5435842"
"Zm00001eb020560",0.5407354,1,"No","0.5407354"
"Zm00001eb186550",0.540792584741356,4,"Yes","0.3197713,0.9787389,0.3661722,0.3247886"
"Zm00001eb218400",0.540810582899375,7,"Yes","0.2591466,0.523594,0.238767,0.2500664,0.7071718,0.8644548,0.893566"
"Zm00001eb361840",0.5410744,1,"No","0.5410744"
"Zm00001eb051830",0.541313530925929,3,"Yes","0.4250143,0.2496237,0.8218486"
"Zm00001eb348450",0.541397828577514,2,"Yes","0.3236904,0.734849"
"Zm00001eb397950",0.5418528,1,"No","0.5418528"
"Zm00001eb032720",0.5430156,1,"No","0.5430156"
"Zm00001eb333800",0.543243981049026,8,"Yes","0.6674283,0.2342545,0.554596,0.21559,0.9327642,0.2128741,0.7243762,0.9938736"
"Zm00001eb343520",0.543497303547979,13,"Yes","0.04344278,0.2838308,0.4182361,0.1971122,0.129355,0.1890013,0.4869006,0.3080278,0.6853886,0.6853886,0.7365467,0.7782906,0.9215591"
"Zm00001eb308720",0.5436547,1,"No","0.5436547"
"Zm00001eb077790",0.5439548,1,"No","0.5439548"
"Zm00001eb017830",0.544354394415819,3,"Yes","0.4511516,0.2373606,0.4197791"
"Zm00001eb374680",0.5443652,1,"No","0.5443652"
"Zm00001eb254760",0.544431152609627,7,"Yes","0.5026121,0.1486963,0.5951743,0.8084294,0.8190537,0.0711229,0.8593235"
"Zm00001eb017490",0.545579413648517,6,"Yes","0.3335582,0.4252083,0.2019768,0.3339697,0.3477146,0.2966757"
"Zm00001eb310810",0.546028461324024,4,"Yes","0.9071937,0.7837216,0.3131755,0.3291443"
"Zm00001eb420640",0.5460647,1,"No","0.5460647"
"Zm00001eb214310",0.5467186,1,"No","0.5467186"
"Zm00001eb283640",0.5467492,1,"No","0.5467492"
"Zm00001eb254960",0.546784245887752,2,"Yes","0.9107715,0.3269696"
"Zm00001eb084780",0.5469953,1,"No","0.5469953"
"Zm00001eb343120",0.547060347644076,5,"Yes","0.2655028,0.1245341,0.6146927,0.4205311,0.4023351"
"Zm00001eb222150",0.548382921111059,2,"Yes","0.3448763,0.5500898"
"Zm00001eb322890",0.5487671,1,"No","0.5487671"
"Zm00001eb166290",0.549759571837047,2,"Yes","0.9820287,0.3299956"
"Zm00001eb146370",0.549774618919616,2,"Yes","0.7583207,0.3365441"
"Zm00001eb321110",0.549910528162486,3,"Yes","0.2227391,0.677981,0.4354447"
"Zm00001eb251310",0.549987082645212,3,"Yes","0.6894095,0.7817817,0.1500211"
"Zm00001eb018870",0.5503461,1,"No","0.5503461"
"Zm00001eb412490",0.551510346013178,2,"Yes","0.3303347,0.7001004"
"Zm00001eb305750",0.5515522,1,"No","0.5515522"
"Zm00001eb350110",0.551654202785181,4,"Yes","0.3316755,0.3302794,0.5619314,0.9883206"
"Zm00001eb115540",0.552061388071454,2,"Yes","0.3311412,0.7273505"
"Zm00001eb213010",0.5523584,1,"No","0.5523584"
"Zm00001eb252860",0.552509621230925,4,"Yes","0.1552889,0.6356814,0.3368703,0.3771971"
"Zm00001eb086800",0.553135098024495,2,"Yes","0.3316917,0.3634931"
"Zm00001eb086810",0.553135098024495,2,"Yes","0.3316917,0.3634931"
"Zm00001eb430310",0.553231245355409,3,"Yes","0.1669671,0.9035726,0.4512827"
"Zm00001eb354920",0.55388451083376,2,"Yes","0.7185958,0.3336854"
"Zm00001eb301640",0.5539745,1,"No","0.5539745"
"Zm00001eb057860",0.5542577,1,"No","0.5542577"
"Zm00001eb107920",0.555128388676256,11,"Yes","0.03372249,0.7601671,0.2377313,0.8653582,0.6576683,0.847021,0.2663579,0.6263769,0.2696885,0.6200486,0.6474643"
"Zm00001eb036250",0.5560879,1,"No","0.5560879"
"Zm00001eb010420",0.556229291742518,2,"Yes","0.4316625,0.3339562"
"Zm00001eb053480",0.556513259147372,3,"Yes","0.7937397,0.1589911,0.753271"
"Zm00001eb431760",0.556943121879195,7,"Yes","0.3345622,0.1658432,0.9890298,0.8484387,0.6324968,0.494039,0.08367839"
"Zm00001eb097730",0.5572346,1,"No","0.5572346"
"Zm00001eb401370",0.557422335449378,3,"Yes","0.68307,0.4286909,0.3627379"
"Zm00001eb289620",0.5574336,1,"No","0.5574336"
"Zm00001eb421290",0.5581048,1,"No","0.5581048"
"Zm00001eb325970",0.558139708081041,5,"Yes","0.4048664,0.9986919,0.1044021,0.3999138,0.428487"
"Zm00001eb287970",0.558219655678302,2,"Yes","0.3369424,0.7207757"
"Zm00001eb281210",0.5583334,1,"No","0.5583334"
"Zm00001eb283870",0.561398063202359,5,"Yes","0.360254,0.4122306,0.7077376,0.7800375,0.2629129"
"Zm00001eb083590",0.561552029930065,5,"Yes","0.1467661,0.7517791,0.2346852,0.6904269,0.8004069"
"Zm00001eb323230",0.5615566,1,"No","0.5615566"
"Zm00001eb159030",0.5624022,1,"No","0.5624022"
"Zm00001eb407340",0.562785862562252,3,"Yes","0.787501,0.445333,0.4202509"
"Zm00001eb189310",0.562811992427641,6,"Yes","0.1290886,0.575057,0.5795356,0.5795356,0.7244406,0.2179267"
"Zm00001eb322260",0.5631036,1,"No","0.5631036"
"Zm00001eb102900",0.563831,1,"No","0.563831"
"Zm00001eb215150",0.56449418107842,9,"Yes","0.714969,0.1157029,0.9274479,0.4545209,0.815582,0.9297158,0.07683364,0.4154433,0.5500274"
"Zm00001eb011220",0.564565503503421,3,"Yes","0.6049673,0.2509437,0.4482248"
"Zm00001eb211170",0.5662573,1,"No","0.5662573"
"Zm00001eb139120",0.56653974622768,3,"Yes","0.7424156,0.7424156,0.2158104"
"Zm00001eb351010",0.566812984267687,2,"Yes","0.4968421,0.3425906"
"Zm00001eb377470",0.567502320207932,2,"Yes","0.4049333,0.3424611"
"Zm00001eb008870",0.5675799,1,"No","0.5675799"
"Zm00001eb235200",0.56779549095527,2,"Yes","0.3426596,0.9715183"
"Zm00001eb400160",0.568613246426623,6,"Yes","0.3434047,0.3265323,0.836967,0.5269295,0.339412,0.8243345"
"Zm00001eb302520",0.568751150662774,3,"Yes","0.4222543,0.4503943,0.4838933"
"Zm00001eb151340",0.569135636750961,7,"Yes","0.2870366,0.9373928,0.09727869,0.4732291,0.2349007,0.807924,0.3896643"
"Zm00001eb127440",0.5695382,1,"No","0.5695382"
"Zm00001eb167940",0.569857657939099,8,"Yes","0.09478987,0.157125,0.2406001,0.603023,0.9211529,0.5803822,0.4765236,0.6639646"
"Zm00001eb059810",0.569952102294607,2,"Yes","0.3444705,0.6879479"
"Zm00001eb431180",0.570294911854074,7,"Yes","0.3041335,0.6533894,0.5356136,0.6635649,0.122609,0.7008476,0.1584171"
"Zm00001eb114300",0.5705401,1,"No","0.5705401"
"Zm00001eb321120",0.5708642,1,"No","0.5708642"
"Zm00001eb327320",0.571558378626942,2,"Yes","0.3457124,0.6409226"
"Zm00001eb104570",0.57182859634375,2,"Yes","0.3460226,0.7235369"
"Zm00001eb121640",0.571893239629539,6,"Yes","0.7521438,0.7521438,0.6230407,0.1050376,0.6011846,0.6775772"
"Zm00001eb391540",0.5723686,1,"No","0.5723686"
"Zm00001eb071640",0.572882070151899,4,"Yes","0.2009309,0.3432756,0.8610464,0.3939927"
"Zm00001eb400550",0.5735186,1,"No","0.5735186"
"Zm00001eb035810",0.573591188889283,2,"Yes","0.3472767,0.8199866"
"Zm00001eb334680",0.574130833815746,5,"Yes","0.4183252,0.6733488,0.1996124,0.23981,0.8885189"
"Zm00001eb002000",0.574432544495209,13,"Yes","0.07448795,0.6009367,0.1929052,0.4035363,0.03720891,0.6900044,0.4308448,0.9993847,0.962106,0.3011032,0.9083763,0.6367286,0.2113621"
"Zm00001eb198370",0.5744939,1,"No","0.5744939"
"Zm00001eb316530",0.574648424985514,8,"Yes","0.4506287,0.8128859,0.05880376,0.2828118,0.8265579,0.6660279,0.9038175,0.7901862"
"Zm00001eb148750",0.5747017,1,"No","0.5747017"
"Zm00001eb032600",0.5752727,1,"No","0.5752727"
"Zm00001eb426540",0.5765584,1,"No","0.5765584"
"Zm00001eb188530",0.576966928803811,6,"Yes","0.2881124,0.6622705,0.9770941,0.4981337,0.08796571,0.4486661"
"Zm00001eb400270",0.577139027102619,16,"Yes","0.6049968,0.5319029,0.2313793,0.6431764,0.7142264,0.9086048,0.81604,0.1285522,0.5547045,0.05242295,0.2628926,0.8204579,0.1526572,0.5528388,0.4886963,0.2470807"
"Zm00001eb244650",0.5782322,1,"No","0.5782322"
"Zm00001eb205030",0.578949479099995,4,"Yes","0.7392004,0.1833657,0.9393761,0.9223495"
"Zm00001eb357900",0.579376,1,"No","0.579376"
"Zm00001eb059740",0.5798587,1,"No","0.5798587"
"Zm00001eb310610",0.579877848113908,6,"Yes","0.5133057,0.1662628,0.6434995,0.6777446,0.2081359,0.4208536"
"Zm00001eb350290",0.579944,1,"No","0.579944"
"Zm00001eb165960",0.580783,1,"No","0.580783"
"Zm00001eb220030",0.581917429645913,3,"Yes","0.2999544,0.4589762,0.6329385"
"Zm00001eb333790",0.5821878,1,"No","0.5821878"
"Zm00001eb394380",0.582755106568472,4,"Yes","0.8961238,0.7291164,0.5040792,0.1479318"
