"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"Zm00001eb219550",0.000305631331133371,6,"Yes","0.0006469473,0.01073333,0.2044259,0.22658,0.007743609,0.09629061"
"Zm00001eb361310",0.000680174476610063,8,"Yes","0.02092629,0.02064466,0.7695683,0.001377858,0.00494831,0.5356851,0.003932783,0.0008643368"
"Zm00001eb278240",0.000781499932522634,2,"Yes","0.000391021,0.0009249937"
"Zm00001eb198440",0.00149160470340626,6,"Yes","0.123679,0.09318709,0.01317403,0.6806069,0.0001301934,0.661012"
"Zm00001eb233580",0.00168593983437237,2,"Yes","0.7271229,0.0008434949"
"Zm00001eb194620",0.00199502096475834,2,"Yes","0.241938,0.0009980849"
"Zm00001eb151670",0.002221077,1,"No","0.002221077"
"Zm00001eb212480",0.0024280603842366,10,"Yes","0.865411,0.723449,0.8218739,0.7255406,0.1833853,0.08246363,0.02677206,0.1373132,0.7818701,0.000144077"
"Zm00001eb240330",0.00248593735160074,3,"Yes","0.01585233,0.00544341,0.02821603"
"Zm00001eb121220",0.002624173,1,"No","0.002624173"
"Zm00001eb055920",0.00295619518068113,12,"Yes","0.3433445,0.4452533,0.2740065,0.7016336,0.4368171,0.06772044,0.6369713,0.004568381,0.01342945,0.1796504,0.0001110341,0.3967842"
"Zm00001eb287380",0.00305489442332274,3,"Yes","0.01769474,0.1236254,0.009811288"
"Zm00001eb337370",0.00306995033011093,2,"Yes","0.001791534,0.1541052"
"Zm00001eb169210",0.003342243,1,"No","0.003342243"
"Zm00001eb166970",0.00366698000457621,2,"Yes","0.001837347,0.8475402"
"Zm00001eb142510",0.003929417,1,"No","0.003929417"
"Zm00001eb107560",0.00396004864265576,12,"Yes","0.9898399,0.8230916,0.6589998,0.3207507,0.007068865,0.001717369,0.007318302,0.003008427,0.4594239,0.3141163,0.7730557,0.1005374"
"Zm00001eb250370",0.004112594,1,"No","0.004112594"
"Zm00001eb159560",0.004646666,1,"No","0.004646666"
"Zm00001eb412890",0.006116872,1,"No","0.006116872"
"Zm00001eb308990",0.00620716771705332,2,"Yes","0.003110235,0.6767251"
"Zm00001eb211570",0.006550182,1,"No","0.006550182"
"Zm00001eb006570",0.00661861965163324,2,"Yes","0.003314789,0.4552378"
"Zm00001eb054630",0.007868374,1,"No","0.007868374"
"Zm00001eb311950",0.00846721,1,"No","0.00846721"
"Zm00001eb287400",0.00856165,1,"No","0.00856165"
"Zm00001eb101640",0.0085788733914951,2,"Yes","0.4091137,0.004313871"
"Zm00001eb424850",0.0090784902755211,2,"Yes","0.9194054,0.004552877"
"Zm00001eb108200",0.00933271692252735,2,"Yes","0.805677,0.004709326"
"Zm00001eb384640",0.00974981420960408,2,"Yes","0.6575534,0.005071619"
"Zm00001eb011220",0.0101431607231778,3,"Yes","0.4361616,0.364145,0.001755414"
"Zm00001eb070120",0.0101702415717252,2,"Yes","0.005098911,0.3741073"
"Zm00001eb274820",0.01212258,1,"No","0.01212258"
"Zm00001eb322100",0.01248883,1,"No","0.01248883"
"Zm00001eb385030",0.01271736,1,"No","0.01271736"
"Zm00001eb386850",0.0133986640450826,4,"Yes","0.01584857,0.0215652,0.003991009,0.6918759"
"Zm00001eb276470",0.01340249,1,"No","0.01340249"
"Zm00001eb114530",0.01350838,1,"No","0.01350838"
"Zm00001eb107730",0.0135908934351164,3,"Yes","0.04807527,0.7405941,0.02929518"
"Zm00001eb053910",0.01364306,1,"No","0.01364306"
"Zm00001eb175150",0.0138076199539494,2,"Yes","0.06854232,0.007284998"
"Zm00001eb175410",0.01384634,1,"No","0.01384634"
"Zm00001eb076980",0.0140108404374352,5,"Yes","0.008132687,0.2968825,0.3154826,0.2878709,0.00152128"
"Zm00001eb351780",0.0141663800070613,2,"Yes","0.007108992,0.07983835"
"Zm00001eb126240",0.0143396267471467,2,"Yes","0.007252786,0.2971991"
"Zm00001eb311900",0.0148046,1,"No","0.0148046"
"Zm00001eb203780",0.01522358,1,"No","0.01522358"
"Zm00001eb136360",0.01536778,1,"No","0.01536778"
"Zm00001eb154950",0.016063371837779,2,"Yes","0.77154,0.008074732"
"Zm00001eb076970",0.0160868620337643,6,"Yes","0.1827475,0.008132687,0.2968825,0.3154826,0.2878709,0.00152128"
"Zm00001eb324470",0.0171678159841948,3,"Yes","0.006762934,0.08789151,0.01662846"
"Zm00001eb093260",0.01757538,1,"No","0.01757538"
"Zm00001eb317850",0.0176135037288707,2,"Yes","0.220457,0.009142074"
"Zm00001eb314470",0.01784223,1,"No","0.01784223"
"Zm00001eb047280",0.0180071023295993,2,"Yes","0.009111674,0.6683594"
"Zm00001eb316510",0.0181852837931946,5,"Yes","0.01860196,0.4869154,0.01235141,0.1972283,0.7796943"
"Zm00001eb041150",0.018222727754854,2,"Yes","0.3430214,0.009228161"
"Zm00001eb386990",0.0183852162819743,3,"Yes","0.4969053,0.5634205,0.003224638"
"Zm00001eb119690",0.01839449,1,"No","0.01839449"
"Zm00001eb311750",0.0191118345364244,2,"Yes","0.3025876,0.0096408"
"Zm00001eb205760",0.01967046,1,"No","0.01967046"
"Zm00001eb405090",0.01994879,1,"No","0.01994879"
"Zm00001eb204630",0.0206032579583968,4,"Yes","0.9115321,0.02048617,0.01681319,0.8605374"
"Zm00001eb108700",0.0212440180269294,4,"Yes","0.04334528,0.4767635,0.01806184,0.01244976"
"Zm00001eb013720",0.02181749,1,"No","0.02181749"
"Zm00001eb287640",0.0224003103963613,8,"Yes","0.7059921,0.01222026,0.3075141,0.803002,0.0495104,0.4547966,0.03694613,0.8810262"
"Zm00001eb157730",0.0225343338293755,9,"Yes","0.5507777,0.1008677,0.08543624,0.03970531,0.8758392,0.1318977,0.9788742,0.7566319,0.01451473"
"Zm00001eb362160",0.0227690996277872,5,"Yes","0.002095792,0.882923,0.8252062,0.7733051,0.4064189"
"Zm00001eb104970",0.02287701,1,"No","0.02287701"
"Zm00001eb005770",0.0231406357886702,2,"Yes","0.01164677,0.4549071"
"Zm00001eb216050",0.02321014,1,"No","0.02321014"
"Zm00001eb216060",0.02321014,1,"No","0.02321014"
"Zm00001eb318630",0.02351973848598,3,"Yes","0.02587311,0.4597867,0.06381762"
"Zm00001eb191790",0.0236465618724943,4,"Yes","0.9885118,0.5977898,0.003324312,0.9064989"
"Zm00001eb407830",0.0236749054709789,3,"Yes","0.2644618,0.006813323,0.1975341"
"Zm00001eb141130",0.02423273,1,"No","0.02423273"
"Zm00001eb071640",0.0252464242293819,4,"Yes","0.2190546,0.1141555,0.877317,0.003664964"
"Zm00001eb365640",0.0254154034409936,2,"Yes","0.01286632,0.9219882"
"Zm00001eb033290",0.02572707,1,"No","0.02572707"
"Zm00001eb380260",0.02628293,1,"No","0.02628293"
"Zm00001eb327270",0.0270054386537106,5,"Yes","0.01124018,0.0171336,0.2703706,0.1370507,0.05298547"
"Zm00001eb021660",0.02708087,1,"No","0.02708087"
"Zm00001eb411820",0.0271054049797701,3,"Yes","0.03080548,0.02422111,0.2086285"
"Zm00001eb254890",0.0271759405144668,2,"Yes","0.01412818,0.3193165"
"Zm00001eb411140",0.0271822904443262,7,"Yes","0.07673598,0.01059687,0.8890818,0.01472403,0.06667476,0.04375189,0.04666816"
"Zm00001eb055480",0.0274586579299136,4,"Yes","0.7334988,0.02355517,0.03972282,0.407024"
"Zm00001eb048160",0.02768792,1,"No","0.02768792"
"Zm00001eb298660",0.0280283089511558,2,"Yes","0.01412866,0.7527291"
"Zm00001eb321700",0.02835875,1,"No","0.02835875"
"Zm00001eb001040",0.0285469677016971,4,"Yes","0.005120439,0.2411338,0.2981007,0.4517395"
"Zm00001eb236370",0.02873606,1,"No","0.02873606"
"Zm00001eb119990",0.0290276185106599,3,"Yes","0.01673597,0.05990679,0.1083475"
"Zm00001eb229700",0.0293317335814569,3,"Yes","0.8269618,0.5733083,0.005352231"
"Zm00001eb013870",0.0295272436810802,2,"Yes","0.4664651,0.01491527"
"Zm00001eb123730",0.02992766,1,"No","0.02992766"
"Zm00001eb161850",0.0301998563211047,4,"Yes","0.6548186,0.01604791,0.04589123,0.7900575"
"Zm00001eb248670",0.0302107710638113,4,"Yes","0.004345326,0.8168579,0.8637458,0.1698283"
"Zm00001eb251960",0.0306356228062111,6,"Yes","0.02715428,0.3419049,0.9637863,0.5031828,0.2238426,0.006140611"
"Zm00001eb243260",0.03068287,1,"No","0.03068287"
"Zm00001eb365670",0.0307140608455323,6,"Yes","0.04931855,0.008984659,0.8875078,0.03317396,0.2299101,0.2486529"
"Zm00001eb417110",0.03077451,1,"No","0.03077451"
"Zm00001eb290450",0.0308402594280179,3,"Yes","0.1802867,0.05556844,0.01864491"
"Zm00001eb041980",0.0313420616517839,2,"Yes","0.0158172,0.8617567"
"Zm00001eb406600",0.0315551198084076,6,"Yes","0.6104816,0.8992766,0.3800118,0.8956466,0.3631002,0.002482547"
"Zm00001eb148900",0.0319551271822786,14,"Yes","0.4434578,0.1825316,0.1286451,0.1935221,0.1065748,0.4874546,0.07920996,0.08938225,0.4342394,0.3340133,0.01439517,0.01108111,0.4015701,0.06965816"
"Zm00001eb231610",0.03240367,1,"No","0.03240367"
"Zm00001eb392970",0.03271116,1,"No","0.03271116"
"Zm00001eb311450",0.0335708492825464,9,"Yes","0.1275799,0.3779931,0.8365436,0.1001002,0.04396849,0.6905147,0.5091825,0.08765538,0.08419482"
"Zm00001eb107350",0.03410634,1,"No","0.03410634"
"Zm00001eb069740",0.0349813166985021,2,"Yes","0.1096631,0.01771205"
"Zm00001eb215950",0.0354401553876228,3,"Yes","0.01083822,0.2281403,0.06990297"
"Zm00001eb416860",0.0355846241852755,2,"Yes","0.01797459,0.7517016"
"Zm00001eb305060",0.0356483277472767,3,"Yes","0.4063971,0.02041031,0.04732636"
"Zm00001eb183010",0.03611866,1,"No","0.03611866"
"Zm00001eb122660",0.03655857,1,"No","0.03655857"
"Zm00001eb183270",0.0366246,1,"No","0.0366246"
"Zm00001eb048490",0.0370042158929883,4,"Yes","0.6526696,0.8912476,0.05472433,0.0287341"
"Zm00001eb008620",0.03782585,1,"No","0.03782585"
"Zm00001eb429140",0.0378855623926202,5,"Yes","0.2058399,0.4991551,0.01679266,0.06311492,0.1186355"
"Zm00001eb371830",0.0383360239005192,8,"Yes","0.1535801,0.887731,0.4263302,0.1135092,0.9420053,0.002193379,0.08545419,0.3141042"
"Zm00001eb165740",0.03836342,1,"No","0.03836342"
"Zm00001eb400490",0.0387304538718893,8,"Yes","0.5540646,0.2023245,0.2088514,0.301563,0.4680611,0.5288121,0.2496032,0.002249514"
"Zm00001eb249790",0.03883152,1,"No","0.03883152"
"Zm00001eb169430",0.0390301480462744,2,"Yes","0.3151837,0.0197531"
"Zm00001eb113570",0.0395814243786271,2,"Yes","0.0364625,0.02227962"
"Zm00001eb130190",0.039841567444566,6,"Yes","0.6433042,0.4249816,0.93525,0.003456644,0.2843697,0.8103723"
"Zm00001eb014840",0.04013073,1,"No","0.04013073"
"Zm00001eb120180",0.0403033956184268,2,"Yes","0.02035924,0.6109777"
"Zm00001eb051060",0.04049055,1,"No","0.04049055"
